gene_id	evidence_group	sample_id	cultivar	treatment	replicate	normalized_count	log2_normalized_count_plus_1
LITCHI022605	Tier B	GW_M1	Guiwei	mock	1	1630.98537164079	10.672412410380888
LITCHI022605	Tier B	GW_M2	Guiwei	mock	2	1655.96799984513	10.694330025477017
LITCHI022605	Tier B	GW_M3	Guiwei	mock	3	1597.31880151087	10.642339482343768
LITCHI022605	Tier B	YR_P1	Yurong1	infected	1	1285.86441412977	10.3296443418205
LITCHI022605	Tier B	YR_P2	Yurong1	infected	2	1319.80954330114	10.367206734029143
LITCHI022605	Tier B	YR_P3	Yurong1	infected	3	1384.10258307216	10.43577711336177
LITCHI022605	Tier B	YR_M1	Yurong1	mock	1	1054.10689572788	10.043173454328313
LITCHI022605	Tier B	YR_M2	Yurong1	mock	2	1099.37089022372	10.103774164138613
LITCHI022605	Tier B	YR_M3	Yurong1	mock	3	1045.3954467677	10.031212452954039
LITCHI021546	Tier B	GW_P1	Guiwei	infected	1	598.37344666318	9.227311361020437
LITCHI021546	Tier B	GW_P2	Guiwei	infected	2	673.477599708566	9.397626719937145
LITCHI021546	Tier B	GW_P3	Guiwei	infected	3	630.901247760332	9.303555304350715
LITCHI021546	Tier B	GW_M1	Guiwei	mock	1	919.016308211967	9.845515624387856
LITCHI021546	Tier B	GW_M2	Guiwei	mock	2	1305.66707680097	10.351675891112
LITCHI021546	Tier B	GW_M3	Guiwei	mock	3	922.5523512752	9.851049932015968
LITCHI021546	Tier B	YR_P1	Yurong1	infected	1	859.008270065277	9.748206722990385
LITCHI021546	Tier B	YR_P2	Yurong1	infected	2	863.691455922739	9.756041623774369
LITCHI021546	Tier B	YR_P3	Yurong1	infected	3	775.780953968838	9.601364017267711
LITCHI021546	Tier B	YR_M1	Yurong1	mock	1	648.602595724032	9.34341358712341
LITCHI021546	Tier B	YR_M2	Yurong1	mock	2	485.792118466019	8.92716199968742
LITCHI021546	Tier B	YR_M3	Yurong1	mock	3	528.995286316185	9.049835718434515
LITCHI005518	Cross-context supported	GW_P1	Guiwei	infected	1	2891.99230956831	11.49834677282334
LITCHI005518	Cross-context supported	GW_P2	Guiwei	infected	2	2977.5814795138	11.54040970940839
LITCHI005518	Cross-context supported	GW_P3	Guiwei	infected	3	3410.08664858017	11.736015687484754
LITCHI005518	Cross-context supported	GW_M1	Guiwei	mock	1	5219.15318925053	12.349876429029898
LITCHI005518	Cross-context supported	GW_M2	Guiwei	mock	2	4181.01101697871	12.02998114719207
LITCHI005518	Cross-context supported	GW_M3	Guiwei	mock	3	4419.84885764281	12.110107696163615
LITCHI005518	Cross-context supported	YR_P1	Yurong1	infected	1	2293.160178411	11.163750408592856
LITCHI005518	Cross-context supported	YR_P2	Yurong1	infected	2	2622.42616534855	11.35723647148502
LITCHI005518	Cross-context supported	YR_P3	Yurong1	infected	3	2176.97122325176	11.088769177033598
LITCHI005518	Cross-context supported	YR_M1	Yurong1	mock	1	2213.42019674642	11.11271329099224
LITCHI005518	Cross-context supported	YR_M2	Yurong1	mock	2	2247.42241027285	11.134697384258976
LITCHI005518	Cross-context supported	YR_M3	Yurong1	mock	3	2311.20559616714	11.175053969431174
LITCHI005805	Tier B	GW_P1	Guiwei	infected	1	191.864985094051	7.591447433646438
LITCHI005805	Tier B	GW_P2	Guiwei	infected	2	141.83554033977	7.158211185195141
