Sample	featurecounts-Assigned	featurecounts-percent_assigned	salmon-percent_mapped	salmon-num_mapped	salmon-library_types	salmon-compatible_fragment_ratio	salmon-strand_mapping_bias	star-total_reads	star-mapped	star-mapped_percent	star-uniquely_mapped	star-uniquely_mapped_percent	star-multimapped	fastp-pct_duplication	fastp-after_filtering_q30_rate	fastp-after_filtering_q30_bases	fastp-filtering_result_passed_filter_reads	fastp-after_filtering_gc_content	fastp-pct_surviving_reads	fastp-pct_surviving_bases	fastp-pct_adapter	fastp-before_filtering_read1_mean_length	fastp-before_filtering_read2_mean_length	fastqc-percent_duplicates	fastqc-percent_gc	fastqc-avg_sequence_length	fastqc-median_sequence_length	fastqc-percent_fails	fastqc-total_sequences
results/alignment/PRJNA1090613/GW_Mock3/Aligned.out.bam	13.049679	47.14225302595684																											
results/alignment/PRJNA1090613/GW_P1/Aligned.out.bam	12.330848999999999	44.632935129753456																											
results/alignment/PRJNA1090613/GW_P2/Aligned.out.bam	12.46377	47.41126627961714																											
results/alignment/PRJNA1090613/GW_P3/Aligned.out.bam	11.119928	46.089958731811656																											
results/alignment/PRJNA1090613/SFZ_Mock1/Aligned.out.bam	12.905209	47.508292096644105																											
results/alignment/PRJNA1090613/SFZ_Mock2/Aligned.out.bam	12.925778	47.1821590409921																											
results/alignment/PRJNA1090613/SFZ_Mock3/Aligned.out.bam	13.195805	47.367806473447																											
results/alignment/PRJNA1090613/SFZ_P1/Aligned.out.bam	13.826321	52.879199039094125																											
results/alignment/PRJNA1090613/SFZ_P2/Aligned.out.bam	13.833326	51.63950732001603																											
results/alignment/PRJNA1090613/SFZ_P3/Aligned.out.bam	13.527182999999999	53.301054721675875																											
