Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
GW_P3_R2	GW_P3_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	19254195.0	2.8 Gbp	0.0	30-150	45.0	44.28285699092168	148.96070718614826	150	pass	pass	fail	pass	fail	warn	pass	warn	fail	warn	pass
SFZ_Mock1_R1	SFZ_Mock1_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	22276356.0	3.3 Gbp	0.0	30-150	44.0	47.513103014038386	148.9102703557081	150	pass	pass	fail	pass	fail	warn	pass	warn	fail	warn	pass
SFZ_Mock1_R2	SFZ_Mock1_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	22276356.0	3.3 Gbp	0.0	30-150	44.0	48.07074866578176	148.91120349755587	150	pass	pass	fail	pass	fail	warn	pass	warn	fail	warn	pass
SFZ_Mock2_R1	SFZ_Mock2_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	22372344.0	3.3 Gbp	0.0	30-150	44.0	46.81753465104627	149.2764912786966	150	pass	pass	fail	pass	fail	warn	pass	warn	fail	warn	pass
SFZ_Mock2_R2	SFZ_Mock2_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	22372344.0	3.3 Gbp	0.0	30-150	44.0	47.98430001822775	149.27893016038016	150	pass	pass	fail	pass	fail	warn	pass	warn	fail	warn	pass
SFZ_Mock3_R1	SFZ_Mock3_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	22785897.0	3.3 Gbp	0.0	30-150	44.0	46.766131468479195	149.3197236430938	150	pass	pass	fail	pass	fail	warn	pass	warn	fail	warn	pass
SFZ_Mock3_R2	SFZ_Mock3_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	22785897.0	3.3 Gbp	0.0	30-150	44.0	47.05715128293631	149.3194842186814	150	pass	pass	fail	pass	fail	warn	pass	warn	fail	warn	pass
SFZ_P1_R1	SFZ_P1_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	22174006.0	3.3 Gbp	0.0	30-150	44.0	49.06588211001722	149.32120950540016	150	pass	pass	fail	pass	fail	warn	pass	warn	fail	warn	pass
SFZ_P1_R2	SFZ_P1_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	22174006.0	3.3 Gbp	0.0	30-150	44.0	49.15789575932705	149.32099659844954	150	pass	pass	fail	pass	fail	warn	pass	warn	fail	warn	pass
SFZ_P2_R1	SFZ_P2_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	22563805.0	3.3 Gbp	0.0	30-150	44.0	48.29633046369565	148.95198640034337	150	pass	pass	fail	pass	fail	warn	pass	warn	fail	warn	pass
SFZ_P2_R2	SFZ_P2_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	22563805.0	3.3 Gbp	0.0	30-150	44.0	48.92824107365213	148.95252272389342	150	pass	pass	fail	pass	fail	warn	pass	warn	fail	warn	pass
SFZ_P3_R1	SFZ_P3_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	21803184.0	3.2 Gbp	0.0	30-150	44.0	42.7812714584734	149.39032294549273	150	pass	pass	fail	pass	fail	warn	pass	warn	fail	warn	pass
SFZ_P3_R2	SFZ_P3_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	21803184.0	3.2 Gbp	0.0	30-150	44.0	42.22931285968763	149.39057082213313	150	pass	pass	fail	pass	fail	warn	pass	warn	fail	warn	pass
