Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24
GW_P3_R1	(30, 2409.0)	(35, 2852.0)	(40, 5251.0)	(45, 7960.0)	(50, 9999.0)	(55, 12942.0)	(60, 16214.0)	(65, 16014.0)	(70, 20175.0)	(75, 19376.0)	(80, 23526.0)	(85, 23814.0)	(90, 27205.0)	(95, 29063.0)	(100, 33170.0)	(105, 37307.0)	(110, 41959.0)	(115, 49280.0)	(120, 56575.0)	(125, 66687.0)	(130, 70575.0)	(135, 83868.0)	(140, 104694.0)	(145, 120769.0)	(150, 18372511.0)
GW_P3_R2	(30, 2414.0)	(35, 2881.0)	(40, 5274.0)	(45, 7993.0)	(50, 10026.0)	(55, 12963.0)	(60, 16236.0)	(65, 16024.0)	(70, 20184.0)	(75, 19360.0)	(80, 23477.0)	(85, 23782.0)	(90, 27152.0)	(95, 29007.0)	(100, 33091.0)	(105, 37195.0)	(110, 41859.0)	(115, 49101.0)	(120, 55746.0)	(125, 66295.0)	(130, 70072.0)	(135, 83258.0)	(140, 104332.0)	(145, 129032.0)	(150, 18367441.0)
SFZ_Mock1_R1	(30, 3281.0)	(35, 3716.0)	(40, 7476.0)	(45, 11724.0)	(50, 15595.0)	(55, 18875.0)	(60, 23459.0)	(65, 22392.0)	(70, 27294.0)	(75, 25812.0)	(80, 29848.0)	(85, 29414.0)	(90, 32617.0)	(95, 33463.0)	(100, 37511.0)	(105, 40177.0)	(110, 44032.0)	(115, 50774.0)	(120, 56553.0)	(125, 64476.0)	(130, 68096.0)	(135, 80202.0)	(140, 100683.0)	(145, 112161.0)	(150, 21336725.0)
SFZ_Mock1_R2	(30, 3286.0)	(35, 3746.0)	(40, 7513.0)	(45, 11754.0)	(50, 15612.0)	(55, 18903.0)	(60, 23463.0)	(65, 22394.0)	(70, 27285.0)	(75, 25798.0)	(80, 29797.0)	(85, 29386.0)	(90, 32563.0)	(95, 33380.0)	(100, 37412.0)	(105, 40067.0)	(110, 43892.0)	(115, 50616.0)	(120, 55921.0)	(125, 64117.0)	(130, 67689.0)	(135, 79535.0)	(140, 99947.0)	(145, 125703.0)	(150, 21326577.0)
SFZ_Mock2_R1	(30, 3474.0)	(35, 4117.0)	(40, 7661.0)	(45, 11176.0)	(50, 14262.0)	(55, 16952.0)	(60, 20626.0)	(65, 19373.0)	(70, 22623.0)	(75, 20994.0)	(80, 23142.0)	(85, 23052.0)	(90, 24506.0)	(95, 24402.0)	(100, 26744.0)	(105, 27847.0)	(110, 29693.0)	(115, 33009.0)	(120, 36819.0)	(125, 40083.0)	(130, 42080.0)	(135, 47968.0)	(140, 64715.0)	(145, 68880.0)	(150, 21718146.0)
SFZ_Mock2_R2	(30, 3492.0)	(35, 4134.0)	(40, 7683.0)	(45, 11230.0)	(50, 14283.0)	(55, 16972.0)	(60, 20643.0)	(65, 19376.0)	(70, 22617.0)	(75, 20980.0)	(80, 23119.0)	(85, 23004.0)	(90, 24466.0)	(95, 24360.0)	(100, 26687.0)	(105, 27787.0)	(110, 29609.0)	(115, 32890.0)	(120, 35167.0)	(125, 39553.0)	(130, 41198.0)	(135, 47083.0)	(140, 63959.0)	(145, 81805.0)	(150, 21710247.0)
SFZ_Mock3_R1	(30, 3148.0)	(35, 3838.0)	(40, 7381.0)	(45, 10792.0)	(50, 13105.0)	(55, 15675.0)	(60, 18404.0)	(65, 17693.0)	(70, 20900.0)	(75, 19828.0)	(80, 21890.0)	(85, 22046.0)	(90, 23687.0)	(95, 24261.0)	(100, 26923.0)	(105, 28372.0)	(110, 31092.0)	(115, 35220.0)	(120, 39060.0)	(125, 44694.0)	(130, 47746.0)	(135, 55363.0)	(140, 73925.0)	(145, 81180.0)	(150, 22099674.0)
SFZ_Mock3_R2	(30, 3152.0)	(35, 3861.0)	(40, 7414.0)	(45, 10837.0)	(50, 13124.0)	(55, 15687.0)	(60, 18418.0)	(65, 17706.0)	(70, 20912.0)	(75, 19812.0)	(80, 21896.0)	(85, 22020.0)	(90, 23663.0)	(95, 24218.0)	(100, 26861.0)	(105, 28286.0)	(110, 31025.0)	(115, 35046.0)	(120, 38579.0)	(125, 44405.0)	(130, 47419.0)	(135, 54932.0)	(140, 73494.0)	(145, 94089.0)	(150, 22089041.0)
SFZ_P1_R1	(30, 3789.0)	(35, 4028.0)	(40, 6703.0)	(45, 10002.0)	(50, 12822.0)	(55, 15584.0)	(60, 18111.0)	(65, 16981.0)	(70, 20485.0)	(75, 19328.0)	(80, 21690.0)	(85, 22136.0)	(90, 23679.0)	(95, 23823.0)	(100, 26471.0)	(105, 28177.0)	(110, 30436.0)	(115, 33745.0)	(120, 36368.0)	(125, 41221.0)	(130, 43541.0)	(135, 50357.0)	(140, 69067.0)	(145, 74241.0)	(150, 21521221.0)
SFZ_P1_R2	(30, 3801.0)	(35, 4040.0)	(40, 6742.0)	(45, 10028.0)	(50, 12837.0)	(55, 15596.0)	(60, 18118.0)	(65, 16986.0)	(70, 20478.0)	(75, 19322.0)	(80, 21674.0)	(85, 22116.0)	(90, 23634.0)	(95, 23784.0)	(100, 26400.0)	(105, 28110.0)	(110, 30360.0)	(115, 33610.0)	(120, 35775.0)	(125, 40968.0)	(130, 43197.0)	(135, 49902.0)	(140, 68790.0)	(145, 88803.0)	(150, 21508935.0)
SFZ_P2_R1	(30, 4230.0)	(35, 4556.0)	(40, 7408.0)	(45, 11612.0)	(50, 15887.0)	(55, 19751.0)	(60, 23853.0)	(65, 22152.0)	(70, 27764.0)	(75, 25777.0)	(80, 29955.0)	(85, 30060.0)	(90, 32580.0)	(95, 32933.0)	(100, 36756.0)	(105, 39267.0)	(110, 42249.0)	(115, 47642.0)	(120, 52468.0)	(125, 58859.0)	(130, 62075.0)	(135, 70838.0)	(140, 92190.0)	(145, 99990.0)	(150, 21672953.0)
SFZ_P2_R2	(30, 4232.0)	(35, 4596.0)	(40, 7464.0)	(45, 11678.0)	(50, 15924.0)	(55, 19808.0)	(60, 23871.0)	(65, 22177.0)	(70, 27761.0)	(75, 25774.0)	(80, 29906.0)	(85, 30021.0)	(90, 32517.0)	(95, 32853.0)	(100, 36681.0)	(105, 39177.0)	(110, 42127.0)	(115, 47467.0)	(120, 51500.0)	(125, 58510.0)	(130, 61521.0)	(135, 70055.0)	(140, 91443.0)	(145, 115100.0)	(150, 21661642.0)
SFZ_P3_R1	(30, 3337.0)	(35, 3775.0)	(40, 6362.0)	(45, 9247.0)	(50, 11886.0)	(55, 14451.0)	(60, 16682.0)	(65, 15491.0)	(70, 19014.0)	(75, 17654.0)	(80, 20162.0)	(85, 20253.0)	(90, 21567.0)	(95, 22013.0)	(100, 24246.0)	(105, 26430.0)	(110, 28425.0)	(115, 31103.0)	(120, 34196.0)	(125, 38640.0)	(130, 41032.0)	(135, 46862.0)	(140, 65171.0)	(145, 69859.0)	(150, 21195326.0)
SFZ_P3_R2	(30, 3346.0)	(35, 3792.0)	(40, 6371.0)	(45, 9269.0)	(50, 11899.0)	(55, 14462.0)	(60, 16673.0)	(65, 15492.0)	(70, 19021.0)	(75, 17645.0)	(80, 20149.0)	(85, 20245.0)	(90, 21537.0)	(95, 21948.0)	(100, 24184.0)	(105, 26350.0)	(110, 28350.0)	(115, 30994.0)	(120, 33462.0)	(125, 38401.0)	(130, 40694.0)	(135, 46338.0)	(140, 64956.0)	(145, 83633.0)	(150, 21183973.0)
