Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21
GW_P3_R1	(19.0, 2.0)	(20.0, 1752.0)	(21.0, 15019.0)	(22.0, 26554.0)	(23.0, 30826.0)	(24.0, 37683.0)	(25.0, 43147.0)	(26.0, 51064.0)	(27.0, 57435.0)	(28.0, 68546.0)	(29.0, 77917.0)	(30.0, 96556.0)	(31.0, 114811.0)	(32.0, 146368.0)	(33.0, 184602.0)	(34.0, 258853.0)	(35.0, 378018.0)	(36.0, 651721.0)	(37.0, 1198014.0)	(38.0, 2957397.0)	(39.0, 8284098.0)	(40.0, 4573812.0)
GW_P3_R2	(19.0, 46.0)	(20.0, 3482.0)	(21.0, 23293.0)	(22.0, 35260.0)	(23.0, 39599.0)	(24.0, 46582.0)	(25.0, 51401.0)	(26.0, 58298.0)	(27.0, 63568.0)	(28.0, 73190.0)	(29.0, 82840.0)	(30.0, 99760.0)	(31.0, 117411.0)	(32.0, 147652.0)	(33.0, 186566.0)	(34.0, 262283.0)	(35.0, 391400.0)	(36.0, 689030.0)	(37.0, 1267981.0)	(38.0, 2929247.0)	(39.0, 8790745.0)	(40.0, 3894561.0)
SFZ_Mock1_R1	(19.0, 2.0)	(20.0, 1828.0)	(21.0, 15768.0)	(22.0, 28020.0)	(23.0, 33113.0)	(24.0, 40148.0)	(25.0, 46077.0)	(26.0, 55101.0)	(27.0, 61826.0)	(28.0, 74884.0)	(29.0, 86837.0)	(30.0, 107308.0)	(31.0, 127431.0)	(32.0, 163221.0)	(33.0, 207642.0)	(34.0, 292200.0)	(35.0, 428155.0)	(36.0, 734795.0)	(37.0, 1348994.0)	(38.0, 3299358.0)	(39.0, 9517433.0)	(40.0, 5606215.0)
SFZ_Mock1_R2	(19.0, 63.0)	(20.0, 4116.0)	(21.0, 26895.0)	(22.0, 40432.0)	(23.0, 44112.0)	(24.0, 51821.0)	(25.0, 57215.0)	(26.0, 64643.0)	(27.0, 70851.0)	(28.0, 83305.0)	(29.0, 93687.0)	(30.0, 113012.0)	(31.0, 132540.0)	(32.0, 169332.0)	(33.0, 212070.0)	(34.0, 300117.0)	(35.0, 447891.0)	(36.0, 786206.0)	(37.0, 1438433.0)	(38.0, 3291045.0)	(39.0, 10273448.0)	(40.0, 4575122.0)
SFZ_Mock2_R1	(19.0, 3.0)	(20.0, 1869.0)	(21.0, 16355.0)	(22.0, 28084.0)	(23.0, 33759.0)	(24.0, 40880.0)	(25.0, 46286.0)	(26.0, 55743.0)	(27.0, 62751.0)	(28.0, 74985.0)	(29.0, 86585.0)	(30.0, 105602.0)	(31.0, 125374.0)	(32.0, 160061.0)	(33.0, 202469.0)	(34.0, 284081.0)	(35.0, 415865.0)	(36.0, 709385.0)	(37.0, 1287172.0)	(38.0, 3086294.0)	(39.0, 9531759.0)	(40.0, 6016982.0)
SFZ_Mock2_R2	(19.0, 69.0)	(20.0, 4608.0)	(21.0, 30313.0)	(22.0, 44920.0)	(23.0, 48970.0)	(24.0, 57192.0)	(25.0, 62465.0)	(26.0, 71252.0)	(27.0, 76843.0)	(28.0, 89564.0)	(29.0, 101378.0)	(30.0, 120772.0)	(31.0, 141687.0)	(32.0, 179117.0)	(33.0, 224024.0)	(34.0, 315121.0)	(35.0, 462291.0)	(36.0, 800699.0)	(37.0, 1428086.0)	(38.0, 3127958.0)	(39.0, 10231390.0)	(40.0, 4753625.0)
SFZ_Mock3_R1	(19.0, 2.0)	(20.0, 2005.0)	(21.0, 16623.0)	(22.0, 28604.0)	(23.0, 33539.0)	(24.0, 40717.0)	(25.0, 46119.0)	(26.0, 54578.0)	(27.0, 61640.0)	(28.0, 73543.0)	(29.0, 84064.0)	(30.0, 102955.0)	(31.0, 122036.0)	(32.0, 155356.0)	(33.0, 195439.0)	(34.0, 274174.0)	(35.0, 402223.0)	(36.0, 683287.0)	(37.0, 1234278.0)	(38.0, 2978125.0)	(39.0, 9697160.0)	(40.0, 6499430.0)
SFZ_Mock3_R2	(19.0, 82.0)	(20.0, 3776.0)	(21.0, 23980.0)	(22.0, 36545.0)	(23.0, 40474.0)	(24.0, 48452.0)	(25.0, 53289.0)	(26.0, 61663.0)	(27.0, 66696.0)	(28.0, 77284.0)	(29.0, 87446.0)	(30.0, 104821.0)	(31.0, 122489.0)	(32.0, 155152.0)	(33.0, 194374.0)	(34.0, 274968.0)	(35.0, 406723.0)	(36.0, 714118.0)	(37.0, 1301103.0)	(38.0, 2965599.0)	(39.0, 10687861.0)	(40.0, 5359002.0)
SFZ_P1_R1	(19.0, 4.0)	(20.0, 2069.0)	(21.0, 16732.0)	(22.0, 29008.0)	(23.0, 34531.0)	(24.0, 41717.0)	(25.0, 47675.0)	(26.0, 56170.0)	(27.0, 63375.0)	(28.0, 75593.0)	(29.0, 86973.0)	(30.0, 106457.0)	(31.0, 125755.0)	(32.0, 159960.0)	(33.0, 199886.0)	(34.0, 280714.0)	(35.0, 407939.0)	(36.0, 691724.0)	(37.0, 1252895.0)	(38.0, 3003122.0)	(39.0, 9382246.0)	(40.0, 6109461.0)
SFZ_P1_R2	(19.0, 72.0)	(20.0, 3825.0)	(21.0, 24711.0)	(22.0, 36780.0)	(23.0, 41165.0)	(24.0, 48581.0)	(25.0, 53912.0)	(26.0, 61164.0)	(27.0, 67088.0)	(28.0, 77750.0)	(29.0, 87710.0)	(30.0, 105895.0)	(31.0, 122978.0)	(32.0, 155661.0)	(33.0, 195639.0)	(34.0, 275249.0)	(35.0, 407223.0)	(36.0, 715308.0)	(37.0, 1309092.0)	(38.0, 2989075.0)	(39.0, 10415907.0)	(40.0, 4979221.0)
SFZ_P2_R1	(19.0, 1.0)	(20.0, 2053.0)	(21.0, 17178.0)	(22.0, 29508.0)	(23.0, 35105.0)	(24.0, 42368.0)	(25.0, 48459.0)	(26.0, 57484.0)	(27.0, 64478.0)	(28.0, 77652.0)	(29.0, 88889.0)	(30.0, 109076.0)	(31.0, 129517.0)	(32.0, 164278.0)	(33.0, 206404.0)	(34.0, 289700.0)	(35.0, 421045.0)	(36.0, 716838.0)	(37.0, 1289104.0)	(38.0, 3075119.0)	(39.0, 9549226.0)	(40.0, 6150323.0)
SFZ_P2_R2	(19.0, 80.0)	(20.0, 4215.0)	(21.0, 27758.0)	(22.0, 41581.0)	(23.0, 45929.0)	(24.0, 53142.0)	(25.0, 58532.0)	(26.0, 67289.0)	(27.0, 72723.0)	(28.0, 84662.0)	(29.0, 94701.0)	(30.0, 114205.0)	(31.0, 133353.0)	(32.0, 168507.0)	(33.0, 211826.0)	(34.0, 296579.0)	(35.0, 437693.0)	(36.0, 763955.0)	(37.0, 1376219.0)	(38.0, 3094937.0)	(39.0, 10476932.0)	(40.0, 4938987.0)
SFZ_P3_R1	(19.0, 2.0)	(20.0, 1705.0)	(21.0, 14827.0)	(22.0, 26545.0)	(23.0, 32326.0)	(24.0, 39304.0)	(25.0, 44992.0)	(26.0, 54063.0)	(27.0, 61268.0)	(28.0, 72866.0)	(29.0, 84498.0)	(30.0, 103598.0)	(31.0, 122988.0)	(32.0, 156559.0)	(33.0, 199779.0)	(34.0, 281325.0)	(35.0, 413035.0)	(36.0, 706658.0)	(37.0, 1281642.0)	(38.0, 3083683.0)	(39.0, 10006323.0)	(40.0, 5015198.0)
SFZ_P3_R2	(19.0, 64.0)	(20.0, 3554.0)	(21.0, 23804.0)	(22.0, 36079.0)	(23.0, 40031.0)	(24.0, 48731.0)	(25.0, 53959.0)	(26.0, 61753.0)	(27.0, 67653.0)	(28.0, 79300.0)	(29.0, 89144.0)	(30.0, 107059.0)	(31.0, 124927.0)	(32.0, 158365.0)	(33.0, 199768.0)	(34.0, 281319.0)	(35.0, 416448.0)	(36.0, 726429.0)	(37.0, 1317548.0)	(38.0, 3020139.0)	(39.0, 10783935.0)	(40.0, 4163175.0)
