Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
GW_P3_R1	(1.0, 32.90812240170971)	(2.0, 11.300728066890303)	(3.0, 6.207452126654884)	(4.0, 3.942117052625709)	(5.0, 2.7608746164508218)	(6.0, 2.123187016885011)	(7.0, 1.6802052302460988)	(8.0, 1.3277529845033154)	(9.0, 1.1724159881977423)	('>10', 13.029748668130983)	('>50', 3.484908495748172)	('>100', 6.033018519069951)	('>500', 2.456740893876436)	('>1k', 6.440160114046255)	('>5k', 3.0250446937948277)	('>10k+', 2.10752313116986)
GW_P3_R2	(1.0, 33.30515734381306)	(2.0, 11.469917377012964)	(3.0, 6.118436670196201)	(4.0, 3.92517317892151)	(5.0, 2.7334396230735143)	(6.0, 2.1188727654589163)	(7.0, 1.7319960962587655)	(8.0, 1.3382973963381106)	(9.0, 1.0950001115169745)	('>10', 12.61599179030676)	('>50', 3.3902710166664463)	('>100', 6.177193750724355)	('>500', 2.5216622300380904)	('>1k', 6.406156139512914)	('>5k', 2.776139284547137)	('>10k+', 2.2762952256143687)
SFZ_Mock1_R1	(1.0, 36.31013884277771)	(2.0, 12.265622469610651)	(3.0, 6.328283981704673)	(4.0, 3.9277281688358916)	(5.0, 2.692494927241462)	(6.0, 1.8882109897832438)	(7.0, 1.473757374139773)	(8.0, 1.2241481018934237)	(9.0, 1.0054463082003415)	('>10', 10.25351923884188)	('>50', 2.7484052350365573)	('>100', 5.622190471546169)	('>500', 2.4952228028469707)	('>1k', 6.649665322853742)	('>5k', 2.310896493638706)	('>10k+', 2.804269271048585)
SFZ_Mock1_R2	(1.0, 36.94066135120525)	(2.0, 12.308097326264713)	(3.0, 6.348206933620469)	(4.0, 3.791337272105787)	(5.0, 2.5589198583179753)	(6.0, 1.8154405605398705)	(7.0, 1.4526171180391796)	(8.0, 1.188663415243813)	(9.0, 1.0235877733019032)	('>10', 9.838117474210838)	('>50', 2.7632032468564467)	('>100', 5.643073887502552)	('>500', 2.4740876638846014)	('>1k', 6.6854302994662484)	('>5k', 2.3790945052014694)	('>10k+', 2.7894613142386886)
SFZ_Mock2_R1	(1.0, 35.4977733245785)	(2.0, 12.362373034874626)	(3.0, 6.5433418991352035)	(4.0, 3.9290385590052432)	(5.0, 2.5985772410283583)	(6.0, 1.923150314867109)	(7.0, 1.5175866334736923)	(8.0, 1.219487055771392)	(9.0, 1.0162483941622997)	('>10', 10.388317088479285)	('>50', 2.8004071001995854)	('>100', 5.680195726401354)	('>500', 2.5202929433516776)	('>1k', 6.7255277808947485)	('>5k', 2.299676684699868)	('>10k+', 2.978006219077211)
SFZ_Mock2_R2	(1.0, 36.85404357462399)	(2.0, 12.33847776293302)	(3.0, 6.388670949511637)	(4.0, 3.7802171983529074)	(5.0, 2.496493189797475)	(6.0, 1.8460953678403507)	(7.0, 1.4111798236385726)	(8.0, 1.1885796872059)	(9.0, 0.9298798749960165)	('>10', 9.912295168966324)	('>50', 2.7241912779538526)	('>100', 5.603153710740108)	('>500', 2.496539798419212)	('>1k', 6.6185630861767155)	('>5k', 2.3549931211020634)	('>10k+', 3.056626407741901)
SFZ_Mock3_R1	(1.0, 35.40629464057483)	(2.0, 12.455934955645821)	(3.0, 6.553069780431597)	(4.0, 3.8784042632870026)	(5.0, 2.6405646439039936)	(6.0, 1.8984666300466924)	(7.0, 1.4958953917346536)	(8.0, 1.198592421714471)	(9.0, 1.0040695722185424)	('>10', 10.397584814644384)	('>50', 2.8826986574358595)	('>100', 5.836392234721116)	('>500', 2.5041571888359786)	('>1k', 6.740097428328884)	('>5k', 2.3029584041362914)	('>10k+', 2.8048189723398145)
SFZ_Mock3_R2	(1.0, 35.78105780338718)	(2.0, 12.477022788240474)	(3.0, 6.367348674205223)	(4.0, 3.796111031629639)	(5.0, 2.668949191151677)	(6.0, 1.9252834960352967)	(7.0, 1.4611521330335753)	(8.0, 1.1747771440341206)	(9.0, 0.9861426998552004)	('>10', 10.247767825577014)	('>50', 2.86919801941877)	('>100', 5.939551759303276)	('>500', 2.4806668959358498)	('>1k', 6.617317074036136)	('>5k', 2.3000873231044756)	('>10k+', 2.907566141051984)
SFZ_P1_R1	(1.0, 37.41662497746045)	(2.0, 12.421745745368993)	(3.0, 6.678258604137934)	(4.0, 4.179425988916021)	(5.0, 2.8673301385372123)	(6.0, 2.0746155819343035)	(7.0, 1.6784884099487907)	(8.0, 1.3368135988496914)	(9.0, 1.111359692204598)	('>10', 11.499777084141446)	('>50', 2.9095678767411437)	('>100', 5.283646712068599)	('>500', 2.2865467777650488)	('>1k', 5.173383822858105)	('>5k', 1.6361606494581225)	('>10k+', 1.4462543396096361)
SFZ_P1_R2	(1.0, 37.540508054932666)	(2.0, 12.566224984357548)	(3.0, 6.509208793436063)	(4.0, 4.0961145568480815)	(5.0, 2.813541619416917)	(6.0, 2.084659621144343)	(7.0, 1.5923559899868593)	(8.0, 1.325383983738072)	(9.0, 1.1304901465826769)	('>10', 11.390620399854534)	('>50', 2.876929414612508)	('>100', 5.457468774209845)	('>500', 2.2513192391202947)	('>1k', 5.163824224031849)	('>5k', 1.5056665053841596)	('>10k+', 1.6956836923436254)
SFZ_P2_R1	(1.0, 36.64178923900367)	(2.0, 12.528632161329947)	(3.0, 6.684504489022289)	(4.0, 4.026173666019995)	(5.0, 2.800375585043562)	(6.0, 2.1130960020636342)	(7.0, 1.6800523677928454)	(8.0, 1.2472357259324187)	(9.0, 1.0997486166899828)	('>10', 11.567470516878265)	('>50', 2.975460674904819)	('>100', 5.638697273912852)	('>500', 2.287010277422342)	('>1k', 5.394492509675335)	('>5k', 1.5142317794592273)	('>10k+', 1.8010291148487192)
SFZ_P2_R2	(1.0, 37.41019679394869)	(2.0, 12.521565296890163)	(3.0, 6.535517128696005)	(4.0, 3.8962581114127794)	(5.0, 2.764146918814001)	(6.0, 2.024102346497743)	(7.0, 1.586339401715239)	(8.0, 1.2482638801881762)	(9.0, 1.0733833545488112)	('>10', 11.390971937965881)	('>50', 2.983040084755446)	('>100', 5.539489496579117)	('>500', 2.2625647932376283)	('>1k', 5.280553797814878)	('>5k', 1.6615345008498859)	('>10k+', 1.8220721560854949)
SFZ_P3_R1	(1.0, 29.343969232417372)	(2.0, 14.322583554626005)	(3.0, 7.932549419657311)	(4.0, 4.8492060369323955)	(5.0, 3.2291655533433903)	(6.0, 2.3819326228320303)	(7.0, 1.7989804997280157)	(8.0, 1.5454410471676931)	(9.0, 1.2239901186465523)	('>10', 12.630261780045101)	('>50', 3.219191583612705)	('>100', 6.047881205792931)	('>500', 2.4370297454013827)	('>1k', 5.704706595586901)	('>5k', 1.7034672255773895)	('>10k+', 1.6296437786328741)
SFZ_P3_R2	(1.0, 28.64372977641122)	(2.0, 14.468560868959932)	(3.0, 8.019629281149989)	(4.0, 4.876851526174842)	(5.0, 3.332824886494142)	(6.0, 2.4030050008041868)	(7.0, 1.8866197871342392)	(8.0, 1.4866431513177982)	(9.0, 1.2738016766272418)	('>10', 12.633937909234424)	('>50', 3.335019050069648)	('>100', 5.929971569499051)	('>500', 2.465522722447383)	('>1k', 5.6981691441377835)	('>5k', 1.665570894176753)	('>10k+', 1.8801427553614216)
