transcript_id	exact_sequence_duplicate_status
LITCHI010900.m3	EXCLUDED_FROM_DTU
LITCHI010900.m6	EXCLUDED_FROM_DTU
LITCHI010928.m2	EXCLUDED_FROM_DTU
LITCHI010948.m4	EXCLUDED_FROM_DTU
LITCHI011553.m3	EXCLUDED_FROM_DTU
LITCHI011831.m1	EXCLUDED_FROM_DTU
LITCHI011833.m1	EXCLUDED_FROM_DTU
LITCHI011836.m1	EXCLUDED_FROM_DTU
LITCHI011858.m1	EXCLUDED_FROM_DTU
LITCHI011999.m1	EXCLUDED_FROM_DTU
LITCHI028156.m1	EXCLUDED_FROM_DTU
LITCHI028545.m1	EXCLUDED_FROM_DTU
LITCHI028612.m1	EXCLUDED_FROM_DTU
LITCHI028718.m17	EXCLUDED_FROM_DTU
LITCHI028718.m4	EXCLUDED_FROM_DTU
LITCHI028718.m6	EXCLUDED_FROM_DTU
LITCHI028718.m7	EXCLUDED_FROM_DTU
LITCHI029162.m1	EXCLUDED_FROM_DTU
LITCHI029636.m3	EXCLUDED_FROM_DTU
LITCHI029689.m2	EXCLUDED_FROM_DTU
LITCHI029838.m1	EXCLUDED_FROM_DTU
LITCHI021758.m1	EXCLUDED_FROM_DTU
LITCHI021777.m1	EXCLUDED_FROM_DTU
LITCHI021962.m1	EXCLUDED_FROM_DTU
LITCHI021963.m1	EXCLUDED_FROM_DTU
LITCHI022296.m1	EXCLUDED_FROM_DTU
LITCHI022346.m1	EXCLUDED_FROM_DTU
LITCHI022893.m1	EXCLUDED_FROM_DTU
LITCHI023450.m1	EXCLUDED_FROM_DTU
LITCHI006381.m1	EXCLUDED_FROM_DTU
LITCHI006517.m1	EXCLUDED_FROM_DTU
LITCHI006754.m2	EXCLUDED_FROM_DTU
LITCHI007055.m1	EXCLUDED_FROM_DTU
LITCHI007849.m1	EXCLUDED_FROM_DTU
LITCHI008027.m1	EXCLUDED_FROM_DTU
LITCHI008028.m1	EXCLUDED_FROM_DTU
LITCHI019811.m1	EXCLUDED_FROM_DTU
LITCHI019877.m1	EXCLUDED_FROM_DTU
LITCHI020345.m4	EXCLUDED_FROM_DTU
LITCHI020345.m7	EXCLUDED_FROM_DTU
LITCHI021027.m1	EXCLUDED_FROM_DTU
LITCHI023675.m1	EXCLUDED_FROM_DTU
LITCHI024001.m1	EXCLUDED_FROM_DTU
LITCHI024233.m2	EXCLUDED_FROM_DTU
LITCHI024504.m1	EXCLUDED_FROM_DTU
LITCHI024505.m1	EXCLUDED_FROM_DTU
LITCHI025130.m5	EXCLUDED_FROM_DTU
LITCHI025223.m1	EXCLUDED_FROM_DTU
LITCHI025223.m2	EXCLUDED_FROM_DTU
LITCHI025223.m3	EXCLUDED_FROM_DTU
LITCHI025223.m5	EXCLUDED_FROM_DTU
LITCHI004558.m4	EXCLUDED_FROM_DTU
LITCHI004653.m1	EXCLUDED_FROM_DTU
LITCHI004797.m6	EXCLUDED_FROM_DTU
LITCHI004912.m3	EXCLUDED_FROM_DTU
LITCHI004912.m4	EXCLUDED_FROM_DTU
LITCHI005100.m4	EXCLUDED_FROM_DTU
LITCHI006047.m1	EXCLUDED_FROM_DTU
LITCHI017876.m1	EXCLUDED_FROM_DTU
LITCHI018028.m1	EXCLUDED_FROM_DTU
LITCHI018051.m2	EXCLUDED_FROM_DTU
LITCHI018118.m2	EXCLUDED_FROM_DTU
LITCHI018137.m1	EXCLUDED_FROM_DTU
LITCHI018139.m1	EXCLUDED_FROM_DTU
LITCHI018140.m1	EXCLUDED_FROM_DTU
LITCHI019128.m1	EXCLUDED_FROM_DTU
LITCHI019330.m11	EXCLUDED_FROM_DTU
LITCHI019330.m2	EXCLUDED_FROM_DTU
LITCHI019330.m4	EXCLUDED_FROM_DTU
LITCHI019330.m5	EXCLUDED_FROM_DTU
LITCHI019330.m6	EXCLUDED_FROM_DTU
LITCHI019330.m8	EXCLUDED_FROM_DTU
LITCHI019330.m9	EXCLUDED_FROM_DTU
LITCHI019630.m2	EXCLUDED_FROM_DTU
LITCHI019630.m3	EXCLUDED_FROM_DTU
LITCHI019630.m4	EXCLUDED_FROM_DTU
