sample_id	PC1	PC2	PC1_variance_fraction	PC2_variance_fraction	study	geo_series	biosample	experiment	run	cultivar	treatment	time_h	tissue	replicate	modality	library_layout	instrument	read_count	base_count	fastq_ftp	fastq_md5	primary_status	reason	all_sample_sensitivity	time
HC_24hpi_3	25.1658155333439	-10.1573826178939	0.525357900385263	0.198176146981736	PRJNA450886	NA	SAMN10576457	SRX5112203	SRR8297733	Heiye	mock	24	pericarp	3	mRNA	PAIRED	Illumina HiSeq 2500	12927185	3231796250	ftp.sra.ebi.ac.uk/vol1/fastq/SRR829/003/SRR8297733/SRR8297733_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR829/003/SRR8297733/SRR8297733_2.fastq.gz	91341d0bad911fd200e0135c8de875b1;f9d618904cb5205aceea40d7a4986d51	INCLUDE	none	retain	24
HI_48hpi_1	31.3138665121522	-23.9209291976768	0.525357900385263	0.198176146981736	PRJNA450886	NA	SAMN10576467	SRX5112218	SRR8297718	Heiye	infected	48	pericarp	1	mRNA	PAIRED	Illumina HiSeq 2500	16327810	4081952500	ftp.sra.ebi.ac.uk/vol1/fastq/SRR829/008/SRR8297718/SRR8297718_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR829/008/SRR8297718/SRR8297718_2.fastq.gz	107b3b9e856bf49874f4f1a5318365f1;e0d66afd8e3698a4aa184119a4effd39	INCLUDE	none	retain	48
HI_48hpi_2	28.8559376738058	-22.5102850045051	0.525357900385263	0.198176146981736	PRJNA450886	NA	SAMN10576468	SRX5112213	SRR8297723	Heiye	infected	48	pericarp	2	mRNA	PAIRED	Illumina HiSeq 2500	12962483	3240620750	ftp.sra.ebi.ac.uk/vol1/fastq/SRR829/003/SRR8297723/SRR8297723_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR829/003/SRR8297723/SRR8297723_2.fastq.gz	0a753cee30061304be651ff64c5259d1;bf4ed5ad59c1183a0c353efcbe11dff5	INCLUDE	none	retain	48
HI_48hpi_3	29.0813961872809	-23.7708091762373	0.525357900385263	0.198176146981736	PRJNA450886	NA	SAMN10576469	SRX5112214	SRR8297722	Heiye	infected	48	pericarp	3	mRNA	PAIRED	Illumina HiSeq 2500	16445484	4111371000	ftp.sra.ebi.ac.uk/vol1/fastq/SRR829/002/SRR8297722/SRR8297722_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR829/002/SRR8297722/SRR8297722_2.fastq.gz	2007b6c92785d6237b1db9a8c5ca3318;ebea1592a94c304103a191a7104ca3f3	INCLUDE	none	retain	48
HC_48hpi_1	25.545944992701	-29.8695314694919	0.525357900385263	0.198176146981736	PRJNA450886	NA	SAMN10576458	SRX5112210	SRR8297726	Heiye	mock	48	pericarp	1	mRNA	PAIRED	Illumina HiSeq 2500	15392143	3848035750	ftp.sra.ebi.ac.uk/vol1/fastq/SRR829/006/SRR8297726/SRR8297726_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR829/006/SRR8297726/SRR8297726_2.fastq.gz	aa875161f15d110718226d83b2526339;36afea5d41b15fb4359f3c2d8886b788	INCLUDE	none	retain	48
HC_48hpi_2	28.7885154586019	-24.5752795002171	0.525357900385263	0.198176146981736	PRJNA450886	NA	SAMN10576459	SRX5112209	SRR8297727	Heiye	mock	48	pericarp	2	mRNA	PAIRED	Illumina HiSeq 2500	14780683	3695170750	ftp.sra.ebi.ac.uk/vol1/fastq/SRR829/007/SRR8297727/SRR8297727_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR829/007/SRR8297727/SRR8297727_2.fastq.gz	4a906e1097b92c4c99b8205b7b5cf31d;3a104d3657f94b3503afc9f39bdd89bc	INCLUDE	none	retain	48
HC_48hpi_3	28.6957161444152	-21.3393631916538	0.525357900385263	0.198176146981736	PRJNA450886	NA	SAMN10576460	SRX5112208	SRR8297728	Heiye	mock	48	pericarp	3	mRNA	PAIRED	Illumina HiSeq 2500	13277950	3319487500	ftp.sra.ebi.ac.uk/vol1/fastq/SRR829/008/SRR8297728/SRR8297728_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR829/008/SRR8297728/SRR8297728_2.fastq.gz	c669c1d0bca2aaf04f45e04dec7f436d;9fc1a6500a6edae07e2dbf45dc88d7a7	INCLUDE	none	retain	48
HI_6hpi_1	36.3317075745508	31.0805783322775	0.525357900385263	0.198176146981736	PRJNA450886	NA	SAMN10576461	SRX5112207	SRR8297729	Heiye	infected	6	pericarp	1	mRNA	PAIRED	Illumina HiSeq 2500	17349898	4337474500	ftp.sra.ebi.ac.uk/vol1/fastq/SRR829/009/SRR8297729/SRR8297729_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR829/009/SRR8297729/SRR8297729_2.fastq.gz	0d1cb4039bda46d0844f44201d38044e;eaf272efc2a87ecf126c910c5e518f87	INCLUDE	none	retain	6
HI_6hpi_2	33.7142489325998	27.022659921915	0.525357900385263	0.198176146981736	PRJNA450886	NA	SAMN10576462	SRX5112212	SRR8297724	Heiye	infected	6	pericarp	2	mRNA	PAIRED	Illumina HiSeq 2500	16613271	4153317750	ftp.sra.ebi.ac.uk/vol1/fastq/SRR829/004/SRR8297724/SRR8297724_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR829/004/SRR8297724/SRR8297724_2.fastq.gz	36746b0c3e1e597295b34c867e1db967;9f90ecf9e2d0fd63da10664a6448efe4	INCLUDE	none	retain	6
HI_6hpi_3	35.9255970352657	29.4973389587088	0.525357900385263	0.198176146981736	PRJNA450886	NA	SAMN10576463	SRX5112211	SRR8297725	Heiye	infected	6	pericarp	3	mRNA	PAIRED	Illumina HiSeq 2500	14011765	3502941250	ftp.sra.ebi.ac.uk/vol1/fastq/SRR829/005/SRR8297725/SRR8297725_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR829/005/SRR8297725/SRR8297725_2.fastq.gz	c3677b0ee1c0fb102201014fce9e4b38;838d814bbf7566b415d1aa4e60bc2373	INCLUDE	none	retain	6
HC_6hpi_1	36.5106325036345	32.3636436087436	0.525357900385263	0.198176146981736	PRJNA450886	NA	SAMN10576452	SRX5112227	SRR8297709	Heiye	mock	6	pericarp	1	mRNA	PAIRED	Illumina HiSeq 2500	14555800	3638950000	ftp.sra.ebi.ac.uk/vol1/fastq/SRR829/009/SRR8297709/SRR8297709_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR829/009/SRR8297709/SRR8297709_2.fastq.gz	14b9174e6a9fb89dd6099034f6e481f8;8a396d306d03b2fbf69bfdfdf5cb8ab1	INCLUDE	none	retain	6
HC_6hpi_2	35.1062116382522	33.1371208544353	0.525357900385263	0.198176146981736	PRJNA450886	NA	SAMN10576453	SRX5112228	SRR8297708	Heiye	mock	6	pericarp	2	mRNA	PAIRED	Illumina HiSeq 2500	14526858	3631714500	ftp.sra.ebi.ac.uk/vol1/fastq/SRR829/008/SRR8297708/SRR8297708_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR829/008/SRR8297708/SRR8297708_2.fastq.gz	e5ecb6226c971742d73215cb5cdb0cbe;e1cf635b33ece65edc2d2fefcdf3c700	INCLUDE	none	retain	6
HC_6hpi_3	34.8169367433492	28.1988200704709	0.525357900385263	0.198176146981736	PRJNA450886	NA	SAMN10576454	SRX5112206	SRR8297730	Heiye	mock	6	pericarp	3	mRNA	PAIRED	Illumina HiSeq 2500	14337810	3584452500	ftp.sra.ebi.ac.uk/vol1/fastq/SRR829/000/SRR8297730/SRR8297730_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR829/000/SRR8297730/SRR8297730_2.fastq.gz	73482ee66cc53b9f09489cab306a137f;95e2a10098be86bfb846c2c52fc36325	INCLUDE	none	retain	6
