sample_id	signature_score	study	geo_series	biosample	experiment	run	cultivar	treatment	time_h	tissue	replicate	modality	library_layout	instrument	read_count	base_count	fastq_ftp	fastq_md5	primary_status	reason	all_sample_sensitivity	time
GC_48hpi_3	-0.0348085074964044	PRJNA450886	NA	SAMN10576442	SRX5112237	SRR8297699	Guiwei	mock	48	pericarp	3	mRNA	PAIRED	Illumina HiSeq 2500	13951404	3487851000	ftp.sra.ebi.ac.uk/vol1/fastq/SRR829/009/SRR8297699/SRR8297699_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR829/009/SRR8297699/SRR8297699_2.fastq.gz	f726420f8dfd60200d88bda00589b85f;efd4effa65f7cfe5b48d8c72d18e36ff	INCLUDE	none	retain	48
GI_6hpi_1	0.0216579122588195	PRJNA450886	NA	SAMN10576443	SRX5112238	SRR8297698	Guiwei	infected	6	pericarp	1	mRNA	PAIRED	Illumina HiSeq 2500	16377734	4094433500	ftp.sra.ebi.ac.uk/vol1/fastq/SRR829/008/SRR8297698/SRR8297698_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR829/008/SRR8297698/SRR8297698_2.fastq.gz	0751555cf19573563972711da37816a8;b65ee9f7515171889394b31a652a6efa	INCLUDE	none	retain	6
GI_6hpi_2	0.201517784754901	PRJNA450886	NA	SAMN10576444	SRX5112225	SRR8297711	Guiwei	infected	6	pericarp	2	mRNA	PAIRED	Illumina HiSeq 2500	14825761	3706440250	ftp.sra.ebi.ac.uk/vol1/fastq/SRR829/001/SRR8297711/SRR8297711_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR829/001/SRR8297711/SRR8297711_2.fastq.gz	31ccff0de497797549718c8557f64fba;4203788950526c48eb97dd25b6e782f8	INCLUDE	none	retain	6
GI_6hpi_3	0.158424937440777	PRJNA450886	NA	SAMN10576445	SRX5112226	SRR8297710	Guiwei	infected	6	pericarp	3	mRNA	PAIRED	Illumina HiSeq 2500	16894543	4223635750	ftp.sra.ebi.ac.uk/vol1/fastq/SRR829/000/SRR8297710/SRR8297710_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR829/000/SRR8297710/SRR8297710_2.fastq.gz	9a4975498455f6c1ddfe6a1e9d4e24be;bcfdbf452983cc187439e7c109035446	INCLUDE	none	retain	6
GC_6hpi_1	0.113276956569095	PRJNA450886	NA	SAMN10576434	SRX5112233	SRR8297703	Guiwei	mock	6	pericarp	1	mRNA	PAIRED	Illumina HiSeq 2500	13908643	3477160750	ftp.sra.ebi.ac.uk/vol1/fastq/SRR829/003/SRR8297703/SRR8297703_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR829/003/SRR8297703/SRR8297703_2.fastq.gz	00a33dc67f4365a58a9b2e120cebb6bc;974d886a9022fdc9c3c8bc35c6c8d467	INCLUDE	none	retain	6
GC_6hpi_2	0.0844789015033349	PRJNA450886	NA	SAMN10576435	SRX5112234	SRR8297702	Guiwei	mock	6	pericarp	2	mRNA	PAIRED	Illumina HiSeq 2500	13735915	3433978750	ftp.sra.ebi.ac.uk/vol1/fastq/SRR829/002/SRR8297702/SRR8297702_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR829/002/SRR8297702/SRR8297702_2.fastq.gz	7b80bf6de0204a12eabfb3ff2cf10ac9;6121fb638b50dc5bc3725ddb4d86e5cd	INCLUDE	none	retain	6
GC_6hpi_3	0.00365808691819948	PRJNA450886	NA	SAMN10576436	SRX5112235	SRR8297701	Guiwei	mock	6	pericarp	3	mRNA	PAIRED	Illumina HiSeq 2500	15624897	3906224250	ftp.sra.ebi.ac.uk/vol1/fastq/SRR829/001/SRR8297701/SRR8297701_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR829/001/SRR8297701/SRR8297701_2.fastq.gz	254c056df2cc2392d194e5625a5c5625;0c10cacf0f2c989e5afa1de5c98c6b45	INCLUDE	none	retain	6
HI_24hpi_1	-0.161207440634392	PRJNA450886	NA	SAMN10576464	SRX5112215	SRR8297721	Heiye	infected	24	pericarp	1	mRNA	PAIRED	Illumina HiSeq 2500	14456491	3614122750	ftp.sra.ebi.ac.uk/vol1/fastq/SRR829/001/SRR8297721/SRR8297721_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR829/001/SRR8297721/SRR8297721_2.fastq.gz	6e813eba9ca6cdbb7fb2472d504362b2;0739f3679ec8edc3df2b6392b1a46503	INCLUDE	none	retain	24
HI_24hpi_2	-0.0763815154213977	PRJNA450886	NA	SAMN10576465	SRX5112216	SRR8297720	Heiye	infected	24	pericarp	2	mRNA	PAIRED	Illumina HiSeq 2500	16315950	4078987500	ftp.sra.ebi.ac.uk/vol1/fastq/SRR829/000/SRR8297720/SRR8297720_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR829/000/SRR8297720/SRR8297720_2.fastq.gz	9e2f0b4fc7d6f778984354b98243538d;c36484ef795425173e0aa72a1affc244	INCLUDE	none	retain	24
HI_24hpi_3	-0.108716510165177	PRJNA450886	NA	SAMN10576466	SRX5112217	SRR8297719	Heiye	infected	24	pericarp	3	mRNA	PAIRED	Illumina HiSeq 2500	12630445	3157611250	ftp.sra.ebi.ac.uk/vol1/fastq/SRR829/009/SRR8297719/SRR8297719_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR829/009/SRR8297719/SRR8297719_2.fastq.gz	c15f4fb2dcf8f63b5a668854b545d1d9;64be9a9c99b3b8fdfbf8e5866b08a77c	INCLUDE	none	retain	24
HC_24hpi_1	-0.0476594440174369	PRJNA450886	NA	SAMN10576455	SRX5112205	SRR8297731	Heiye	mock	24	pericarp	1	mRNA	PAIRED	Illumina HiSeq 2500	14614544	3653636000	ftp.sra.ebi.ac.uk/vol1/fastq/SRR829/001/SRR8297731/SRR8297731_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR829/001/SRR8297731/SRR8297731_2.fastq.gz	c8238e5198343de875d968ca03815e8e;73e2ad377e2cd42e6320efb2660d96e5	INCLUDE	none	retain	24
HC_24hpi_2	-0.0174651669395163	PRJNA450886	NA	SAMN10576456	SRX5112204	SRR8297732	Heiye	mock	24	pericarp	2	mRNA	PAIRED	Illumina HiSeq 2500	14221174	3555293500	ftp.sra.ebi.ac.uk/vol1/fastq/SRR829/002/SRR8297732/SRR8297732_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR829/002/SRR8297732/SRR8297732_2.fastq.gz	46db2a33b997e5e30da53526cc377249;659e831863f7f01848d742c04d5a72cc	INCLUDE	none	retain	24
HC_24hpi_3	-0.0999265656571544	PRJNA450886	NA	SAMN10576457	SRX5112203	SRR8297733	Heiye	mock	24	pericarp	3	mRNA	PAIRED	Illumina HiSeq 2500	12927185	3231796250	ftp.sra.ebi.ac.uk/vol1/fastq/SRR829/003/SRR8297733/SRR8297733_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR829/003/SRR8297733/SRR8297733_2.fastq.gz	91341d0bad911fd200e0135c8de875b1;f9d618904cb5205aceea40d7a4986d51	INCLUDE	none	retain	24
HI_48hpi_1	-0.18552607857421	PRJNA450886	NA	SAMN10576467	SRX5112218	SRR8297718	Heiye	infected	48	pericarp	1	mRNA	PAIRED	Illumina HiSeq 2500	16327810	4081952500	ftp.sra.ebi.ac.uk/vol1/fastq/SRR829/008/SRR8297718/SRR8297718_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR829/008/SRR8297718/SRR8297718_2.fastq.gz	107b3b9e856bf49874f4f1a5318365f1;e0d66afd8e3698a4aa184119a4effd39	INCLUDE	none	retain	48
HI_48hpi_2	0.00397098800100879	PRJNA450886	NA	SAMN10576468	SRX5112213	SRR8297723	Heiye	infected	48	pericarp	2	mRNA	PAIRED	Illumina HiSeq 2500	12962483	3240620750	ftp.sra.ebi.ac.uk/vol1/fastq/SRR829/003/SRR8297723/SRR8297723_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR829/003/SRR8297723/SRR8297723_2.fastq.gz	0a753cee30061304be651ff64c5259d1;bf4ed5ad59c1183a0c353efcbe11dff5	INCLUDE	none	retain	48
HI_48hpi_3	-0.106530703318147	PRJNA450886	NA	SAMN10576469	SRX5112214	SRR8297722	Heiye	infected	48	pericarp	3	mRNA	PAIRED	Illumina HiSeq 2500	16445484	4111371000	ftp.sra.ebi.ac.uk/vol1/fastq/SRR829/002/SRR8297722/SRR8297722_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR829/002/SRR8297722/SRR8297722_2.fastq.gz	2007b6c92785d6237b1db9a8c5ca3318;ebea1592a94c304103a191a7104ca3f3	INCLUDE	none	retain	48
HC_48hpi_1	0.0837410107420756	PRJNA450886	NA	SAMN10576458	SRX5112210	SRR8297726	Heiye	mock	48	pericarp	1	mRNA	PAIRED	Illumina HiSeq 2500	15392143	3848035750	ftp.sra.ebi.ac.uk/vol1/fastq/SRR829/006/SRR8297726/SRR8297726_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR829/006/SRR8297726/SRR8297726_2.fastq.gz	aa875161f15d110718226d83b2526339;36afea5d41b15fb4359f3c2d8886b788	INCLUDE	none	retain	48
HC_48hpi_2	0.0888004750950108	PRJNA450886	NA	SAMN10576459	SRX5112209	SRR8297727	Heiye	mock	48	pericarp	2	mRNA	PAIRED	Illumina HiSeq 2500	14780683	3695170750	ftp.sra.ebi.ac.uk/vol1/fastq/SRR829/007/SRR8297727/SRR8297727_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR829/007/SRR8297727/SRR8297727_2.fastq.gz	4a906e1097b92c4c99b8205b7b5cf31d;3a104d3657f94b3503afc9f39bdd89bc	INCLUDE	none	retain	48
HC_48hpi_3	0.182440182976735	PRJNA450886	NA	SAMN10576460	SRX5112208	SRR8297728	Heiye	mock	48	pericarp	3	mRNA	PAIRED	Illumina HiSeq 2500	13277950	3319487500	ftp.sra.ebi.ac.uk/vol1/fastq/SRR829/008/SRR8297728/SRR8297728_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR829/008/SRR8297728/SRR8297728_2.fastq.gz	c669c1d0bca2aaf04f45e04dec7f436d;9fc1a6500a6edae07e2dbf45dc88d7a7	INCLUDE	none	retain	48
HI_6hpi_1	-0.232563325399163	PRJNA450886	NA	SAMN10576461	SRX5112207	SRR8297729	Heiye	infected	6	pericarp	1	mRNA	PAIRED	Illumina HiSeq 2500	17349898	4337474500	ftp.sra.ebi.ac.uk/vol1/fastq/SRR829/009/SRR8297729/SRR8297729_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR829/009/SRR8297729/SRR8297729_2.fastq.gz	0d1cb4039bda46d0844f44201d38044e;eaf272efc2a87ecf126c910c5e518f87	INCLUDE	none	retain	6
HI_6hpi_2	-0.239580680924074	PRJNA450886	NA	SAMN10576462	SRX5112212	SRR8297724	Heiye	infected	6	pericarp	2	mRNA	PAIRED	Illumina HiSeq 2500	16613271	4153317750	ftp.sra.ebi.ac.uk/vol1/fastq/SRR829/004/SRR8297724/SRR8297724_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR829/004/SRR8297724/SRR8297724_2.fastq.gz	36746b0c3e1e597295b34c867e1db967;9f90ecf9e2d0fd63da10664a6448efe4	INCLUDE	none	retain	6
HI_6hpi_3	-0.275813726520603	PRJNA450886	NA	SAMN10576463	SRX5112211	SRR8297725	Heiye	infected	6	pericarp	3	mRNA	PAIRED	Illumina HiSeq 2500	14011765	3502941250	ftp.sra.ebi.ac.uk/vol1/fastq/SRR829/005/SRR8297725/SRR8297725_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR829/005/SRR8297725/SRR8297725_2.fastq.gz	c3677b0ee1c0fb102201014fce9e4b38;838d814bbf7566b415d1aa4e60bc2373	INCLUDE	none	retain	6
HC_6hpi_1	-0.307148310600266	PRJNA450886	NA	SAMN10576452	SRX5112227	SRR8297709	Heiye	mock	6	pericarp	1	mRNA	PAIRED	Illumina HiSeq 2500	14555800	3638950000	ftp.sra.ebi.ac.uk/vol1/fastq/SRR829/009/SRR8297709/SRR8297709_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR829/009/SRR8297709/SRR8297709_2.fastq.gz	14b9174e6a9fb89dd6099034f6e481f8;8a396d306d03b2fbf69bfdfdf5cb8ab1	INCLUDE	none	retain	6
HC_6hpi_2	-0.128833833487574	PRJNA450886	NA	SAMN10576453	SRX5112228	SRR8297708	Heiye	mock	6	pericarp	2	mRNA	PAIRED	Illumina HiSeq 2500	14526858	3631714500	ftp.sra.ebi.ac.uk/vol1/fastq/SRR829/008/SRR8297708/SRR8297708_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR829/008/SRR8297708/SRR8297708_2.fastq.gz	e5ecb6226c971742d73215cb5cdb0cbe;e1cf635b33ece65edc2d2fefcdf3c700	INCLUDE	none	retain	6
HC_6hpi_3	-0.231110693251904	PRJNA450886	NA	SAMN10576454	SRX5112206	SRR8297730	Heiye	mock	6	pericarp	3	mRNA	PAIRED	Illumina HiSeq 2500	14337810	3584452500	ftp.sra.ebi.ac.uk/vol1/fastq/SRR829/000/SRR8297730/SRR8297730_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR829/000/SRR8297730/SRR8297730_2.fastq.gz	73482ee66cc53b9f09489cab306a137f;95e2a10098be86bfb846c2c52fc36325	INCLUDE	none	retain	6
