gene_id	RNA-Seq_FZX_Fr_C1	RNA-Seq_FZX_Fr_C2	RNA-Seq_FZX_Fr_C3	RNA-Seq_FZX_Fr_M1	RNA-Seq_FZX_Fr_M2	RNA-Seq_FZX_Fr_M3	RNA-Seq_FZX_Le_C1	RNA-Seq_FZX_Le_C2	RNA-Seq_FZX_Le_C3	RNA-Seq_FZX_Le_M1	RNA-Seq_FZX_Le_M2	RNA-Seq_FZX_Le_M3
LITCHI014319	10.1827181554205	10.2937171714579	10.2925367482688	10.2966953145196	10.2691712239819	10.3467813874214	10.3196365571054	10.3490495166938	10.4285531675369	10.3475013387222	10.3654078042643	10.4483771254162
LITCHI014320	11.0531095906492	11.1515526209603	11.14573799606	11.1034557890864	11.1223898109565	11.0642338035914	10.9573762159955	11.0523814779753	11.0061574937499	10.9954963057795	11.1362962339296	11.0262166443618
LITCHI014323	10.0433489142049	9.95308801348529	9.94380683155026	9.98854281192725	9.94627048513439	9.91168413466877	9.90538545450127	9.97534849314859	9.82405672595679	9.87614937257708	9.96256609150463	9.87960007994551
LITCHI014326	9.85916071568469	9.85837146670065	9.94711906856562	9.96039243560802	10.0353129902196	9.88142445364219	9.84522607583855	9.92367213046436	9.81888183994673	9.88003293784242	9.82496387963561	9.83893218569912
LITCHI014327	10.7170053300018	10.689617848284	10.7726189702175	10.6347386618978	10.6119010380755	10.576464910843	10.4146642304525	10.4933774380173	10.2987745149443	10.1863188314785	10.2496716464127	10.3383046801686
LITCHI014328	10.2289952304367	10.3560506816644	10.2818125481499	10.3062500522163	10.2769393497684	10.2754746003751	10.5299170284088	10.5041120423803	10.4885303728862	10.459005488656	10.5311095535524	10.5209584316596
LITCHI014329	9.70455812132705	9.68524047301364	9.77267565963864	9.80013319673735	9.71347553319414	9.73097410635926	9.74876694951276	9.79703312107571	9.81888183994673	9.72836696599093	9.83446444407513	9.77316081842006
LITCHI014330	11.4291486734139	11.5413867854713	11.398999303453	11.4526475889318	11.464064759012	11.4326472606534	11.0058326010437	11.140048677471	11.1275237240528	11.1126626172296	11.0929854098308	11.0966673904526
LITCHI014332	11.8445774490918	11.8273575233203	11.7955653123133	11.6531082874815	11.5643581107063	11.5707681102724	10.9432872924085	10.8680639038887	11.0555734972146	11.2062620766001	11.1302070008913	10.9263866441835
LITCHI014333	10.9271420761704	10.8361922719281	10.8769683325331	10.8167251778062	10.9139471690051	11.0231295431064	10.8475360851257	10.9127672902034	10.7736654079358	10.7369464894709	10.8019389404101	10.7919050897778
LITCHI014335	12.9222200909415	12.7972058456596	12.9249894342292	13.0126105542302	13.0236823290911	12.9703510915493	13.4898294356286	13.4493128317546	13.5426295458594	13.5358810057051	13.5141398564277	13.523021628773
LITCHI014336	11.0219625779538	11.1124366334909	11.083346802741	11.0295403326821	10.8492113267807	10.9931409809123	11.4994587489967	11.361436215899	11.2535577814642	11.2949166890232	11.3247400315862	11.2878843799587
LITCHI014337	9.63262082726229	9.69218228988789	9.51502601510565	9.66003535676274	9.56467506759114	9.56597035204841	9.51502601510565	9.56840219276732	9.69367211939579	9.51502601510565	9.59265020948771	9.71120393925957
LITCHI014338	10.6587575713503	10.7196266099722	10.6866595786459	10.8069399822065	10.754974314014	10.8155779588601	10.0876085639849	10.1005910712888	10.0394017916867	10.1483074344106	10.2652126054324	10.1999224521932
LITCHI014339	10.6208898317223	10.6978939599845	10.6965895777664	10.6640856517169	10.7071233720551	10.7681491712093	10.5097880015475	10.5277866731658	10.6052562267949	10.5965160245309	10.4847797283066	10.6116899391126
