gene_id	study	contrast	external_log2fc	genomewide_q	external_response_direction
LITCHI006325	PRJNA450886	primary_24h	0.736212603264825	0.00038942931743292	positive
LITCHI011380	PRJNA450886	primary_24h	-1.42957069946776	0.00038942931743292	negative
LITCHI020730	PRJNA450886	primary_24h	1.37509256306731	0.000393004610179689	positive
LITCHI014755	PRJNA450886	primary_24h	2.17278472836658	0.000405915364809171	positive
LITCHI013911	PRJNA450886	primary_24h	1.14246017853344	0.000412736399240408	positive
LITCHI020651	PRJNA450886	primary_24h	-1.01803500939827	0.000491119504628044	negative
LITCHI000429	PRJNA450886	primary_24h	-1.76044718881767	0.000502637414444541	negative
LITCHI013195	PRJNA450886	primary_24h	-1.0173302428531	0.000504413650767152	negative
LITCHI018281	PRJNA450886	primary_24h	1.54046143379319	0.000504413650767152	positive
LITCHI020904	PRJNA450886	primary_24h	0.914404584239596	0.000509867386345324	positive
LITCHI010540	PRJNA450886	primary_24h	2.34134356529954	0.000532227836093064	positive
LITCHI018602	PRJNA450886	primary_24h	0.76952269511033	0.000546387725366372	positive
LITCHI001907	PRJNA450886	primary_24h	0.706318752844387	0.000550169355318672	positive
LITCHI014536	PRJNA450886	primary_24h	2.49760425803458	0.000550169355318672	positive
LITCHI020807	PRJNA450886	primary_24h	-0.743041313603009	0.000550169355318672	negative
LITCHI019645	PRJNA450886	primary_24h	1.85318227732374	0.000576914658061007	positive
LITCHI029254	PRJNA450886	primary_24h	-1.0028211289546	0.000630300365216631	negative
LITCHI003595	PRJNA450886	primary_24h	1.27780387804132	0.000644464183252881	positive
LITCHI031673	PRJNA450886	primary_24h	1.57294499707342	0.000656034103707556	positive
LITCHI017551	PRJNA450886	primary_24h	3.81881789570379	0.000664699287098138	positive
LITCHI003044	PRJNA450886	primary_24h	4.47955250176209	0.000703891353195404	positive
LITCHI015377	PRJNA450886	primary_24h	3.26283263808477	0.000718672835494789	positive
LITCHI024182	PRJNA450886	primary_24h	2.37099245367789	0.000722037086166293	positive
LITCHI029417	PRJNA450886	primary_24h	2.04377648434951	0.000768370176926208	positive
LITCHI013515	PRJNA450886	primary_24h	-6.06104083564136	0.000783287446690674	negative
LITCHI011712	PRJNA450886	primary_24h	1.82873406104555	0.000794472497381997	positive
LITCHI026118	PRJNA450886	primary_24h	-0.915815754491865	0.000901846367997423	negative
LITCHI016642	PRJNA450886	primary_24h	1.57535094500286	0.000961709243845634	positive
LITCHI021682	PRJNA450886	primary_24h	1.29555482265541	0.000961709243845634	positive
LITCHI013278	PRJNA450886	primary_24h	1.47184521827505	0.00108819283564736	positive
LITCHI026751	PRJNA450886	primary_24h	1.78135647227864	0.00109844928347768	positive
LITCHI015531	PRJNA450886	primary_24h	2.50333705878836	0.00110138923536948	positive
LITCHI016859	PRJNA450886	primary_24h	-0.677903029129829	0.00118028292761593	negative
LITCHI010839	PRJNA450886	primary_24h	0.71299033234934	0.00120664026371247	positive
LITCHI022037	PRJNA450886	primary_24h	2.60606669804352	0.0012380893515051	positive
LITCHI031057	PRJNA450886	primary_24h	1.33058503178918	0.0012380893515051	positive
LITCHI017049	PRJNA450886	primary_24h	1.46442501646104	0.00124554247862118	positive
LITCHI010048	PRJNA450886	primary_24h	-1.09327317016693	0.00134766136577603	negative
LITCHI003790	PRJNA450886	primary_24h	1.66417589278977	0.00138608719080464	positive
LITCHI026959	PRJNA450886	primary_24h	0.880671864300372	0.00142283675355038	positive
LITCHI008798	PRJNA450886	primary_24h	1.00019139735792	0.00145487354475246	positive
LITCHI017913	PRJNA450886	primary_24h	-1.02423203942758	0.00145972735203381	negative
LITCHI027036	PRJNA450886	primary_24h	0.906721291081112	0.00146258378981867	positive
LITCHI008694	PRJNA450886	primary_24h	0.977311523365787	0.00147263692638168	positive
LITCHI008692	PRJNA450886	primary_24h	1.59436417136756	0.00148312420481182	positive
LITCHI009710	PRJNA450886	primary_24h	1.00334064837576	0.00155705193683901	positive
LITCHI008794	PRJNA450886	primary_24h	2.81037527744428	0.0015811467700063	positive
LITCHI004951	PRJNA450886	primary_24h	2.21371836878917	0.00162497921310851	positive
LITCHI029074	PRJNA450886	primary_24h	0.698460747907028	0.00162497921310851	positive
LITCHI029547	PRJNA450886	primary_24h	2.00392899838585	0.00162497921310851	positive
LITCHI009827	PRJNA450886	primary_24h	-0.785063701169453	0.00169006069029286	negative
LITCHI009711	PRJNA450886	primary_24h	0.758398120502102	0.00172458119137551	positive
LITCHI010572	PRJNA450886	primary_24h	1.21917890249804	0.00174123514812432	positive
LITCHI026584	PRJNA450886	primary_24h	-1.99845207418968	0.00183606355303866	negative
LITCHI028954	PRJNA450886	primary_24h	3.36521106355978	0.00194524653210968	positive
LITCHI017389	PRJNA450886	primary_24h	5.99364447179598	0.00195527513238053	positive
LITCHI015376	PRJNA450886	primary_24h	1.9029668305314	0.002067292692426	positive
LITCHI016018	PRJNA450886	primary_24h	-1.16819831733598	0.00208014440772587	negative
LITCHI020477	PRJNA450886	primary_24h	1.06057863178916	0.00210326263949011	positive
LITCHI012747	PRJNA450886	primary_24h	1.01600715863937	0.00211920520440691	positive
LITCHI011382	PRJNA450886	primary_24h	1.32735914832619	0.00212708620597774	positive
LITCHI011750	PRJNA450886	primary_24h	-1.90549645275753	0.00212708620597774	negative
LITCHI027517	PRJNA450886	primary_24h	-2.36806788784431	0.00215737555923796	negative
LITCHI004176	PRJNA450886	primary_24h	-1.24917475560273	0.00219180954810582	negative
LITCHI022178	PRJNA450886	primary_24h	1.24007618922584	0.00219180954810582	positive
LITCHI029342	PRJNA450886	primary_24h	1.23102431574794	0.00228047957542554	positive
LITCHI011349	PRJNA450886	primary_24h	1.19109529344722	0.00237095496458219	positive
LITCHI015963	PRJNA450886	primary_24h	1.8965970772533	0.002459095808869	positive
LITCHI026781	PRJNA450886	primary_24h	-1.73931857363623	0.00247824122094588	negative
LITCHI000485	PRJNA450886	primary_24h	-1.06551416601953	0.0025653545862761	negative
LITCHI000573	PRJNA450886	primary_24h	-6.11687538706363	0.00259357196880576	negative
LITCHI019532	PRJNA450886	primary_24h	0.836327880074021	0.00259357196880576	positive
LITCHI019783	PRJNA450886	primary_24h	-1.21408500078008	0.00261771652056629	negative
LITCHI022489	PRJNA450886	primary_24h	-1.27127635228085	0.00261771652056629	negative
LITCHI008825	PRJNA450886	primary_24h	1.42271172526656	0.00274715497027492	positive
LITCHI009615	PRJNA450886	primary_24h	2.42444825000784	0.00274715497027492	positive
LITCHI004270	PRJNA450886	primary_24h	2.05973735521135	0.00278246037874595	positive
LITCHI002037	PRJNA450886	primary_24h	-0.770969768393758	0.00278854890320894	negative
LITCHI024298	PRJNA450886	primary_24h	3.51335602437283	0.00278854890320894	positive
LITCHI003679	PRJNA450886	primary_24h	-1.31057965234132	0.00289033028760144	negative
LITCHI005224	PRJNA450886	primary_24h	1.4401479643834	0.00301046983274044	positive
LITCHI026856	PRJNA450886	primary_24h	2.69425953223233	0.00311658780390497	positive
LITCHI002320	PRJNA450886	primary_24h	1.79669039253032	0.00315183023093822	positive
LITCHI000564	PRJNA450886	primary_24h	-0.778169119126414	0.00326385206606214	negative
LITCHI014991	PRJNA450886	primary_24h	0.856408263996569	0.00326385206606214	positive
LITCHI026286	PRJNA450886	primary_24h	-0.860165965636707	0.00326385206606214	negative
LITCHI004175	PRJNA450886	primary_24h	-2.25265954744342	0.00329053776007377	negative
LITCHI004238	PRJNA450886	primary_24h	1.80690764750352	0.00329053776007377	positive
LITCHI005578	PRJNA450886	primary_24h	1.67251639905504	0.00329053776007377	positive
LITCHI021856	PRJNA450886	primary_24h	-0.923530275368294	0.00329053776007377	negative
LITCHI028775	PRJNA450886	primary_24h	-0.910559337136722	0.00329053776007377	negative
LITCHI003689	PRJNA450886	primary_24h	0.883489347978813	0.0033273224829765	positive
LITCHI019253	PRJNA450886	primary_24h	0.709960357608831	0.00340109507417145	positive
LITCHI019480	PRJNA450886	primary_24h	1.42144239949977	0.00340109507417145	positive
LITCHI009381	PRJNA450886	primary_24h	-0.785277114213891	0.003455083524874	negative
LITCHI017545	PRJNA450886	primary_24h	0.705441859968304	0.00350678159770966	positive
LITCHI006075	PRJNA450886	primary_24h	-0.700427996233275	0.00377489354626144	negative
LITCHI020520	PRJNA450886	primary_24h	0.681044466153926	0.0037961771107419	positive
LITCHI014631	PRJNA450886	primary_24h	-2.07811700578174	0.00386964552678922	negative
LITCHI018353	PRJNA450886	primary_24h	-0.920885451785924	0.00386964552678922	negative
LITCHI006896	PRJNA450886	primary_24h	4.94871220509857	0.0038871203448396	positive
LITCHI015333	PRJNA450886	primary_24h	1.26398483509418	0.0039090731716997	positive
LITCHI010280	PRJNA450886	primary_24h	3.21291333845979	0.00401094322203411	positive
LITCHI009263	PRJNA450886	primary_24h	0.779099355168489	0.00407235988695139	positive
LITCHI024463	PRJNA450886	primary_24h	1.1104783121529	0.00407235988695139	positive
LITCHI024211	PRJNA450886	primary_24h	2.4612954355763	0.00420937174524021	positive
LITCHI008665	PRJNA450886	primary_24h	1.48958204416852	0.00435290993207288	positive
LITCHI013117	PRJNA450886	primary_24h	3.32463252769088	0.00451864305147617	positive
LITCHI015005	PRJNA450886	primary_24h	-0.657643323140683	0.00451864305147617	negative
LITCHI021364	PRJNA450886	primary_24h	1.14718316399305	0.00481494520826552	positive
LITCHI009341	PRJNA450886	primary_24h	-2.13104900422448	0.00488171914992455	negative
LITCHI020443	PRJNA450886	primary_24h	-0.5891509098274	0.00490726485074687	negative
LITCHI011490	PRJNA450886	primary_24h	-0.958277149155594	0.00492556296560407	negative
LITCHI021324	PRJNA450886	primary_24h	-0.845063060902807	0.00492629805021818	negative
LITCHI006962	PRJNA450886	primary_24h	2.79940172812803	0.00496298412924707	positive
LITCHI027234	PRJNA450886	primary_24h	-0.653323951283419	0.00496298412924707	negative
LITCHI000600	PRJNA450886	primary_24h	1.34163100358311	0.00524155767178921	positive
LITCHI010975	PRJNA450886	primary_24h	-0.730195105555615	0.00524155767178921	negative
LITCHI029394	PRJNA450886	primary_24h	1.73640954104127	0.00524155767178921	positive
LITCHI010045	PRJNA450886	primary_24h	4.32762806629118	0.00528976534153625	positive
LITCHI008116	PRJNA450886	primary_24h	0.838495383499736	0.00529037972170699	positive
LITCHI011044	PRJNA450886	primary_24h	0.750298663080469	0.00530857736728759	positive
LITCHI018863	PRJNA450886	primary_24h	0.753089988174856	0.00532230221645492	positive
LITCHI005503	PRJNA450886	primary_24h	-0.984363791561554	0.0053628845207606	negative
LITCHI006931	PRJNA450886	primary_24h	0.810976848316636	0.0053628845207606	positive
LITCHI012392	PRJNA450886	primary_24h	-0.947375667035303	0.0053628845207606	negative
LITCHI022038	PRJNA450886	primary_24h	1.39048719802015	0.0053628845207606	positive
LITCHI026165	PRJNA450886	primary_24h	0.801614405857669	0.0053628845207606	positive
LITCHI009933	PRJNA450886	primary_24h	-1.50178344258153	0.00540610887635294	negative
LITCHI005838	PRJNA450886	primary_24h	1.34446530692408	0.00543107008117281	positive
LITCHI022910	PRJNA450886	primary_24h	1.6510822247287	0.00545178672662831	positive
LITCHI005742	PRJNA450886	primary_24h	1.22239702861122	0.00546917380881185	positive
LITCHI026812	PRJNA450886	primary_24h	-0.891680585580541	0.00546917380881185	negative
LITCHI029351	PRJNA450886	primary_24h	-7.7088787150013	0.00546917380881185	negative
LITCHI003381	PRJNA450886	primary_24h	0.837711180477876	0.00553959327682462	positive
LITCHI028227	PRJNA450886	primary_24h	3.35224962894554	0.00558164842870958	positive
LITCHI021494	PRJNA450886	primary_24h	3.4268394777266	0.00560064743698634	positive
LITCHI005329	PRJNA450886	primary_24h	1.88597869119421	0.0056373390195495	positive
LITCHI021946	PRJNA450886	primary_24h	1.47930864188437	0.00573110115221664	positive
LITCHI025141	PRJNA450886	primary_24h	1.20003662342577	0.00590820923309953	positive
LITCHI026454	PRJNA450886	primary_24h	0.822983498269763	0.00590820923309953	positive
LITCHI003010	PRJNA450886	primary_24h	2.60131153278184	0.00625276146629222	positive
LITCHI008323	PRJNA450886	primary_24h	2.56645350536925	0.00640087875477211	positive
LITCHI028872	PRJNA450886	primary_24h	0.664200339701934	0.00642648935618469	positive
LITCHI004615	PRJNA450886	primary_24h	0.764302057368027	0.00663787743828992	positive
LITCHI031585	PRJNA450886	primary_24h	-1.40894483899307	0.00663787743828992	negative
LITCHI008481	PRJNA450886	primary_24h	-1.04372927879772	0.00667262101368324	negative
LITCHI030142	PRJNA450886	primary_24h	0.648278645846179	0.00671391272616939	positive
LITCHI027850	PRJNA450886	primary_24h	1.35458490543313	0.00678617517319423	positive
LITCHI029340	PRJNA450886	primary_24h	1.22298224144369	0.00678617517319423	positive
LITCHI005164	PRJNA450886	primary_24h	1.71950074014226	0.00683221963559917	positive
LITCHI001576	PRJNA450886	primary_24h	2.08038854569286	0.0068499767771724	positive
LITCHI024008	PRJNA450886	primary_24h	-0.812189576514058	0.00712034731701874	negative
LITCHI019196	PRJNA450886	primary_24h	0.952136380884703	0.00722425928467649	positive
LITCHI001740	PRJNA450886	primary_24h	-0.819741569611527	0.00722891657053658	negative
LITCHI023433	PRJNA450886	primary_24h	0.66885588680966	0.00725985860511384	positive
LITCHI004148	PRJNA450886	primary_24h	-1.72297390421435	0.00748564838237109	negative
LITCHI016611	PRJNA450886	primary_24h	1.08786855025083	0.00748564838237109	positive
LITCHI010900	PRJNA450886	primary_24h	3.57985530236355	0.00799905967435696	positive
LITCHI016977	PRJNA450886	primary_24h	-0.624113786518555	0.00799905967435696	negative
LITCHI018395	PRJNA450886	primary_24h	1.20898747846711	0.00799905967435696	positive
LITCHI023939	PRJNA450886	primary_24h	1.58404134804838	0.00799905967435696	positive
LITCHI015122	PRJNA450886	primary_24h	1.49795381406564	0.00804205579651855	positive
LITCHI018804	PRJNA450886	primary_24h	1.28975379616987	0.00805709570013382	positive
LITCHI005487	PRJNA450886	primary_24h	-1.1007871554688	0.00812310723804847	negative
LITCHI022938	PRJNA450886	primary_24h	0.946616283328555	0.00818161078470938	positive
LITCHI006597	PRJNA450886	primary_24h	2.13312415342073	0.00821557387328641	positive
LITCHI007194	PRJNA450886	primary_24h	1.5695482722263	0.0083195733952164	positive
LITCHI009350	PRJNA450886	primary_24h	1.96330165101403	0.00861951155219187	positive
LITCHI001963	PRJNA450886	primary_24h	-0.942911804322511	0.00866012474619914	negative
LITCHI026453	PRJNA450886	primary_24h	0.772515641578973	0.00869229844558177	positive
LITCHI028644	PRJNA450886	primary_24h	0.81532058704955	0.00878793890141152	positive
LITCHI020505	PRJNA450886	primary_24h	0.918092346430009	0.00892724805771147	positive
LITCHI009467	PRJNA450886	primary_24h	1.57176691522119	0.00893707200477345	positive
LITCHI014901	PRJNA450886	primary_24h	1.39583032889491	0.00900871706001591	positive
LITCHI004252	PRJNA450886	primary_24h	0.716314067972477	0.00914247067779436	positive
LITCHI005518	PRJNA450886	primary_24h	0.670868854466717	0.00914247067779436	positive
LITCHI014294	PRJNA450886	primary_24h	-1.17088051593868	0.00914247067779436	negative
LITCHI009574	PRJNA450886	primary_24h	2.54651009524934	0.00937992548761276	positive
LITCHI020277	PRJNA450886	primary_24h	0.763412638123888	0.00937992548761276	positive
LITCHI026773	PRJNA450886	primary_24h	-1.06624873101376	0.00967567368996238	negative
LITCHI002257	PRJNA450886	primary_24h	-0.844386992744532	0.00972153642308493	negative
LITCHI004269	PRJNA450886	primary_24h	2.26310103584981	0.00989418870944166	positive
LITCHI014370	PRJNA450886	primary_24h	-1.21196729980849	0.00995520497316295	negative
LITCHI008680	PRJNA450886	primary_24h	-0.717575940082806	0.0101609342115744	negative
LITCHI006951	PRJNA450886	primary_24h	2.81322925833911	0.0103801686377101	positive
LITCHI012621	PRJNA450886	primary_24h	-0.935765438871698	0.0104163374431743	negative
LITCHI029350	PRJNA450886	primary_24h	-1.21817610863038	0.0104566521427718	negative
LITCHI028979	PRJNA450886	primary_24h	-0.85991804263419	0.0105788772889355	negative
LITCHI023330	PRJNA450886	primary_24h	0.946518058439275	0.0106240030883632	positive
LITCHI010909	PRJNA450886	primary_24h	2.80726766121668	0.010727345099613	positive
LITCHI021496	PRJNA450886	primary_24h	1.3286988349692	0.0107989024354703	positive
LITCHI001136	PRJNA450886	primary_24h	0.879081891722784	0.0108929982975892	positive
LITCHI004419	PRJNA450886	primary_24h	1.31918794900917	0.0111232320128789	positive
LITCHI013576	PRJNA450886	primary_24h	1.24855134403338	0.0114506732258737	positive
LITCHI017210	PRJNA450886	primary_24h	1.5447589361829	0.011637935745896	positive
LITCHI022465	PRJNA450886	primary_24h	1.03128505360359	0.011778975472643	positive
LITCHI027843	PRJNA450886	primary_24h	1.08468315952457	0.011778975472643	positive
LITCHI003441	PRJNA450886	primary_24h	-1.31767202218811	0.0118010467102172	negative
LITCHI012388	PRJNA450886	primary_24h	1.01845172362226	0.0118010467102172	positive
LITCHI018616	PRJNA450886	primary_24h	1.36710463447619	0.0121654931154482	positive
LITCHI006733	PRJNA450886	primary_24h	-0.850587278429984	0.0123601698410216	negative
LITCHI012558	PRJNA450886	primary_24h	-0.930980650320924	0.0124839666753713	negative
LITCHI005027	PRJNA450886	primary_24h	-0.958192837364577	0.0128695639854582	negative
LITCHI007215	PRJNA450886	primary_24h	0.880078462114148	0.0128695639854582	positive
LITCHI009073	PRJNA450886	primary_24h	-4.66472844738096	0.0128695639854582	negative
LITCHI014978	PRJNA450886	primary_24h	-0.964917590715384	0.0128695639854582	negative
LITCHI016685	PRJNA450886	primary_24h	0.658557724968846	0.0128695639854582	positive
LITCHI029103	PRJNA450886	primary_24h	1.54909847613603	0.0128695639854582	positive
LITCHI010247	PRJNA450886	primary_24h	0.608927764551306	0.013199561922919	positive
LITCHI020906	PRJNA450886	primary_24h	1.9160619790039	0.0134304141551801	positive
LITCHI026579	PRJNA450886	primary_24h	0.587531528153436	0.0135272714153904	positive
LITCHI020829	PRJNA450886	primary_24h	0.887652848262997	0.0137496682417094	positive
LITCHI001573	PRJNA450886	primary_24h	1.87570986190256	0.0138210350940823	positive
LITCHI004785	PRJNA450886	primary_24h	-0.714073129485049	0.0138285879052335	negative
LITCHI025730	PRJNA450886	primary_24h	-1.15757403458754	0.0139686425565984	negative
LITCHI024365	PRJNA450886	primary_24h	1.05411242684916	0.0140930474538827	positive
LITCHI025618	PRJNA450886	primary_24h	1.37944652860335	0.0140930474538827	positive
LITCHI022624	PRJNA450886	primary_24h	0.888470547155147	0.0141951055637566	positive
LITCHI031773	PRJNA450886	primary_24h	-0.610958202084035	0.0141951055637566	negative
LITCHI029534	PRJNA450886	primary_24h	-1.04336440992007	0.014350600272668	negative
LITCHI029133	PRJNA450886	primary_24h	-0.771671316220682	0.0144232063430521	negative
LITCHI015153	PRJNA450886	primary_24h	1.32431066061848	0.0144909508574512	positive
LITCHI028842	PRJNA450886	primary_24h	1.61214947752494	0.0144909508574512	positive
LITCHI019379	PRJNA450886	primary_24h	1.35752819943248	0.0145671296336542	positive
LITCHI007823	PRJNA450886	primary_24h	-0.917401584558008	0.0145824009279872	negative
LITCHI014864	PRJNA450886	primary_24h	-1.14878258857667	0.0147876779699418	negative
LITCHI010398	PRJNA450886	primary_24h	1.07340024786639	0.0151547838245728	positive
LITCHI018926	PRJNA450886	primary_24h	2.15339323256076	0.0153534419238622	positive
LITCHI027179	PRJNA450886	primary_24h	0.8532493428962	0.0153898760609741	positive
LITCHI004718	PRJNA450886	primary_24h	1.60820863561008	0.0156233115459135	positive
LITCHI031080	PRJNA450886	primary_24h	1.88169929850576	0.0156233115459135	positive
LITCHI015548	PRJNA450886	primary_24h	1.14153065679577	0.0159881206777392	positive
LITCHI018219	PRJNA450886	primary_24h	-0.888751890505604	0.0163244590190456	negative
LITCHI003388	PRJNA450886	primary_24h	-5.35819068338803	0.0163776401358233	negative
LITCHI007169	PRJNA450886	primary_24h	-1.66639659086301	0.0165985037564978	negative
LITCHI003383	PRJNA450886	primary_24h	-0.698483996435496	0.0167253743278284	negative
LITCHI015508	PRJNA450886	primary_24h	1.1892089005339	0.0167253743278284	positive
LITCHI004581	PRJNA450886	primary_24h	3.74852579876131	0.0168016698196823	positive
LITCHI008053	PRJNA450886	primary_24h	-0.844221126916693	0.0168381794585808	negative
LITCHI008324	PRJNA450886	primary_24h	2.14700826206268	0.0168381794585808	positive
LITCHI015336	PRJNA450886	primary_24h	1.30166252909865	0.0168381794585808	positive
LITCHI019332	PRJNA450886	primary_24h	-0.92507102337478	0.0168381794585808	negative
LITCHI028944	PRJNA450886	primary_24h	-3.65353245471136	0.0168381794585808	negative
LITCHI024062	PRJNA450886	primary_24h	-1.82046417229814	0.0170912787964397	negative
LITCHI026424	PRJNA450886	primary_24h	1.11064148432345	0.0172705132311696	positive
LITCHI020908	PRJNA450886	primary_24h	1.87991898240114	0.0174295926472737	positive
LITCHI005480	PRJNA450886	primary_24h	0.597778604291458	0.0178414972798486	positive
LITCHI017124	PRJNA450886	primary_24h	-0.684750694780137	0.0179028390161285	negative
LITCHI002054	PRJNA450886	primary_24h	1.0641368472599	0.0183467354185178	positive
LITCHI011075	PRJNA450886	primary_24h	4.1100395449029	0.0183467354185178	positive
LITCHI027772	PRJNA450886	primary_24h	1.42280724018091	0.0187443772965926	positive
