Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47
GC_48hpi_3_R1	(30, 1122.0)	(32, 2209.0)	(34, 2593.0)	(36, 1993.0)	(38, 1727.0)	(40, 2081.0)	(42, 1574.0)	(44, 1520.0)	(46, 1248.0)	(48, 1438.0)	(50, 1330.0)	(52, 1462.0)	(54, 1418.0)	(56, 1315.0)	(58, 1473.0)	(60, 1705.0)	(62, 1615.0)	(64, 1477.0)	(66, 1535.0)	(68, 1541.0)	(70, 1495.0)	(72, 1668.0)	(74, 1369.0)	(76, 1540.0)	(78, 1706.0)	(80, 1489.0)	(82, 1553.0)	(84, 1508.0)	(86, 1393.0)	(88, 1456.0)	(90, 1300.0)	(92, 1249.0)	(94, 1387.0)	(96, 1235.0)	(98, 1141.0)	(100, 1220.0)	(102, 1128.0)	(104, 1113.0)	(106, 1103.0)	(108, 1064.0)	(110, 1082.0)	(112, 1070.0)	(114, 873.0)	(116, 1104.0)	(118, 10738.0)	(120, 11304.0)	(122, 12796.0)	(124, 13579630.0)
GC_48hpi_3_R2	(30, 1122.0)	(32, 2209.0)	(34, 2593.0)	(36, 1993.0)	(38, 1727.0)	(40, 2081.0)	(42, 1574.0)	(44, 1520.0)	(46, 1248.0)	(48, 1438.0)	(50, 1330.0)	(52, 1462.0)	(54, 1418.0)	(56, 1315.0)	(58, 1473.0)	(60, 1705.0)	(62, 1615.0)	(64, 1477.0)	(66, 1535.0)	(68, 1541.0)	(70, 1495.0)	(72, 1668.0)	(74, 1369.0)	(76, 1540.0)	(78, 1706.0)	(80, 1489.0)	(82, 1553.0)	(84, 1508.0)	(86, 1393.0)	(88, 1456.0)	(90, 1300.0)	(92, 1249.0)	(94, 1387.0)	(96, 1235.0)	(98, 1141.0)	(100, 1220.0)	(102, 1128.0)	(104, 1113.0)	(106, 1103.0)	(108, 1064.0)	(110, 1082.0)	(112, 1070.0)	(114, 873.0)	(116, 1104.0)	(118, 10738.0)	(120, 11304.0)	(122, 12796.0)	(124, 13579630.0)
GC_6hpi_1_R1	(30, 942.0)	(32, 1900.0)	(34, 2089.0)	(36, 1636.0)	(38, 1474.0)	(40, 1627.0)	(42, 1290.0)	(44, 1192.0)	(46, 1093.0)	(48, 1175.0)	(50, 1129.0)	(52, 1152.0)	(54, 1204.0)	(56, 1149.0)	(58, 1199.0)	(60, 1416.0)	(62, 1418.0)	(64, 1449.0)	(66, 1393.0)	(68, 1391.0)	(70, 1411.0)	(72, 1602.0)	(74, 1303.0)	(76, 1419.0)	(78, 1584.0)	(80, 1462.0)	(82, 1507.0)	(84, 1514.0)	(86, 1421.0)	(88, 1493.0)	(90, 1411.0)	(92, 1300.0)	(94, 1362.0)	(96, 1352.0)	(98, 1285.0)	(100, 1305.0)	(102, 1231.0)	(104, 1254.0)	(106, 1344.0)	(108, 1247.0)	(110, 1272.0)	(112, 1144.0)	(114, 1165.0)	(116, 1266.0)	(118, 8119.0)	(120, 8712.0)	(122, 9423.0)	(124, 13571861.0)
GC_6hpi_1_R2	(30, 942.0)	(32, 1900.0)	(34, 2089.0)	(36, 1636.0)	(38, 1474.0)	(40, 1627.0)	(42, 1290.0)	(44, 1192.0)	(46, 1093.0)	(48, 1175.0)	(50, 1129.0)	(52, 1152.0)	(54, 1204.0)	(56, 1149.0)	(58, 1199.0)	(60, 1416.0)	(62, 1418.0)	(64, 1449.0)	(66, 1393.0)	(68, 1391.0)	(70, 1411.0)	(72, 1602.0)	(74, 1303.0)	(76, 1419.0)	(78, 1584.0)	(80, 1462.0)	(82, 1507.0)	(84, 1514.0)	(86, 1421.0)	(88, 1493.0)	(90, 1411.0)	(92, 1300.0)	(94, 1362.0)	(96, 1352.0)	(98, 1285.0)	(100, 1305.0)	(102, 1231.0)	(104, 1254.0)	(106, 1344.0)	(108, 1247.0)	(110, 1272.0)	(112, 1144.0)	(114, 1165.0)	(116, 1266.0)	(118, 8119.0)	(120, 8712.0)	(122, 9423.0)	(124, 13571861.0)
GC_6hpi_2_R1	(30, 857.0)	(32, 1747.0)	(34, 2033.0)	(36, 1594.0)	(38, 1470.0)	(40, 1594.0)	(42, 1178.0)	(44, 1269.0)	(46, 971.0)	(48, 1145.0)	(50, 1060.0)	(52, 1173.0)	(54, 1155.0)	(56, 1108.0)	(58, 1105.0)	(60, 1290.0)	(62, 1358.0)	(64, 1401.0)	(66, 1311.0)	(68, 1374.0)	(70, 1254.0)	(72, 1337.0)	(74, 1320.0)	(76, 1366.0)	(78, 1509.0)	(80, 1351.0)	(82, 1327.0)	(84, 1343.0)	(86, 1284.0)	(88, 1321.0)	(90, 1335.0)	(92, 1297.0)	(94, 1328.0)	(96, 1240.0)	(98, 1217.0)	(100, 1264.0)	(102, 1126.0)	(104, 1157.0)	(106, 1118.0)	(108, 1072.0)	(110, 1104.0)	(112, 1025.0)	(114, 1054.0)	(116, 1099.0)	(118, 8395.0)	(120, 9130.0)	(122, 9801.0)	(124, 13419440.0)
GC_6hpi_2_R2	(30, 857.0)	(32, 1747.0)	(34, 2033.0)	(36, 1594.0)	(38, 1470.0)	(40, 1594.0)	(42, 1178.0)	(44, 1269.0)	(46, 971.0)	(48, 1145.0)	(50, 1060.0)	(52, 1173.0)	(54, 1155.0)	(56, 1108.0)	(58, 1105.0)	(60, 1290.0)	(62, 1358.0)	(64, 1401.0)	(66, 1311.0)	(68, 1374.0)	(70, 1254.0)	(72, 1337.0)	(74, 1320.0)	(76, 1366.0)	(78, 1509.0)	(80, 1351.0)	(82, 1327.0)	(84, 1343.0)	(86, 1284.0)	(88, 1321.0)	(90, 1335.0)	(92, 1297.0)	(94, 1328.0)	(96, 1240.0)	(98, 1217.0)	(100, 1264.0)	(102, 1126.0)	(104, 1157.0)	(106, 1118.0)	(108, 1072.0)	(110, 1104.0)	(112, 1025.0)	(114, 1054.0)	(116, 1099.0)	(118, 8395.0)	(120, 9130.0)	(122, 9801.0)	(124, 13419440.0)
GC_6hpi_3_R1	(30, 1234.0)	(32, 2508.0)	(34, 2895.0)	(36, 2211.0)	(38, 2034.0)	(40, 2186.0)	(42, 1652.0)	(44, 1595.0)	(46, 1384.0)	(48, 1481.0)	(50, 1392.0)	(52, 1451.0)	(54, 1457.0)	(56, 1442.0)	(58, 1515.0)	(60, 1796.0)	(62, 1770.0)	(64, 1705.0)	(66, 1645.0)	(68, 1745.0)	(70, 1516.0)	(72, 1776.0)	(74, 1529.0)	(76, 1691.0)	(78, 1988.0)	(80, 1707.0)	(82, 1655.0)	(84, 1747.0)	(86, 1673.0)	(88, 1745.0)	(90, 1638.0)	(92, 1491.0)	(94, 1636.0)	(96, 1554.0)	(98, 1547.0)	(100, 1659.0)	(102, 1458.0)	(104, 1476.0)	(106, 1440.0)	(108, 1389.0)	(110, 1393.0)	(112, 1418.0)	(114, 1312.0)	(116, 1467.0)	(118, 10458.0)	(120, 10913.0)	(122, 12220.0)	(124, 15237614.0)
GC_6hpi_3_R2	(30, 1234.0)	(32, 2508.0)	(34, 2895.0)	(36, 2211.0)	(38, 2034.0)	(40, 2186.0)	(42, 1652.0)	(44, 1595.0)	(46, 1384.0)	(48, 1481.0)	(50, 1392.0)	(52, 1451.0)	(54, 1457.0)	(56, 1442.0)	(58, 1515.0)	(60, 1796.0)	(62, 1770.0)	(64, 1705.0)	(66, 1645.0)	(68, 1745.0)	(70, 1516.0)	(72, 1776.0)	(74, 1529.0)	(76, 1691.0)	(78, 1988.0)	(80, 1707.0)	(82, 1655.0)	(84, 1747.0)	(86, 1673.0)	(88, 1745.0)	(90, 1638.0)	(92, 1491.0)	(94, 1636.0)	(96, 1554.0)	(98, 1547.0)	(100, 1659.0)	(102, 1458.0)	(104, 1476.0)	(106, 1440.0)	(108, 1389.0)	(110, 1393.0)	(112, 1418.0)	(114, 1312.0)	(116, 1467.0)	(118, 10458.0)	(120, 10913.0)	(122, 12220.0)	(124, 15237614.0)
GI_24hpi_1_R1	(30, 1263.0)	(32, 2531.0)	(34, 3017.0)	(36, 2499.0)	(38, 2196.0)	(40, 2606.0)	(42, 1883.0)	(44, 1807.0)	(46, 1598.0)	(48, 1912.0)	(50, 1756.0)	(52, 1820.0)	(54, 1691.0)	(56, 1566.0)	(58, 1598.0)	(60, 2039.0)	(62, 1909.0)	(64, 1902.0)	(66, 1891.0)	(68, 1944.0)	(70, 1790.0)	(72, 1970.0)	(74, 1612.0)	(76, 1684.0)	(78, 1869.0)	(80, 1651.0)	(82, 1628.0)	(84, 1613.0)	(86, 1509.0)	(88, 1532.0)	(90, 1441.0)	(92, 1266.0)	(94, 1410.0)	(96, 1276.0)	(98, 1217.0)	(100, 1333.0)	(102, 1204.0)	(104, 1143.0)	(106, 1152.0)	(108, 1061.0)	(110, 1103.0)	(112, 1014.0)	(114, 972.0)	(116, 1183.0)	(118, 10068.0)	(120, 10871.0)	(122, 11894.0)	(124, 14995724.0)
GI_24hpi_1_R2	(30, 1263.0)	(32, 2531.0)	(34, 3017.0)	(36, 2499.0)	(38, 2196.0)	(40, 2606.0)	(42, 1883.0)	(44, 1807.0)	(46, 1598.0)	(48, 1912.0)	(50, 1756.0)	(52, 1820.0)	(54, 1691.0)	(56, 1566.0)	(58, 1598.0)	(60, 2039.0)	(62, 1909.0)	(64, 1902.0)	(66, 1891.0)	(68, 1944.0)	(70, 1790.0)	(72, 1970.0)	(74, 1612.0)	(76, 1684.0)	(78, 1869.0)	(80, 1651.0)	(82, 1628.0)	(84, 1613.0)	(86, 1509.0)	(88, 1532.0)	(90, 1441.0)	(92, 1266.0)	(94, 1410.0)	(96, 1276.0)	(98, 1217.0)	(100, 1333.0)	(102, 1204.0)	(104, 1143.0)	(106, 1152.0)	(108, 1061.0)	(110, 1103.0)	(112, 1014.0)	(114, 972.0)	(116, 1183.0)	(118, 10068.0)	(120, 10871.0)	(122, 11894.0)	(124, 14995724.0)
GI_24hpi_2_R1	(30, 1109.0)	(32, 2276.0)	(34, 2621.0)	(36, 2137.0)	(38, 1926.0)	(40, 2229.0)	(42, 1642.0)	(44, 1687.0)	(46, 1415.0)	(48, 1608.0)	(50, 1495.0)	(52, 1507.0)	(54, 1408.0)	(56, 1362.0)	(58, 1484.0)	(60, 1669.0)	(62, 1608.0)	(64, 1596.0)	(66, 1635.0)	(68, 1626.0)	(70, 1526.0)	(72, 1680.0)	(74, 1366.0)	(76, 1496.0)	(78, 1707.0)	(80, 1497.0)	(82, 1451.0)	(84, 1423.0)	(86, 1375.0)	(88, 1378.0)	(90, 1375.0)	(92, 1226.0)	(94, 1383.0)	(96, 1263.0)	(98, 1189.0)	(100, 1317.0)	(102, 1117.0)	(104, 1180.0)	(106, 1073.0)	(108, 1125.0)	(110, 1138.0)	(112, 1013.0)	(114, 971.0)	(116, 1059.0)	(118, 8250.0)	(120, 8518.0)	(122, 9339.0)	(124, 12745281.0)
GI_24hpi_2_R2	(30, 1109.0)	(32, 2276.0)	(34, 2621.0)	(36, 2137.0)	(38, 1926.0)	(40, 2229.0)	(42, 1642.0)	(44, 1687.0)	(46, 1415.0)	(48, 1608.0)	(50, 1495.0)	(52, 1507.0)	(54, 1408.0)	(56, 1362.0)	(58, 1484.0)	(60, 1669.0)	(62, 1608.0)	(64, 1596.0)	(66, 1635.0)	(68, 1626.0)	(70, 1526.0)	(72, 1680.0)	(74, 1366.0)	(76, 1496.0)	(78, 1707.0)	(80, 1497.0)	(82, 1451.0)	(84, 1423.0)	(86, 1375.0)	(88, 1378.0)	(90, 1375.0)	(92, 1226.0)	(94, 1383.0)	(96, 1263.0)	(98, 1189.0)	(100, 1317.0)	(102, 1117.0)	(104, 1180.0)	(106, 1073.0)	(108, 1125.0)	(110, 1138.0)	(112, 1013.0)	(114, 971.0)	(116, 1059.0)	(118, 8250.0)	(120, 8518.0)	(122, 9339.0)	(124, 12745281.0)
GI_24hpi_3_R1	(30, 931.0)	(32, 1869.0)	(34, 2159.0)	(36, 1780.0)	(38, 1554.0)	(40, 1897.0)	(42, 1357.0)	(44, 1271.0)	(46, 1021.0)	(48, 1330.0)	(50, 1207.0)	(52, 1222.0)	(54, 1276.0)	(56, 1135.0)	(58, 1225.0)	(60, 1441.0)	(62, 1394.0)	(64, 1423.0)	(66, 1315.0)	(68, 1428.0)	(70, 1259.0)	(72, 1380.0)	(74, 1218.0)	(76, 1260.0)	(78, 1441.0)	(80, 1283.0)	(82, 1382.0)	(84, 1251.0)	(86, 1218.0)	(88, 1271.0)	(90, 1256.0)	(92, 1127.0)	(94, 1167.0)	(96, 1146.0)	(98, 1087.0)	(100, 1197.0)	(102, 1004.0)	(104, 1024.0)	(106, 1038.0)	(108, 943.0)	(110, 947.0)	(112, 921.0)	(114, 876.0)	(116, 970.0)	(118, 6769.0)	(120, 7143.0)	(122, 7614.0)	(124, 11599927.0)
GI_24hpi_3_R2	(30, 931.0)	(32, 1869.0)	(34, 2159.0)	(36, 1780.0)	(38, 1554.0)	(40, 1897.0)	(42, 1357.0)	(44, 1271.0)	(46, 1021.0)	(48, 1330.0)	(50, 1207.0)	(52, 1222.0)	(54, 1276.0)	(56, 1135.0)	(58, 1225.0)	(60, 1441.0)	(62, 1394.0)	(64, 1423.0)	(66, 1315.0)	(68, 1428.0)	(70, 1259.0)	(72, 1380.0)	(74, 1218.0)	(76, 1260.0)	(78, 1441.0)	(80, 1283.0)	(82, 1382.0)	(84, 1251.0)	(86, 1218.0)	(88, 1271.0)	(90, 1256.0)	(92, 1127.0)	(94, 1167.0)	(96, 1146.0)	(98, 1087.0)	(100, 1197.0)	(102, 1004.0)	(104, 1024.0)	(106, 1038.0)	(108, 943.0)	(110, 947.0)	(112, 921.0)	(114, 876.0)	(116, 970.0)	(118, 6769.0)	(120, 7143.0)	(122, 7614.0)	(124, 11599927.0)
GI_48hpi_1_R1	(30, 1105.0)	(32, 2272.0)	(34, 2665.0)	(36, 1960.0)	(38, 1924.0)	(40, 2028.0)	(42, 1622.0)	(44, 1533.0)	(46, 1313.0)	(48, 1469.0)	(50, 1406.0)	(52, 1474.0)	(54, 1525.0)	(56, 1394.0)	(58, 1433.0)	(60, 1644.0)	(62, 1622.0)	(64, 1705.0)	(66, 1671.0)	(68, 1683.0)	(70, 1680.0)	(72, 1742.0)	(74, 1679.0)	(76, 1704.0)	(78, 1908.0)	(80, 1827.0)	(82, 1732.0)	(84, 1640.0)	(86, 1555.0)	(88, 1698.0)	(90, 1563.0)	(92, 1449.0)	(94, 1491.0)	(96, 1431.0)	(98, 1461.0)	(100, 1428.0)	(102, 1310.0)	(104, 1330.0)	(106, 1277.0)	(108, 1333.0)	(110, 1295.0)	(112, 1280.0)	(114, 1206.0)	(116, 1302.0)	(118, 11533.0)	(120, 12290.0)	(122, 13493.0)	(124, 14419425.0)
GI_48hpi_1_R2	(30, 1105.0)	(32, 2272.0)	(34, 2665.0)	(36, 1960.0)	(38, 1924.0)	(40, 2028.0)	(42, 1622.0)	(44, 1533.0)	(46, 1313.0)	(48, 1469.0)	(50, 1406.0)	(52, 1474.0)	(54, 1525.0)	(56, 1394.0)	(58, 1433.0)	(60, 1644.0)	(62, 1622.0)	(64, 1705.0)	(66, 1671.0)	(68, 1683.0)	(70, 1680.0)	(72, 1742.0)	(74, 1679.0)	(76, 1704.0)	(78, 1908.0)	(80, 1827.0)	(82, 1732.0)	(84, 1640.0)	(86, 1555.0)	(88, 1698.0)	(90, 1563.0)	(92, 1449.0)	(94, 1491.0)	(96, 1431.0)	(98, 1461.0)	(100, 1428.0)	(102, 1310.0)	(104, 1330.0)	(106, 1277.0)	(108, 1333.0)	(110, 1295.0)	(112, 1280.0)	(114, 1206.0)	(116, 1302.0)	(118, 11533.0)	(120, 12290.0)	(122, 13493.0)	(124, 14419425.0)
GI_48hpi_2_R1	(30, 1040.0)	(32, 2110.0)	(34, 2447.0)	(36, 1826.0)	(38, 1710.0)	(40, 1827.0)	(42, 1416.0)	(44, 1262.0)	(46, 1154.0)	(48, 1301.0)	(50, 1202.0)	(52, 1258.0)	(54, 1376.0)	(56, 1226.0)	(58, 1322.0)	(60, 1513.0)	(62, 1534.0)	(64, 1437.0)	(66, 1474.0)	(68, 1565.0)	(70, 1442.0)	(72, 1626.0)	(74, 1385.0)	(76, 1481.0)	(78, 1781.0)	(80, 1560.0)	(82, 1438.0)	(84, 1509.0)	(86, 1434.0)	(88, 1403.0)	(90, 1341.0)	(92, 1311.0)	(94, 1320.0)	(96, 1357.0)	(98, 1309.0)	(100, 1291.0)	(102, 1184.0)	(104, 1161.0)	(106, 1188.0)	(108, 1272.0)	(110, 1165.0)	(112, 1127.0)	(114, 1022.0)	(116, 1238.0)	(118, 9871.0)	(120, 10149.0)	(122, 11371.0)	(124, 13578169.0)
