Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17
GI_6hpi_2_R2	(21.0, 218.0)	(22.0, 5471.0)	(23.0, 23574.0)	(24.0, 49589.0)	(25.0, 72732.0)	(26.0, 94057.0)	(27.0, 119591.0)	(28.0, 149204.0)	(29.0, 186119.0)	(30.0, 231853.0)	(31.0, 293636.0)	(32.0, 383361.0)	(33.0, 523346.0)	(34.0, 787819.0)	(35.0, 1552742.0)	(36.0, 10092489.0)		
GI_6hpi_3_R1	(21.0, 188.0)	(22.0, 5060.0)	(23.0, 18357.0)	(24.0, 33292.0)	(25.0, 51222.0)	(26.0, 74844.0)	(27.0, 106311.0)	(28.0, 149152.0)	(29.0, 202821.0)	(30.0, 273053.0)	(31.0, 363455.0)	(32.0, 495803.0)	(33.0, 706899.0)	(34.0, 1146110.0)	(35.0, 2875854.0)	(36.0, 10099921.0)		
GI_6hpi_3_R2	(20.0, 3.0)	(21.0, 221.0)	(22.0, 6534.0)	(23.0, 27695.0)	(24.0, 57382.0)	(25.0, 84918.0)	(26.0, 108882.0)	(27.0, 136190.0)	(28.0, 170035.0)	(29.0, 209299.0)	(30.0, 262149.0)	(31.0, 329652.0)	(32.0, 427568.0)	(33.0, 581583.0)	(34.0, 875654.0)	(35.0, 1722214.0)	(36.0, 11602363.0)	
HC_24hpi_1_R1	(21.0, 152.0)	(22.0, 4872.0)	(23.0, 17766.0)	(24.0, 32152.0)	(25.0, 49441.0)	(26.0, 72074.0)	(27.0, 103306.0)	(28.0, 142904.0)	(29.0, 192801.0)	(30.0, 256537.0)	(31.0, 342221.0)	(32.0, 462764.0)	(33.0, 659549.0)	(34.0, 1063210.0)	(35.0, 2645132.0)	(36.0, 8316069.0)		
HC_24hpi_1_R2	(21.0, 220.0)	(22.0, 5465.0)	(23.0, 23511.0)	(24.0, 48371.0)	(25.0, 71864.0)	(26.0, 93107.0)	(27.0, 117338.0)	(28.0, 146888.0)	(29.0, 184382.0)	(30.0, 231164.0)	(31.0, 292356.0)	(32.0, 382612.0)	(33.0, 522237.0)	(34.0, 787251.0)	(35.0, 1541588.0)	(36.0, 9912596.0)		
HC_24hpi_2_R1	(21.0, 173.0)	(22.0, 4982.0)	(23.0, 18057.0)	(24.0, 32315.0)	(25.0, 49517.0)	(26.0, 72162.0)	(27.0, 101512.0)	(28.0, 140475.0)	(29.0, 188309.0)	(30.0, 250538.0)	(31.0, 333976.0)	(32.0, 450389.0)	(33.0, 644436.0)	(34.0, 1041406.0)	(35.0, 2608866.0)	(36.0, 8038788.0)		
HC_24hpi_2_R2	(20.0, 1.0)	(21.0, 204.0)	(22.0, 5428.0)	(23.0, 22370.0)	(24.0, 45875.0)	(25.0, 66502.0)	(26.0, 86259.0)	(27.0, 109113.0)	(28.0, 138077.0)	(29.0, 171900.0)	(30.0, 216307.0)	(31.0, 276634.0)	(32.0, 362160.0)	(33.0, 495120.0)	(34.0, 748602.0)	(35.0, 1479946.0)	(36.0, 9751403.0)	
HC_24hpi_3_R1	(21.0, 142.0)	(22.0, 4356.0)	(23.0, 15984.0)	(24.0, 27835.0)	(25.0, 42871.0)	(26.0, 62073.0)	(27.0, 87982.0)	(28.0, 122433.0)	(29.0, 166211.0)	(30.0, 219754.0)	(31.0, 293887.0)	(32.0, 399071.0)	(33.0, 569486.0)	(34.0, 918850.0)	(35.0, 2301502.0)	(36.0, 7457552.0)		
HC_24hpi_3_R2	(20.0, 1.0)	(21.0, 213.0)	(22.0, 5160.0)	(23.0, 22054.0)	(24.0, 45059.0)	(25.0, 66086.0)	(26.0, 85069.0)	(27.0, 106711.0)	(28.0, 132402.0)	(29.0, 164541.0)	(30.0, 204797.0)	(31.0, 258254.0)	(32.0, 335162.0)	(33.0, 456441.0)	(34.0, 687935.0)	(35.0, 1350262.0)	(36.0, 8769842.0)	
HC_48hpi_1_R1	(21.0, 157.0)	(22.0, 4370.0)	(23.0, 16922.0)	(24.0, 30493.0)	(25.0, 46799.0)	(26.0, 69018.0)	(27.0, 99764.0)	(28.0, 140385.0)	(29.0, 195149.0)	(30.0, 266346.0)	(31.0, 362404.0)	(32.0, 506094.0)	(33.0, 750392.0)	(34.0, 1312174.0)	(35.0, 3843674.0)	(36.0, 7473633.0)		
HC_48hpi_1_R2	(20.0, 3.0)	(21.0, 181.0)	(22.0, 5265.0)	(23.0, 23561.0)	(24.0, 52946.0)	(25.0, 79561.0)	(26.0, 101739.0)	(27.0, 125997.0)	(28.0, 153316.0)	(29.0, 188941.0)	(30.0, 232158.0)	(31.0, 290350.0)	(32.0, 375656.0)	(33.0, 511148.0)	(34.0, 776503.0)	(35.0, 1559391.0)	(36.0, 10641058.0)	
HC_48hpi_2_R1	(21.0, 196.0)	(22.0, 5405.0)	(23.0, 19239.0)	(24.0, 34779.0)	(25.0, 53107.0)	(26.0, 76867.0)	(27.0, 108901.0)	(28.0, 150813.0)	(29.0, 203459.0)	(30.0, 269413.0)	(31.0, 357561.0)	(32.0, 483954.0)	(33.0, 690198.0)	(34.0, 1119263.0)	(35.0, 2748102.0)	(36.0, 8158530.0)		
HC_48hpi_2_R2	(20.0, 4.0)	(21.0, 283.0)	(22.0, 6392.0)	(23.0, 26923.0)	(24.0, 56682.0)	(25.0, 82707.0)	(26.0, 105637.0)	(27.0, 131753.0)	(28.0, 162558.0)	(29.0, 200113.0)	(30.0, 247380.0)	(31.0, 310739.0)	(32.0, 401017.0)	(33.0, 543418.0)	(34.0, 815987.0)	(35.0, 1595700.0)	(36.0, 9792494.0)	
HC_48hpi_3_R1	(20.0, 2.0)	(21.0, 186.0)	(22.0, 5133.0)	(23.0, 18836.0)	(24.0, 33822.0)	(25.0, 51792.0)	(26.0, 74926.0)	(27.0, 106399.0)	(28.0, 145817.0)	(29.0, 195284.0)	(30.0, 258886.0)	(31.0, 341880.0)	(32.0, 460293.0)	(33.0, 652243.0)	(34.0, 1055732.0)	(35.0, 2560796.0)	(36.0, 7048227.0)	
HC_48hpi_3_R2	(20.0, 1.0)	(21.0, 205.0)	(22.0, 5742.0)	(23.0, 23275.0)	(24.0, 48534.0)	(25.0, 70682.0)	(26.0, 92033.0)	(27.0, 114914.0)	(28.0, 143937.0)	(29.0, 178721.0)	(30.0, 223771.0)	(31.0, 283078.0)	(32.0, 367554.0)	(33.0, 501033.0)	(34.0, 758613.0)	(35.0, 1497266.0)	(36.0, 8700895.0)	
HC_6hpi_1_R1	(21.0, 76.0)	(22.0, 2796.0)	(23.0, 10421.0)	(24.0, 18569.0)	(25.0, 29544.0)	(26.0, 44309.0)	(27.0, 65152.0)	(28.0, 95150.0)	(29.0, 133594.0)	(30.0, 184847.0)	(31.0, 252424.0)	(32.0, 344166.0)	(33.0, 484857.0)	(34.0, 738903.0)	(35.0, 1427708.0)	(36.0, 10449419.0)		
HC_6hpi_1_R2	(20.0, 2.0)	(21.0, 308.0)	(22.0, 6543.0)	(23.0, 28066.0)	(24.0, 69900.0)	(25.0, 108406.0)	(26.0, 135539.0)	(27.0, 164596.0)	(28.0, 199780.0)	(29.0, 239293.0)	(30.0, 291864.0)	(31.0, 360328.0)	(32.0, 463279.0)	(33.0, 631010.0)	(34.0, 978357.0)	(35.0, 2357864.0)	(36.0, 8246800.0)	
HC_6hpi_2_R1	(21.0, 94.0)	(22.0, 3009.0)	(23.0, 11650.0)	(24.0, 21918.0)	(25.0, 34436.0)	(26.0, 51496.0)	(27.0, 74938.0)	(28.0, 107154.0)	(29.0, 148585.0)	(30.0, 201851.0)	(31.0, 270358.0)	(32.0, 365634.0)	(33.0, 507244.0)	(34.0, 770332.0)	(35.0, 1499398.0)	(36.0, 10209754.0)		
HC_6hpi_2_R2	(20.0, 2.0)	(21.0, 227.0)	(22.0, 5518.0)	(23.0, 23409.0)	(24.0, 59833.0)	(25.0, 94474.0)	(26.0, 121017.0)	(27.0, 148031.0)	(28.0, 181739.0)	(29.0, 221269.0)	(30.0, 272553.0)	(31.0, 343364.0)	(32.0, 445035.0)	(33.0, 613286.0)	(34.0, 964903.0)	(35.0, 2353194.0)	(36.0, 8429997.0)	
HC_6hpi_3_R1	(21.0, 93.0)	(22.0, 2826.0)	(23.0, 10652.0)	(24.0, 19711.0)	(25.0, 30916.0)	(26.0, 46703.0)	(27.0, 68598.0)	(28.0, 98073.0)	(29.0, 136698.0)	(30.0, 188017.0)	(31.0, 253063.0)	(32.0, 340634.0)	(33.0, 478191.0)	(34.0, 727579.0)	(35.0, 1416485.0)	(36.0, 10274319.0)		
HC_6hpi_3_R2	(21.0, 255.0)	(22.0, 5786.0)	(23.0, 23837.0)	(24.0, 60554.0)	(25.0, 94660.0)	(26.0, 120129.0)	(27.0, 147577.0)	(28.0, 179692.0)	(29.0, 219154.0)	(30.0, 269959.0)	(31.0, 335987.0)	(32.0, 435749.0)	(33.0, 597364.0)	(34.0, 940349.0)	(35.0, 2309225.0)	(36.0, 8352281.0)		
HI_24hpi_1_R1	(21.0, 186.0)	(22.0, 5509.0)	(23.0, 20015.0)	(24.0, 35927.0)	(25.0, 55388.0)	(26.0, 80255.0)	(27.0, 114553.0)	(28.0, 157949.0)	(29.0, 213994.0)	(30.0, 283816.0)	(31.0, 378696.0)	(32.0, 512237.0)	(33.0, 731223.0)	(34.0, 1193851.0)	(35.0, 2910084.0)	(36.0, 7445434.0)		
HI_24hpi_1_R2	(20.0, 2.0)	(21.0, 304.0)	(22.0, 7035.0)	(23.0, 29448.0)	(24.0, 60926.0)	(25.0, 89086.0)	(26.0, 113190.0)	(27.0, 140503.0)	(28.0, 172754.0)	(29.0, 212423.0)	(30.0, 260900.0)	(31.0, 327107.0)	(32.0, 422156.0)	(33.0, 570266.0)	(34.0, 858951.0)	(35.0, 1694778.0)	(36.0, 9179288.0)	
HI_24hpi_2_R1	(20.0, 3.0)	(21.0, 235.0)	(22.0, 6649.0)	(23.0, 24062.0)	(24.0, 42587.0)	(25.0, 64353.0)	(26.0, 92657.0)	(27.0, 130056.0)	(28.0, 178153.0)	(29.0, 238551.0)	(30.0, 314956.0)	(31.0, 416255.0)	(32.0, 564628.0)	(33.0, 804941.0)	(34.0, 1314912.0)	(35.0, 3219382.0)	(36.0, 8573326.0)	
HI_24hpi_2_R2	(20.0, 1.0)	(21.0, 295.0)	(22.0, 6743.0)	(23.0, 27867.0)	(24.0, 57727.0)	(25.0, 84192.0)	(26.0, 107777.0)	(27.0, 135605.0)	(28.0, 167731.0)	(29.0, 207659.0)	(30.0, 259984.0)	(31.0, 329526.0)	(32.0, 425892.0)	(33.0, 581687.0)	(34.0, 876374.0)	(35.0, 1723587.0)	(36.0, 10993059.0)	
HI_24hpi_3_R1	(21.0, 150.0)	(22.0, 4703.0)	(23.0, 17133.0)	(24.0, 29974.0)	(25.0, 46616.0)	(26.0, 67446.0)	(27.0, 96742.0)	(28.0, 134226.0)	(29.0, 182486.0)	(30.0, 243500.0)	(31.0, 324406.0)	(32.0, 440600.0)	(33.0, 631571.0)	(34.0, 1025765.0)	(35.0, 2500728.0)	(36.0, 6606325.0)		
HI_24hpi_3_R2	(20.0, 1.0)	(21.0, 285.0)	(22.0, 6321.0)	(23.0, 25669.0)	(24.0, 54047.0)	(25.0, 79221.0)	(26.0, 100967.0)	(27.0, 124249.0)	(28.0, 152930.0)	(29.0, 187822.0)	(30.0, 232090.0)	(31.0, 290350.0)	(32.0, 372302.0)	(33.0, 505026.0)	(34.0, 752568.0)	(35.0, 1477505.0)	(36.0, 7991018.0)	
HI_48hpi_1_R1	(21.0, 175.0)	(22.0, 4763.0)	(23.0, 18153.0)	(24.0, 33064.0)	(25.0, 50042.0)	(26.0, 73907.0)	(27.0, 105786.0)	(28.0, 150937.0)	(29.0, 206896.0)	(30.0, 282771.0)	(31.0, 387554.0)	(32.0, 541310.0)	(33.0, 801319.0)	(34.0, 1394441.0)	(35.0, 4077687.0)	(36.0, 7902777.0)		
HI_48hpi_1_R2	(20.0, 2.0)	(21.0, 199.0)	(22.0, 5753.0)	(23.0, 25762.0)	(24.0, 57631.0)	(25.0, 86156.0)	(26.0, 109029.0)	(27.0, 134969.0)	(28.0, 164493.0)	(29.0, 201490.0)	(30.0, 248200.0)	(31.0, 310716.0)	(32.0, 401525.0)	(33.0, 545260.0)	(34.0, 823765.0)	(35.0, 1650302.0)	(36.0, 11266330.0)	
HI_48hpi_2_R1	(21.0, 123.0)	(22.0, 3718.0)	(23.0, 14362.0)	(24.0, 26119.0)	(25.0, 39972.0)	(26.0, 59473.0)	(27.0, 85412.0)	(28.0, 121089.0)	(29.0, 167895.0)	(30.0, 228514.0)	(31.0, 311761.0)	(32.0, 435416.0)	(33.0, 648036.0)	(34.0, 1129042.0)	(35.0, 3289034.0)	(36.0, 6171540.0)		
HI_48hpi_2_R2	(20.0, 1.0)	(21.0, 164.0)	(22.0, 4305.0)	(23.0, 19868.0)	(24.0, 44815.0)	(25.0, 67580.0)	(26.0, 85897.0)	(27.0, 107206.0)	(28.0, 131549.0)	(29.0, 160996.0)	(30.0, 200542.0)	(31.0, 249145.0)	(32.0, 323490.0)	(33.0, 440316.0)	(34.0, 666208.0)	(35.0, 1346577.0)	(36.0, 8882847.0)	
