Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61
GC_6hpi_2_R2 - polya	(1, 0.005250760082699842)	(2, 0.008272354037201302)	(3, 0.010383026284830999)	(4, 0.012219681433645612)	(5, 0.013574955192649943)	(6, 0.014589559045019306)	(7, 0.015892991731274838)	(8, 0.01798885224383345)	(9, 0.020173583166818575)	(10, 0.022510134374282325)	(12, 0.024791141575229506)	(14, 0.027734973920607767)	(16, 0.030004872320251633)	(18, 0.032156276839326814)	(20, 0.03416326694145891)	(22, 0.03618136584489433)	(24, 0.03799950632487008)	(26, 0.03993614068541452)	(28, 0.04205421880057976)	(30, 0.044076020637782945)	(32, 0.04599414032948853)	(34, 0.047856716014677544)	(36, 0.04991184425579066)	(38, 0.05172257886823088)	(40, 0.05341852253387018)	(42, 0.05534775102687908)	(44, 0.05715478270555152)	(46, 0.05939135470128544)	(48, 0.061402047737185314)	(50, 0.06336830556787193)	(52, 0.06533086046479077)	(54, 0.06728971242794184)	(56, 0.0694448198807848)	(58, 0.07166287720767986)	(60, 0.07420679270613881)	(62, 0.07707286344239386)	(64, 0.08008705152935978)	(66, 0.08279019317983291)	(68, 0.08575994606158556)	(70, 0.08872969894333822)	(72, 0.09172537236146529)	(74, 0.0950394980836207)	(76, 0.0988201934605153)	(78, 0.10259348296987433)	(80, 0.10638899008184002)	(82, 0.11007711211454033)	(84, 0.1135763845250843)	(86, 0.11709417160446713)	(88, 0.12083783764368401)	(90, 0.12460742421927529)	(92, 0.1281400230337292)	(94, 0.13197996535090817)	(96, 0.13614576583965096)	(98, 0.14017085484521846)	(100, 0.14379972993763446)	(102, 0.1476915133275622)	(104, 0.1510278566523242)	(106, 0.1543086559705697)	(108, 0.1573746851302844)	(110, 0.16047033776014127)	(112, 0.16356969332376595)	(114, 0.1660321442793339)
GC_6hpi_3_R2 - polya	(1, 0.004900872042401928)	(2, 0.007879194546893524)	(3, 0.009990740480056057)	(4, 0.01182856749595678)	(5, 0.013190644965188167)	(6, 0.014239900814691772)	(7, 0.015595461166845497)	(8, 0.01770700710000803)	(9, 0.019968446725956792)	(10, 0.022089768334735818)	(12, 0.024136143097121726)	(14, 0.02658332055978386)	(16, 0.02883498451011613)	(18, 0.030793378191953602)	(20, 0.03264423944200965)	(22, 0.034778595284944)	(24, 0.036645749327694196)	(26, 0.03865953850469181)	(28, 0.04062770786214577)	(30, 0.04256980875128909)	(32, 0.04453797810874305)	(34, 0.046274789809940015)	(36, 0.04806373844775827)	(38, 0.049565933934159395)	(40, 0.051136559149875964)	(42, 0.05296135193162137)	(44, 0.05472423210112897)	(46, 0.05744838703959175)	(48, 0.059572967206909605)	(50, 0.061414052781349156)	(52, 0.06330401673387118)	(54, 0.06514836086684955)	(56, 0.06700248067544444)	(58, 0.0689902013841314)	(60, 0.07137872479309457)	(62, 0.0740670355876302)	(64, 0.07667714097723388)	(66, 0.07923836798875511)	(68, 0.08200488418822269)	(70, 0.08515591029527234)	(72, 0.08834603910478794)	(74, 0.09148077241914343)	(76, 0.0948012435702123)	(78, 0.09827160841406737)	(80, 0.10216884442650934)	(82, 0.10589011827785441)	(84, 0.10928227771677756)	(86, 0.11273309120939967)	(88, 0.11618064614348293)	(90, 0.1194815659433188)	(92, 0.12294541367009623)	(94, 0.12628543617239807)	(96, 0.12995131452858302)	(98, 0.1335324703627584)	(100, 0.1369213712431427)	(102, 0.14015386131366311)	(104, 0.1433928685012612)	(106, 0.1464135522667576)	(108, 0.1498220044983749)	(110, 0.1528980837590314)	(112, 0.15574280536343094)	(114, 0.1580466062503845)
GI_24hpi_1_R1 - polya	(1, 0.0010859763503486845)	(2, 0.0023374978760554)	(3, 0.0032579290510460534)	(4, 0.004085654927836209)	(5, 0.004827297313440189)	(6, 0.00562853596217306)	(7, 0.0065224799091064285)	(8, 0.008310367802973164)	(9, 0.01056840399485671)	(10, 0.012892658256883467)	(12, 0.014614328080606993)	(14, 0.016786280781304362)	(16, 0.018392068982277264)	(18, 0.01980582477983485)	(20, 0.021097077147627492)	(22, 0.02245123668205619)	(24, 0.023772287181413276)	(26, 0.025189353882478022)	(28, 0.026689193171221787)	(30, 0.02786456391626381)	(32, 0.028950540266612493)	(34, 0.030033205713454015)	(36, 0.031158912905888625)	(38, 0.03206610046685064)	(40, 0.03311565687862056)	(42, 0.03436717840432727)	(44, 0.03530747500036089)	(46, 0.0366682563418039)	(48, 0.03797275232362519)	(50, 0.03893291434070177)	(52, 0.0400652433401507)	(54, 0.04106844710282037)	(56, 0.04207496176899721)	(58, 0.04318080354038885)	(60, 0.04431644344334494)	(62, 0.045571275872558825)	(64, 0.04637913632830601)	(66, 0.04732936563486111)	(68, 0.04824979680985177)	(70, 0.049200026116406864)	(72, 0.05021978439661234)	(74, 0.05233545173768797)	(76, 0.055321886701146857)	(78, 0.05783486246308177)	(80, 0.06047034165478163)	(82, 0.06283101585538715)	(84, 0.06511553927532798)	(86, 0.06747952437944066)	(88, 0.06982695496601754)	(90, 0.07226709085079493)	(92, 0.07478999932325131)	(94, 0.07728642056765044)	(96, 0.07991527795233597)	(98, 0.08234217022308471)	(100, 0.08465980267809714)	(102, 0.08671918465955106)	(104, 0.08903681711456349)	(106, 0.09196034491138633)	(108, 0.09413560851559084)	(110, 0.0963506029618813)	(112, 0.09864505909234361)	(114, 0.1003203762669669)
GI_24hpi_1_R2 - polya	(1, 0.0029135950863013486)	(2, 0.005350420067571567)	(3, 0.006827083031765205)	(4, 0.008383207680130698)	(5, 0.009522158486593954)	(6, 0.010667731100071529)	(7, 0.011747085643405892)	(8, 0.014170667010647469)	(9, 0.016766415360261397)	(10, 0.019693254060591386)	(12, 0.022050617357689754)	(14, 0.02501718690010567)	(16, 0.02751029724099762)	(18, 0.0298411733100387)	(20, 0.03190717709850693)	(22, 0.03402284443958257)	(24, 0.03598621021932882)	(26, 0.0380389703937684)	(28, 0.04042282091892405)	(30, 0.042770251505500935)	(32, 0.04494882601321262)	(34, 0.04695523353855196)	(36, 0.04921658063394267)	(38, 0.05130244984345386)	(40, 0.053494267965194194)	(42, 0.05562317892029847)	(44, 0.05766269548070942)	(46, 0.060506761593360395)	(48, 0.06330116415340396)	(50, 0.06525128631912155)	(52, 0.06747952437944066)	(54, 0.0696382334661094)	(56, 0.07190951327202158)	(58, 0.07457479059528588)	(60, 0.07721026978698574)	(62, 0.08049468606608909)	(64, 0.0836301116873702)	(66, 0.08707676223832439)	(68, 0.09061942899098627)	(70, 0.09403297050686887)	(72, 0.09775773695242457)	(74, 0.10147919249447311)	(76, 0.10522051345756461)	(78, 0.10915055592056427)	(80, 0.11321965633086467)	(82, 0.11722916047803619)	(84, 0.12123204281819339)	(86, 0.12503296004441378)	(88, 0.12895306979689197)	(90, 0.13278378515467681)	(92, 0.1366509204510404)	(94, 0.14045514858076796)	(96, 0.14441167827182494)	(98, 0.1485999712083831)	(100, 0.15235453578550323)	(102, 0.15592037886271526)	(104, 0.15952595278201315)	(106, 0.16280705815760932)	(108, 0.16614113798932006)	(110, 0.16924676547903675)	(112, 0.17214711695130946)	(114, 0.1743786659151357)
GI_24hpi_2_R1 - polya	(1, 0.001511285249949442)	(2, 0.003006990239590127)	(3, 0.004035287419968098)	(4, 0.005016843819419798)	(5, 0.00598281995856274)	(6, 0.0068631046660075174)	(7, 0.00793814262731176)	(8, 0.010142749461000895)	(9, 0.012440837856542573)	(10, 0.014664920015617654)	(12, 0.016554026578054454)	(14, 0.018941701470371487)	(16, 0.020772382056650447)	(18, 0.022412204454147138)	(20, 0.02393127983425096)	(22, 0.02544646014927759)	(24, 0.026965535529381413)	(26, 0.028352178696860797)	(28, 0.029999791224511862)	(30, 0.03137474919675968)	(32, 0.03249652793899019)	(34, 0.033906541496932716)	(36, 0.035273709339026155)	(38, 0.036403278211411046)	(40, 0.0375834829297994)	(42, 0.03882600868942278)	(44, 0.03995947262688486)	(46, 0.041505813462529004)	(48, 0.04315342599018007)	(50, 0.04435310603395437)	(52, 0.04564626763958121)	(54, 0.046783626642120484)	(56, 0.04794435603512289)	(58, 0.0490310791916587)	(60, 0.05017233325927516)	(62, 0.05156287149183174)	(64, 0.0524509463294309)	(66, 0.053319545841644105)	(68, 0.054402373933102724)	(70, 0.05547351682932977)	(72, 0.056790048825419756)	(74, 0.05929068060497528)	(76, 0.06297151710291915)	(78, 0.06577596395849543)	(80, 0.06861157133468923)	(82, 0.07141212312518833)	(84, 0.07434121206323466)	(86, 0.07734041217267042)	(88, 0.08012148863778357)	(90, 0.08315184926783684)	(92, 0.08631853717559171)	(94, 0.08958649677535352)	(96, 0.09260517221017522)	(98, 0.09558100192914784)	(100, 0.09855293658304326)	(102, 0.10120158083553196)	(104, 0.10403718821172576)	(106, 0.11258296099107906)	(108, 0.11530171641495718)	(110, 0.11768549624219701)	(112, 0.12048215296761892)	(114, 0.12280361175362374)
GI_24hpi_2_R2 - polya	(1, 0.003801583515336741)	(2, 0.007026697399249468)	(3, 0.008943069417226595)	(4, 0.01049330531794793)	(5, 0.011864368225118558)	(6, 0.013032887748275343)	(7, 0.014279308572975914)	(8, 0.01679552061284019)	(9, 0.01990378254443724)	(10, 0.022860136938023905)	(12, 0.025555521971438892)	(14, 0.028780635855351618)	(16, 0.03177594089971018)	(18, 0.03448690619343392)	(20, 0.03682784030482468)	(22, 0.039344052344688955)	(24, 0.041642140740230635)	(26, 0.044127192259477394)	(28, 0.046947219375362434)	(30, 0.04947901167553547)	(32, 0.05170309383461055)	(34, 0.05398949703492066)	(36, 0.05636548673200612)	(38, 0.05865968006247061)	(40, 0.06100061417386137)	(42, 0.06362199297080975)	(44, 0.06595513695204613)	(46, 0.0688413801742434)	(48, 0.0719652223661492)	(50, 0.07432563180292591)	(52, 0.07691974514433397)	(54, 0.07965797589359805)	(56, 0.08253642898564093)	(58, 0.08528244986505937)	(60, 0.08807910659048127)	(62, 0.09138601684101497)	(64, 0.09483704449940468)	(66, 0.09865420827505017)	(68, 0.10257653880777978)	(70, 0.106346961802499)	(72, 0.11050689130493717)	(74, 0.11460839483121749)	(76, 0.11882675030981348)	(78, 0.12330607514858116)	(80, 0.12789446180951014)	(82, 0.1325568547069057)	(84, 0.13707123513136807)	(86, 0.1412428498290378)	(88, 0.14563258817103014)	(90, 0.14994832027655586)	(92, 0.15423289186146405)	(94, 0.15847461773052318)	(96, 0.16295394256929085)	(98, 0.16747221805883045)	(100, 0.17158151171526514)	(102, 0.17590892901602245)	(104, 0.17998316708676243)	(106, 0.18346146020069243)	(108, 0.18717345721925382)	(110, 0.19116200385829568)	(112, 0.194893476202243)	(114, 0.1977680342292087)
GI_24hpi_3_R2 - polya	(1, 0.003947812149909988)	(2, 0.007107774586605836)	(3, 0.008734855516069822)	(4, 0.01019922835258741)	(5, 0.011535147431515735)	(6, 0.012699794833658379)	(7, 0.013770242813568897)	(8, 0.016253682126961298)	(9, 0.018994028955532222)	(10, 0.021790039079058493)	(12, 0.024290605560129463)	(14, 0.02720222406548607)	(16, 0.02952295528593207)	(18, 0.031680978413431676)	(20, 0.03393748275508304)	(22, 0.036078378714904075)	(24, 0.038155047795930486)	(26, 0.040043318032492635)	(28, 0.04237261283677792)	(30, 0.04456060850771502)	(32, 0.04662015042106285)	(34, 0.04860690187177677)	(36, 0.05057224436289248)	(38, 0.052396287720660004)	(40, 0.05458000159967746)	(42, 0.05684078773324847)	(44, 0.05879328484860526)	(46, 0.061443714046863704)	(48, 0.0638457993137829)	(50, 0.06586680509985396)	(52, 0.06817469094454104)	(54, 0.07046973141346918)	(56, 0.07258921841369201)	(58, 0.07495704934525407)	(60, 0.07736769819601255)	(62, 0.08034782537208343)	(64, 0.08354632393605606)	(66, 0.08668915920507334)	(68, 0.09037578204788516)	(70, 0.09370273436944705)	(72, 0.097423611547616)	(74, 0.10096465346516001)	(76, 0.10481398440091821)	(78, 0.10874895117506929)	(80, 0.11297079800783635)	(82, 0.1168415379031928)	(84, 0.12088783126725455)	(86, 0.12453163619086996)	(88, 0.12844091221350318)	(90, 0.13233306106845782)	(92, 0.1361395740850196)	(94, 0.14005313189957244)	(96, 0.14418077931010742)	(98, 0.148312708512562)	(100, 0.1520678400260881)	(102, 0.15569023599010529)	(104, 0.15936829524907783)	(106, 0.1625496666453719)	(108, 0.16598794555684449)	(110, 0.16941766088447777)	(112, 0.17274461320603968)	(114, 0.17525374327094992)
GI_48hpi_1_R2 - polya	(1, 0.0034557508995622485)	(2, 0.005775647419786308)	(3, 0.006966573526607561)	(4, 0.008143731701558047)	(5, 0.009079951068770131)	(6, 0.009961098708499152)	(7, 0.01102811342848351)	(8, 0.013065767345356869)	(9, 0.015303056274356332)	(10, 0.017488715458840426)	(12, 0.01938524807403843)	(14, 0.021533045445877915)	(16, 0.023512185652300517)	(18, 0.025453464046078515)	(20, 0.027260505104116543)	(22, 0.02925341324240991)	(24, 0.031084548181221777)	(26, 0.03295698691564594)	(28, 0.03501873471329314)	(30, 0.0369737810389419)	(32, 0.03850546345956461)	(34, 0.040006168033478104)	(36, 0.04182009305745152)	(38, 0.04325884193794656)	(40, 0.04489378384760001)	(42, 0.04682473629247493)	(44, 0.04840804845761301)	(46, 0.05036997874919716)	(48, 0.05224241748362132)	(50, 0.053784425853147105)	(52, 0.0555639310474436)	(54, 0.057271154599418575)	(56, 0.058971494185458176)	(58, 0.06076476731162544)	(60, 0.06302270813843104)	(62, 0.06554912363671658)	(64, 0.06828550009603132)	(66, 0.07100466664050759)	(68, 0.07412310320923608)	(70, 0.07689389949822772)	(72, 0.0800157780499239)	(74, 0.0833304076478108)	(76, 0.08652112585886079)	(78, 0.0895569548363647)	(80, 0.09304712556560385)	(82, 0.09643403680581226)	(84, 0.09952837949376692)	(86, 0.1026433740795277)	(88, 0.10577557858012696)	(90, 0.10905923033130463)	(92, 0.1123841858780946)	(94, 0.11572979332269073)	(96, 0.11934731742173446)	(98, 0.1230508910949705)	(100, 0.12644124431814663)	(102, 0.12949772519345665)	(104, 0.1326230457281205)	(106, 0.1353456542555645)	(108, 0.13842967099461606)	(110, 0.14154122359740914)	(112, 0.14452198084742995)	(114, 0.14669731408301098)
GI_48hpi_2_R2 - polya	(1, 0.004469018765124538)	(2, 0.007211869889382643)	(3, 0.008521124159361845)	(4, 0.009837692699005736)	(5, 0.010993347306026482)	(6, 0.012075859216400349)	(7, 0.013326599329062043)	(8, 0.015476994610480398)	(9, 0.017919960678486283)	(10, 0.02046166938696546)	(12, 0.022780292870671646)	(14, 0.02516474478136002)	(16, 0.02743216837741339)	(18, 0.029407021186879226)	(20, 0.03138918826600975)	(22, 0.033652954727230774)	(24, 0.03569729309851115)	(26, 0.0377562600091209)	(28, 0.04008585489732411)	(30, 0.04201316495396947)	(32, 0.04396607495444124)	(34, 0.04572149967396643)	(36, 0.04759760984295897)	(38, 0.04922137770851977)	(40, 0.050929259675224485)	(42, 0.05292239815885204)	(44, 0.05465222293455081)	(46, 0.056747761193484014)	(48, 0.05890547074456705)	(50, 0.06077792377872725)	(52, 0.06283323355450465)	(54, 0.06472031512799423)	(56, 0.06647939698235177)	(58, 0.06869562069075232)	(60, 0.07127755788238727)	(62, 0.07414475159094508)	(64, 0.07699365962534116)	(66, 0.08022656681713339)	(68, 0.08354724524490187)	(70, 0.08671432400971188)	(72, 0.09000208822398927)	(74, 0.09375430856197436)	(76, 0.09732732929317459)	(78, 0.1010246926086745)	(80, 0.10513531216022931)	(82, 0.10903747502634051)	(84, 0.11235815345410899)	(86, 0.11576660311785372)	(88, 0.11954442339966523)	(90, 0.12330030087248266)	(92, 0.1269903499183179)	(94, 0.13084131289677628)	(96, 0.13489707542584592)	(98, 0.13884312390994524)	(100, 0.14257340143893626)	(102, 0.14595259402402225)	(104, 0.14933910087877295)	(106, 0.15263052222788265)	(108, 0.15592194357699238)	(110, 0.15921702206093447)	(112, 0.16249015773588246)	(114, 0.16514158048933195)
GI_48hpi_3_R2 - polya	(1, 0.00359508838746891)	(2, 0.005878455336266731)	(3, 0.007287341325950493)	(4, 0.00841167398766857)	(5, 0.009522125999241978)	(6, 0.010327203707632699)	(7, 0.01118780401660209)	(8, 0.013061691786132217)	(9, 0.01540058133550871)	(10, 0.017961561287199883)	(12, 0.019932613607742684)	(14, 0.02222292088161284)	(16, 0.024305018403312978)	(18, 0.026071331134221932)	(20, 0.0280770850801264)	(22, 0.03010366000124787)	(24, 0.03210941394715234)	(26, 0.03390695814088679)	(28, 0.03610704118881661)	(30, 0.03816137741022742)	(32, 0.04010466843048088)	(34, 0.041791167423057995)	(36, 0.04383162299432413)	(38, 0.04550077117422041)	(40, 0.04736077829360587)	(42, 0.04943593549023368)	(44, 0.051146725620563965)	(46, 0.053329457855812945)	(48, 0.0552519279008494)	(50, 0.0570564124196562)	(52, 0.05905175587795217)	(54, 0.061099151774290636)	(56, 0.06291404678070592)	(58, 0.06492327088914657)	(60, 0.06706089101142537)	(62, 0.06990642429108224)	(64, 0.07267214383240725)	(66, 0.07565995377604695)	(68, 0.07894966786033317)	(70, 0.08190971650368355)	(72, 0.08468931669515323)	(74, 0.08788186622842678)	(76, 0.09124445372597251)	(78, 0.09442659277163756)	(80, 0.09821601026113182)	(82, 0.10169658328490722)	(84, 0.10530208215998463)	(86, 0.10853280348115601)	(88, 0.11201684666746758)	(90, 0.11532391156443464)	(92, 0.11889470881415037)	(94, 0.12231628907481094)	(96, 0.12600507185075638)	(98, 0.12975631755235278)	(100, 0.13318830830062184)	(102, 0.13661335872381858)	(104, 0.14000370752165364)	(106, 0.14301927876558268)	(108, 0.14605914114726487)	(110, 0.14930027295604476)	(112, 0.1523991281008418)	(114, 0.15471372651246515)
GI_6hpi_1_R2 - polya	(1, 0.0048387818037174905)	(2, 0.007656221594313921)	(3, 0.009553173329704455)	(4, 0.011052076176357301)	(5, 0.012165369162045516)	(6, 0.013172930411662783)	(7, 0.01434841853621626)	(8, 0.016444394715975637)	(9, 0.01859634652071375)	(10, 0.020819822735146914)	(12, 0.02279451839411903)	(14, 0.025070860476587666)	(16, 0.027188604954949885)	(18, 0.02917573964169505)	(20, 0.03101982550905011)	(22, 0.0328950089458378)	(24, 0.03458049720908644)	(26, 0.03634372939591665)	(28, 0.038473912902051925)	(30, 0.040401962206875086)	(32, 0.04212165779649962)	(34, 0.04370763383756383)	(36, 0.045483305052167106)	(38, 0.04707550060711785)	(40, 0.04877031814119627)	(42, 0.05069525768907618)	(44, 0.05226257518848081)	(46, 0.05474105147226156)	(48, 0.056737515429836516)	(50, 0.05843855247780147)	(52, 0.06030751640070263)	(54, 0.062017882719497375)	(56, 0.06395215153820707)	(58, 0.06598904233604444)	(60, 0.06821562830742087)	(62, 0.07083404365364845)	(64, 0.07362971514564204)	(66, 0.07604288653361427)	(68, 0.07898471660194123)	(70, 0.0817990466355944)	(72, 0.08473776694697809)	(74, 0.08792215805687957)	(76, 0.09128691506949033)	(78, 0.09466100135293085)	(80, 0.09819368524047782)	(82, 0.10156777152391835)	(84, 0.10485478461294752)	(86, 0.10804228547979228)	(88, 0.11134173759659449)	(90, 0.11484954342859535)	(92, 0.118248507767582)	(94, 0.12193045998840558)	(96, 0.12546625363289582)	(98, 0.12898027897878317)	(100, 0.132298389637245)	(102, 0.13546412220548687)	(104, 0.1383655254335514)	(106, 0.14131357501576491)	(108, 0.1442025392160564)	(110, 0.14692668629835492)	(112, 0.14987162612362515)	(114, 0.15230967556714348)
GI_6hpi_2_R2 - polya	(1, 0.005162778209039104)	(2, 0.0083757837965794)	(3, 0.010318691021523637)	(4, 0.011746693504874877)	(5, 0.013119772815789533)	(6, 0.01403287055754778)	(7, 0.015117603213170357)	(8, 0.017273337731306366)	(9, 0.019511457008097255)	(10, 0.021794201362492868)	(12, 0.023792031759873693)	(14, 0.026174324364310622)	(16, 0.028439905227319803)	(18, 0.030358783564323033)	(20, 0.03221930603061239)	(22, 0.03428235769526166)	(24, 0.036129149368441874)	(26, 0.03778027723981675)	(28, 0.03969915557681998)	(30, 0.04153564915516833)	(32, 0.04312498845755204)	(34, 0.044971780130732254)	(36, 0.04679797561424874)	(38, 0.04848343046839648)	(40, 0.049938894537966017)	(42, 0.051977917314674285)	(44, 0.05398947850516425)	(46, 0.05653997332518823)	(48, 0.058716304032987957)	(50, 0.06038116269747197)	(52, 0.06227944484481149)	(54, 0.06412280381971441)	(56, 0.06608630723432238)	(58, 0.06827980143350854)	(60, 0.07038404547748525)	(62, 0.07288304982334992)	(64, 0.07571845860038867)	(66, 0.0783822324635631)	(68, 0.08115241997333342)	(70, 0.08403931922453149)	(72, 0.08730381528623107)	(74, 0.09042757071856192)	(76, 0.09374355725442082)	(78, 0.09714879394548917)	(80, 0.10100714680915934)	(82, 0.104511931750269)	(84, 0.10786224526890076)	(86, 0.111397924494506)	(88, 0.11484778626317907)	(90, 0.11828048454046572)	(92, 0.12181273106779367)	(94, 0.1254513912417175)	(96, 0.1293063114071104)	(98, 0.13306854871901655)	(100, 0.1363399101772707)	(102, 0.13950829068720627)	(104, 0.1426389115160917)	(106, 0.14611280217270578)	(108, 0.1492708845878095)	(110, 0.15238434192530848)	(112, 0.155432577995539)	(114, 0.15775994742753935)
GI_6hpi_3_R2 - polya	(1, 0.0057883399823952545)	(2, 0.009058962886079566)	(3, 0.011016518031010324)	(4, 0.012793375777947473)	(5, 0.014305210674493996)	(6, 0.015250860390660547)	(7, 0.016377207504820704)	(8, 0.018425111348748267)	(9, 0.020756107782865817)	(10, 0.023117220449982295)	(12, 0.025360879808402938)	(14, 0.027815352797816113)	(16, 0.029887349628142823)	(18, 0.0317425095808772)	(20, 0.03361272765011105)	(22, 0.035485957342644786)	(24, 0.037374245151678)	(26, 0.039250486467511635)	(28, 0.04125923920854058)	(30, 0.04308127130497613)	(32, 0.0449394428810104)	(34, 0.04671630062794755)	(36, 0.048679879019478095)	(38, 0.05045372514311535)	(40, 0.05225768749975154)	(42, 0.05418813803498326)	(44, 0.056043297987717636)	(46, 0.0586875032450241)	(48, 0.06090706961704559)	(50, 0.06271103197368179)	(52, 0.06463545926231372)	(54, 0.06639725889275139)	(56, 0.06837890702408131)	(58, 0.07049607820390641)	(60, 0.07270660970602821)	(62, 0.075341780093435)	(64, 0.07822691521473296)	(66, 0.08118734091852825)	(68, 0.08403934818352736)	(70, 0.08677992538643042)	(72, 0.08989394387852027)	(74, 0.09341754313939563)	(76, 0.09709172356526567)	(78, 0.10083517132703326)	(80, 0.1045033285063035)	(82, 0.10800584640407962)	(84, 0.11148427131545657)	(86, 0.11485427778803738)	(88, 0.11837787704891274)	(90, 0.1218111276107913)	(92, 0.12537688959786517)	(94, 0.1289245818451397)	(96, 0.132930040833998)	(98, 0.13651989580747104)	(100, 0.13987785578685225)	(102, 0.1435008386166241)	(104, 0.14686783346590498)	(106, 0.15014749123948898)	(108, 0.15326753297817863)	(110, 0.15640564445666763)	(112, 0.1594082328866614)	(114, 0.16165791549168185)
HC_24hpi_1_R2 - polya	(1, 0.004651502860186826)	(2, 0.007450760569460934)	(3, 0.00954672218759901)	(4, 0.01118310418182641)	(5, 0.01273592624443369)	(6, 0.013829168683130295)	(7, 0.015173090916687266)	(8, 0.017401355759890536)	(9, 0.020472183246930044)	(10, 0.02295112788499368)	(12, 0.02520028271110198)	(14, 0.027915980488755966)	(16, 0.030248695246484388)	(18, 0.03261274497857036)	(20, 0.0345485500611032)	(22, 0.036484355143636044)	(24, 0.03836097194127129)	(26, 0.04019929043691399)	(28, 0.04193664068184905)	(30, 0.04384459245384184)	(32, 0.045644612647491985)	(34, 0.04759434438529485)	(36, 0.04958585608890777)	(38, 0.051403284601645435)	(40, 0.05307100157023038)	(42, 0.05489191174678555)	(44, 0.05668148694898318)	(46, 0.058652108669691075)	(48, 0.060587913752223915)	(50, 0.06231481900570644)	(52, 0.06422625244151675)	(54, 0.06622820913658219)	(56, 0.06835898739289531)	(58, 0.07043405902812835)	(60, 0.07271803049241171)	(62, 0.07548595322732828)	(64, 0.07856026237818528)	(66, 0.0815753832441447)	(68, 0.08471236234371682)	(70, 0.08805824127233922)	(72, 0.09173487826362461)	(74, 0.09535580863382993)	(76, 0.09926919876470568)	(78, 0.10300502404088865)	(80, 0.1069149325079469)	(82, 0.11075520769865503)	(84, 0.1142682064905177)	(86, 0.1177463886442053)	(88, 0.12120019915117036)	(90, 0.1248420195042807)	(92, 0.12862658807390875)	(94, 0.13221618346975653)	(96, 0.13603905034137714)	(98, 0.13973309565175007)	(100, 0.14307201125273744)	(102, 0.1466546433209502)	(104, 0.15042876689912577)	(106, 0.15377464582774816)	(108, 0.1573468329045084)	(110, 0.16064745020350324)	(112, 0.16351982285294497)	(114, 0.16587342759357843)
HC_24hpi_2_R2 - polya	(1, 0.00568120795932942)	(2, 0.008994053406646198)	(3, 0.011033277926052854)	(4, 0.012664657541578177)	(5, 0.014145778508305118)	(6, 0.015269140787416854)	(7, 0.016614313452850017)	(8, 0.01893258974859653)	(9, 0.02230267658593174)	(10, 0.025111082283711082)	(12, 0.027518798251361394)	(14, 0.03022703151660848)	(16, 0.03283509234932331)	(18, 0.035189144513831344)	(20, 0.037417981137674056)	(22, 0.03948224876521378)	(24, 0.041789792300331835)	(26, 0.044083025487945286)	(28, 0.046251043134893415)	(30, 0.048279534893671615)	(32, 0.05035095769496364)	(34, 0.05221130287056269)	(36, 0.054465182602538464)	(38, 0.05642570021066978)	(40, 0.05828246779939268)	(42, 0.06040397681695084)	(44, 0.06250044272637592)	(46, 0.06479367591398938)	(48, 0.06712268497036433)	(50, 0.06906173705723874)	(52, 0.07101152190474161)	(54, 0.07326182404984122)	(56, 0.0756874279518723)	(58, 0.0779842387263619)	(60, 0.08067458405722822)	(62, 0.08372984324946206)	(64, 0.08708561973929266)	(66, 0.0902374737771826)	(68, 0.09380432789270617)	(70, 0.09731036303133514)	(72, 0.1009165706024964)	(74, 0.10466230406182757)	(76, 0.10837583923927338)	(78, 0.11232191756366906)	(80, 0.11614278034739942)	(82, 0.12011032419305202)	(84, 0.12399916112742929)	(86, 0.12779140321615046)	(88, 0.1318805850155922)	(90, 0.13587317196937787)	(92, 0.13985860374941123)	(94, 0.14380468207380692)	(96, 0.14791175180762944)	(98, 0.15219412329838342)	(100, 0.15623321888155906)	(102, 0.15998252992776635)	(104, 0.16401447033718972)	(106, 0.1676314106689794)	(108, 0.1715774889933751)	(110, 0.17520873967266942)	(112, 0.17837490405806394)	(114, 0.18079693037321887)
