Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
GC_6hpi_1_R1	GC_6hpi_1_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	13658087.0	1.7 Gbp	0.0	31-125	45.0	49.39959141920094	124.26473586674327	124	pass	warn	pass	fail	pass	fail	warn	fail	pass	pass
GC_6hpi_1_R2	GC_6hpi_1_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	13658087.0	1.7 Gbp	0.0	31-125	45.0	49.29914976354623	124.26473586674327	124	pass	pass	pass	fail	warn	pass	warn	fail	pass	pass
GC_6hpi_2_R1	GC_6hpi_2_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	13502807.0	1.6 Gbp	0.0	31-125	45.0	50.79923912561865	124.27432840445694	124	pass	warn	pass	fail	pass	fail	warn	warn	pass	pass
GC_6hpi_2_R2	GC_6hpi_2_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	13502807.0	1.6 Gbp	0.0	31-125	45.0	50.41858049075891	124.27432840445694	124	pass	pass	pass	fail	warn	pass	warn	warn	pass	pass
GC_6hpi_3_R1	GC_6hpi_3_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	15344208.0	1.9 Gbp	0.0	31-125	45.0	48.60285063554772	124.23841843124129	124	pass	warn	pass	fail	pass	fail	warn	fail	pass	pass
GC_6hpi_3_R2	GC_6hpi_3_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	15344208.0	1.9 Gbp	0.0	31-125	45.0	48.28115914321715	124.23841843124129	124	pass	pass	pass	fail	warn	pass	warn	fail	pass	pass
GI_24hpi_1_R1	GI_24hpi_1_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	15101618.0	1.8 Gbp	0.0	31-125	45.0	48.40573557135564	124.21858869691977	124	pass	warn	pass	fail	pass	fail	warn	fail	pass	pass
GI_24hpi_1_R2	GI_24hpi_1_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	15101618.0	1.8 Gbp	0.0	31-125	45.0	48.41286100498134	124.21858869691977	124	pass	pass	pass	fail	warn	pass	warn	fail	pass	pass
GI_24hpi_2_R1	GI_24hpi_2_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	12836756.0	1.6 Gbp	0.0	31-125	45.0	50.849275795291824	124.21002035093602	124	pass	warn	pass	fail	pass	fail	warn	warn	pass	pass
GI_24hpi_2_R2	GI_24hpi_2_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	12836756.0	1.6 Gbp	0.0	31-125	45.0	50.69031444668964	124.21002035093602	124	pass	pass	pass	fail	pass	pass	warn	warn	pass	pass
GI_24hpi_3_R1	GI_24hpi_3_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	11677354.0	1.4 Gbp	0.0	31-125	46.0	47.9620985342096	124.23192334496325	124	pass	fail	pass	fail	warn	fail	warn	fail	pass	pass
GI_24hpi_3_R2	GI_24hpi_3_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	11677354.0	1.4 Gbp	0.0	31-125	46.0	47.86357232863791	124.23192334496325	124	pass	pass	pass	fail	pass	pass	warn	fail	pass	pass
GI_48hpi_1_R1	GI_48hpi_1_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	14526510.0	1.8 Gbp	0.0	31-125	46.0	46.39836960919319	124.23375201614152	124	pass	fail	pass	fail	pass	fail	warn	fail	pass	pass
GI_48hpi_1_R2	GI_48hpi_1_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	14526510.0	1.8 Gbp	0.0	31-125	46.0	46.56702766342405	124.23375201614152	124	pass	pass	pass	fail	warn	pass	warn	fail	pass	pass
GI_48hpi_2_R1	GI_48hpi_2_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	13671905.0	1.7 Gbp	0.0	31-125	46.0	48.20742557387295	124.24767173996601	124	pass	fail	pass	fail	warn	fail	warn	fail	pass	pass
GI_48hpi_2_R2	GI_48hpi_2_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	13671905.0	1.7 Gbp	0.0	31-125	46.0	48.45521922242305	124.24767173996601	124	pass	pass	pass	fail	warn	pass	warn	fail	pass	pass
GI_48hpi_3_R1	GI_48hpi_3_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	14408547.0	1.7 Gbp	0.0	31-125	46.0	48.32435938670991	124.20870636713056	124	pass	fail	pass	fail	pass	fail	warn	fail	pass	pass
GI_48hpi_3_R2	GI_48hpi_3_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	14408547.0	1.7 Gbp	0.0	31-125	46.0	48.441184606579	124.20870636713056	124	pass	pass	pass	fail	pass	pass	warn	fail	pass	pass
GI_6hpi_1_R1	GI_6hpi_1_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	16078427.0	2 Gbp	0.0	31-125	45.0	48.257826259974266	124.27178849647419	124	pass	warn	pass	fail	warn	fail	warn	fail	pass	pass
GI_6hpi_1_R2	GI_6hpi_1_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	16078427.0	2 Gbp	0.0	31-125	45.0	48.037355013579926	124.27178849647419	124	pass	pass	pass	fail	warn	pass	warn	fail	pass	pass
GI_6hpi_2_R1	GI_6hpi_2_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	14565801.0	1.8 Gbp	0.0	31-125	45.0	50.679530336342296	124.27388500639272	124	pass	warn	pass	fail	pass	fail	warn	warn	pass	pass
GI_6hpi_2_R2	GI_6hpi_2_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	14565801.0	1.8 Gbp	0.0	31-125	45.0	50.22680051064899	124.27388500639272	124	pass	pass	pass	fail	pass	pass	warn	warn	pass	pass
GI_6hpi_3_R1	GI_6hpi_3_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	16602342.0	2 Gbp	0.0	31-125	45.0	47.785947052936464	124.25652531432011	124	pass	warn	pass	fail	pass	fail	warn	fail	pass	pass
GI_6hpi_3_R2	GI_6hpi_3_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	16602342.0	2 Gbp	0.0	31-125	45.0	47.24336471780504	124.25652531432011	124	pass	pass	pass	fail	warn	pass	warn	fail	pass	pass
HC_24hpi_1_R1	HC_24hpi_1_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	14360950.0	1.7 Gbp	0.0	31-125	45.0	49.24371335817258	124.20563200902447	124	pass	warn	pass	fail	pass	fail	warn	fail	pass	pass
HC_24hpi_1_R2	HC_24hpi_1_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	14360950.0	1.7 Gbp	0.0	31-125	45.0	48.976505987748396	124.20563200902447	124	pass	pass	pass	fail	pass	pass	warn	fail	pass	pass
HC_24hpi_2_R1	HC_24hpi_2_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	13975901.0	1.7 Gbp	0.0	31-125	45.0	48.35123876376892	124.20329726863406	124	pass	warn	pass	fail	pass	fail	warn	fail	pass	pass
HC_24hpi_2_R2	HC_24hpi_2_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	13975901.0	1.7 Gbp	0.0	31-125	45.0	48.21804271931853	124.20329726863406	124	pass	pass	pass	fail	pass	pass	warn	fail	pass	pass
HC_24hpi_3_R1	HC_24hpi_3_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	12689989.0	1.5 Gbp	0.0	31-125	45.0	50.91947482292042	124.23056351743095	124	pass	warn	pass	fail	pass	fail	warn	warn	pass	pass
HC_24hpi_3_R2	HC_24hpi_3_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	12689989.0	1.5 Gbp	0.0	31-125	45.0	50.58774924208846	124.23056351743095	124	pass	pass	pass	fail	pass	pass	warn	warn	pass	pass
HC_48hpi_1_R1	HC_48hpi_1_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	15117774.0	1.8 Gbp	0.0	31-125	45.0	48.3807267449573	124.27507138286364	124	pass	fail	pass	fail	pass	fail	warn	fail	warn	pass
HC_48hpi_1_R2	HC_48hpi_1_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	15117774.0	1.8 Gbp	0.0	31-125	45.0	48.446621314360236	124.27507138286364	124	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass
HC_48hpi_2_R1	HC_48hpi_2_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	14479787.0	1.8 Gbp	0.0	31-125	45.0	48.7831157553263	124.28944372593327	124	pass	warn	pass	fail	pass	fail	warn	fail	pass	pass
HC_48hpi_2_R2	HC_48hpi_2_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	14479787.0	1.8 Gbp	0.0	31-125	45.0	48.7859163624005	124.28944372593327	124	pass	pass	pass	fail	pass	pass	warn	fail	pass	pass
HC_48hpi_3_R1	HC_48hpi_3_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	13010254.0	1.6 Gbp	0.0	31-125	45.0	51.388543943815144	124.26492864781886	124	pass	fail	pass	fail	pass	fail	warn	warn	pass	pass
HC_48hpi_3_R2	HC_48hpi_3_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	13010254.0	1.6 Gbp	0.0	31-125	45.0	51.253061640123356	124.26492864781886	124	pass	pass	pass	fail	pass	pass	warn	warn	pass	pass
HC_6hpi_1_R1	HC_6hpi_1_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	14281935.0	1.7 Gbp	0.0	31-125	45.0	48.72417895903318	124.30124878036484	124	pass	pass	pass	fail	pass	pass	warn	fail	pass	pass
HC_6hpi_1_R2	HC_6hpi_1_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	14281935.0	1.7 Gbp	0.0	31-125	45.0	49.582890065731355	124.30124878036484	124	pass	fail	pass	fail	pass	fail	warn	fail	pass	pass
HC_6hpi_2_R1	HC_6hpi_2_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	14277851.0	1.7 Gbp	0.0	31-125	45.0	49.2228603803798	124.32150563134466	124	pass	pass	pass	fail	pass	pass	warn	fail	pass	pass
HC_6hpi_2_R2	HC_6hpi_2_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	14277851.0	1.7 Gbp	0.0	31-125	45.0	49.6237082156418	124.32150563134466	124	pass	fail	pass	fail	pass	fail	warn	fail	pass	pass
HC_6hpi_3_R1	HC_6hpi_3_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	14092558.0	1.7 Gbp	0.0	31-125	45.0	48.897636033417534	124.31253396296115	124	pass	pass	pass	fail	pass	pass	warn	fail	pass	pass
HC_6hpi_3_R2	HC_6hpi_3_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	14092558.0	1.7 Gbp	0.0	31-125	45.0	49.407677163224065	124.31253396296115	124	pass	fail	pass	fail	pass	fail	warn	fail	pass	pass
HI_24hpi_1_R1	HI_24hpi_1_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	14139117.0	1.7 Gbp	0.0	31-125	46.0	44.4598014577592	124.24535991179647	124	pass	warn	pass	fail	warn	fail	warn	fail	warn	pass
HI_24hpi_1_R2	HI_24hpi_1_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	14139117.0	1.7 Gbp	0.0	31-125	46.0	44.67270689792145	124.24535991179647	124	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass
HI_24hpi_2_R1	HI_24hpi_2_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	15985706.0	1.9 Gbp	0.0	31-125	45.0	48.31543674843795	124.25073531316039	124	pass	warn	pass	fail	pass	fail	warn	fail	pass	pass
HI_24hpi_2_R2	HI_24hpi_2_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	15985706.0	1.9 Gbp	0.0	31-125	45.0	48.33274568138433	124.25073531316039	124	pass	pass	pass	fail	pass	pass	warn	fail	pass	pass
HI_24hpi_3_R1	HI_24hpi_3_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	12352371.0	1.5 Gbp	0.0	31-125	45.0	49.503937966979514	124.17603903736376	124	pass	warn	pass	fail	pass	fail	warn	fail	pass	pass
HI_24hpi_3_R2	HI_24hpi_3_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	12352371.0	1.5 Gbp	0.0	31-125	45.0	49.46791849410156	124.17603903736376	124	pass	pass	pass	fail	warn	pass	warn	fail	pass	pass
HI_48hpi_1_R1	HI_48hpi_1_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	16031582.0	1.9 Gbp	0.0	31-125	45.0	46.01938249470556	124.25621195712313	124	pass	fail	pass	fail	pass	fail	warn	fail	pass	pass
HI_48hpi_1_R2	HI_48hpi_1_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	16031582.0	1.9 Gbp	0.0	31-125	45.0	45.96974781060685	124.25621195712313	124	pass	pass	pass	fail	warn	pass	warn	fail	pass	pass
HI_48hpi_2_R1	HI_48hpi_2_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	12731506.0	1.5 Gbp	0.0	31-125	45.0	51.80527366788672	124.2531391808636	124	pass	fail	pass	fail	pass	fail	warn	warn	pass	pass
HI_48hpi_2_R2	HI_48hpi_2_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	12731506.0	1.5 Gbp	0.0	31-125	45.0	51.92720018060947	124.2531391808636	124	pass	pass	pass	fail	pass	pass	warn	warn	pass	pass
HI_48hpi_3_R1	HI_48hpi_3_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	16087157.0	2 Gbp	0.0	31-125	46.0	45.82364326758901	124.2287771854281	124	pass	warn	pass	fail	pass	fail	warn	fail	pass	pass
HI_48hpi_3_R2	HI_48hpi_3_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	16087157.0	2 Gbp	0.0	31-125	46.0	45.847634121438944	124.2287771854281	124	pass	pass	pass	fail	warn	pass	warn	fail	pass	pass
HI_6hpi_1_R1	HI_6hpi_1_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	17067242.0	2.1 Gbp	0.0	31-125	46.0	44.18436307867309	124.30351459245729	124	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass
HI_6hpi_1_R2	HI_6hpi_1_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	17067242.0	2.1 Gbp	0.0	31-125	46.0	44.84534738219681	124.30351459245729	124	pass	fail	pass	fail	warn	fail	warn	fail	warn	pass
HI_6hpi_2_R1	HI_6hpi_2_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	16351112.0	2 Gbp	0.0	31-125	45.0	46.65101803324782	124.32552379312183	124	pass	pass	pass	fail	pass	pass	warn	fail	pass	pass
HI_6hpi_2_R2	HI_6hpi_2_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	16351112.0	2 Gbp	0.0	31-125	45.0	47.08506882201332	124.32552379312183	124	pass	fail	pass	fail	pass	fail	warn	fail	pass	pass
HI_6hpi_3_R1	HI_6hpi_3_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	13771769.0	1.7 Gbp	0.0	31-125	45.0	50.9650037616573	124.282167563223	124	pass	warn	pass	fail	pass	fail	warn	warn	pass	pass
HI_6hpi_3_R2	HI_6hpi_3_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	13771769.0	1.7 Gbp	0.0	31-125	45.0	50.787293014802955	124.282167563223	124	pass	pass	pass	fail	warn	pass	warn	warn	pass	pass
