Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
GC_48hpi_3_R1	(1.0, 35.442228258438234)	(2.0, 11.89708817056989)	(3.0, 6.562543164074285)	(4.0, 4.220825486353537)	(5.0, 3.0974546330159223)	(6.0, 2.2752508998549854)	(7.0, 1.9280269826714633)	(8.0, 1.6761324451534123)	(9.0, 1.3539353586066396)	('>10', 14.561918512068406)	('>50', 4.58918109943013)	('>100', 7.95612931061942)	('>500', 2.145081172356661)	('>1k', 2.0148528812592454)	('>5k', 0.1945066218624153)	('>10k+', 0.08484500366523873)
GC_48hpi_3_R2	(1.0, 35.75548586464766)	(2.0, 11.85689155681785)	(3.0, 6.504080901067335)	(4.0, 4.2067075946966614)	(5.0, 2.977367531739414)	(6.0, 2.2922514117266983)	(7.0, 1.9332661967459113)	(8.0, 1.5116358618638601)	(9.0, 1.3316536243630297)	('>10', 14.747649118054499)	('>50', 4.445842474151345)	('>100', 7.945563236006679)	('>500', 2.1903128025850878)	('>1k', 2.006272629986707)	('>5k', 0.20940744796037267)	('>10k+', 0.08561174758686334)
GC_6hpi_1_R1	(1.0, 36.251055982769856)	(2.0, 13.208213905779113)	(3.0, 7.366142181958956)	(4.0, 4.925249729726007)	(5.0, 3.539678846658476)	(6.0, 2.688775377248675)	(7.0, 2.141951675810298)	(8.0, 1.8315540670185007)	(9.0, 1.5622000303219443)	('>10', 16.23971814696128)	('>50', 3.835123120697336)	('>100', 4.8361011033297245)	('>500', 0.901143261143742)	('>1k', 0.6730925705760002)	('>5k', 0.0)	('>10k+', 0.0)
GC_6hpi_1_R2	(1.0, 36.23462312986958)	(2.0, 13.055797682351292)	(3.0, 7.330725148428587)	(4.0, 4.783830589431077)	(5.0, 3.6266284380896416)	(6.0, 2.7179555024187905)	(7.0, 2.221747545506223)	(8.0, 1.8706947843305006)	(9.0, 1.588314013671803)	('>10', 16.173375886722273)	('>50', 3.7903397672185575)	('>100', 4.966356070611364)	('>500', 0.9432682083109859)	('>1k', 0.659626514021092)	('>5k', 0.036716719018295964)	('>10k+', 0.0)
GC_6hpi_2_R1	(1.0, 37.76780390123085)	(2.0, 13.164535751196215)	(3.0, 7.223318141421766)	(4.0, 4.836100208643842)	(5.0, 3.4695854506651456)	(6.0, 2.6819103232965547)	(7.0, 2.2250210294820763)	(8.0, 1.7683750766031114)	(9.0, 1.5436483887336305)	('>10', 16.031428264056157)	('>50', 3.7320908666500543)	('>100', 4.395795884517193)	('>500', 0.7216124411856512)	('>1k', 0.4387742723178059)	('>5k', 0.0)	('>10k+', 0.0)
GC_6hpi_2_R2	(1.0, 37.28579501526782)	(2.0, 13.261611290275829)	(3.0, 7.361877583926223)	(4.0, 4.893547877295272)	(5.0, 3.4955907373774915)	(6.0, 2.6341411102890686)	(7.0, 2.1583908645153245)	(8.0, 1.8444257048965975)	(9.0, 1.496858780668004)	('>10', 16.021642744562225)	('>50', 3.8164546307938854)	('>100', 4.49840574466021)	('>500', 0.7800454931130945)	('>1k', 0.45121242235895687)	('>5k', 0.0)	('>10k+', 0.0)
GC_6hpi_3_R1	(1.0, 35.77750774855081)	(2.0, 12.6489299865163)	(3.0, 7.267485840854169)	(4.0, 4.75804699417368)	(5.0, 3.517541967010413)	(6.0, 2.6983467140894133)	(7.0, 2.173833704032693)	(8.0, 1.7858124271982558)	(9.0, 1.6099132824463864)	('>10', 16.704041557759975)	('>50', 3.9329294264307695)	('>100', 5.374554576259484)	('>500', 0.9314642581509099)	('>1k', 0.7443977176900682)	('>5k', 0.07519379883669551)	('>10k+', 0.0)
GC_6hpi_3_R2	(1.0, 35.42737835391094)	(2.0, 12.731472838897522)	(3.0, 7.20365549659142)	(4.0, 4.896065676786125)	(5.0, 3.4334971793731706)	(6.0, 2.7515986992964248)	(7.0, 2.1088378237459118)	(8.0, 1.8267215382146016)	(9.0, 1.5195329087471696)	('>10', 16.67713213244805)	('>50', 4.118886296457085)	('>100', 5.444876633592996)	('>500', 1.000560571702836)	('>1k', 0.7785816437990508)	('>5k', 0.08120220643674461)	('>10k+', 0.0)
GI_24hpi_1_R1	(1.0, 35.94438070138195)	(2.0, 12.602266094677047)	(3.0, 7.030858922953283)	(4.0, 4.586757711204181)	(5.0, 3.313044368033523)	(6.0, 2.4912035229970004)	(7.0, 2.073836628164947)	(8.0, 1.651539439275276)	(9.0, 1.4154568504842888)	('>10', 15.117137736717204)	('>50', 4.007393469905122)	('>100', 6.08045618515855)	('>500', 1.5552422838062392)	('>1k', 1.7954861712421708)	('>5k', 0.2683109065674811)	('>10k+', 0.06662900743178049)
GI_24hpi_1_R2	(1.0, 36.06150754497941)	(2.0, 12.589380934599316)	(3.0, 6.764151718113462)	(4.0, 4.445454996734409)	(5.0, 3.315350924750935)	(6.0, 2.5982617576848743)	(7.0, 2.0709958195357974)	(8.0, 1.6372947088592378)	(9.0, 1.3912614290898995)	('>10', 15.14735906709134)	('>50', 3.943939555901811)	('>100', 6.211641100104155)	('>500', 1.6293420247585602)	('>1k', 1.845741965575852)	('>5k', 0.27658887816500016)	('>10k+', 0.07172757405593749)
GI_24hpi_2_R1	(1.0, 38.3316375577733)	(2.0, 12.860110664594654)	(3.0, 6.960352316497044)	(4.0, 4.527299077907874)	(5.0, 3.30151897898661)	(6.0, 2.440812106767123)	(7.0, 2.0739914520294938)	(8.0, 1.680244884079778)	(9.0, 1.4226388483237027)	('>10', 14.648532884794571)	('>50', 3.8092454490806014)	('>100', 5.3849865135173305)	('>500', 1.2829112763093438)	('>1k', 1.0873128907022762)	('>5k', 0.18840509863628133)	('>10k+', 0.0)
GI_24hpi_2_R2	(1.0, 38.25706100394745)	(2.0, 12.822124286758033)	(3.0, 6.834789633841893)	(4.0, 4.44317250790443)	(5.0, 3.2812627340285707)	(6.0, 2.5030975100371564)	(7.0, 1.9972840563617218)	(8.0, 1.6096674260304367)	(9.0, 1.4199697237242248)	('>10', 14.836383124182575)	('>50', 3.8282737821052746)	('>100', 5.522552289844856)	('>500', 1.3429512887808217)	('>1k', 1.1001941309311716)	('>5k', 0.20121650152144863)	('>10k+', 0.0)
GI_24hpi_3_R1	(1.0, 36.13860171075605)	(2.0, 12.404847187313678)	(3.0, 6.571307391365313)	(4.0, 4.192571298656194)	(5.0, 2.9257770294277)	(6.0, 2.2012538934382158)	(7.0, 1.8466464373101479)	(8.0, 1.4604079143844861)	(9.0, 1.2825978546600085)	('>10', 13.374095567352171)	('>50', 4.189080208676739)	('>100', 8.109858262637296)	('>500', 2.36495582508246)	('>1k', 2.49983745355316)	('>5k', 0.34546312332175805)	('>10k+', 0.09269884206458806)
GI_24hpi_3_R2	(1.0, 36.10253748789848)	(2.0, 12.518842003461444)	(3.0, 6.272947615255131)	(4.0, 4.195963820778642)	(5.0, 2.8624079765313772)	(6.0, 2.2376944929769724)	(7.0, 1.8003294401678989)	(8.0, 1.401146454010322)	(9.0, 1.2034463220059088)	('>10', 13.531340770006087)	('>50', 4.213212412161809)	('>100', 8.262523367546994)	('>500', 2.45112576553647)	('>1k', 2.4825399040900047)	('>5k', 0.37414911791050215)	('>10k+', 0.08979304966185528)
GI_48hpi_1_R1	(1.0, 34.58794217773173)	(2.0, 11.78212775177656)	(3.0, 6.614038203384299)	(4.0, 4.289662133148372)	(5.0, 3.1271812188594637)	(6.0, 2.4559413200869002)	(7.0, 1.9179711753962838)	(8.0, 1.6195272702917847)	(9.0, 1.395038744901491)	('>10', 15.7777432499984)	('>50', 4.750484684011956)	('>100', 8.228982536238174)	('>500', 1.894367145117723)	('>1k', 1.3512430461054392)	('>5k', 0.20774934295142974)	('>10k+', 0.0)
GI_48hpi_1_R2	(1.0, 34.87751277401169)	(2.0, 11.574069433084842)	(3.0, 6.586196432998606)	(4.0, 4.338836047645261)	(5.0, 3.120012845170356)	(6.0, 2.356045039825011)	(7.0, 1.9451549461554418)	(8.0, 1.610755672999067)	(9.0, 1.3500227141685959)	('>10', 15.759440052558361)	('>50', 4.73616173293785)	('>100', 8.182508624273503)	('>500', 1.9874764108200726)	('>1k', 1.3615263181806552)	('>5k', 0.21428095517056311)	('>10k+', 0.0)
GI_48hpi_2_R1	(1.0, 35.86334971673896)	(2.0, 12.432876399173944)	(3.0, 6.8786400985208855)	(4.0, 4.552673337117545)	(5.0, 3.193606602849598)	(6.0, 2.58284225260359)	(7.0, 2.0329454400727798)	(8.0, 1.6607435534316959)	(9.0, 1.403965696502999)	('>10', 15.73082786725114)	('>50', 4.448626697215904)	('>100', 6.735398975706112)	('>500', 1.4509696806081624)	('>1k', 0.9548582593444254)	('>5k', 0.07767542286237311)	('>10k+', 0.0)
GI_48hpi_2_R2	(1.0, 36.2120871751092)	(2.0, 12.422924538159865)	(3.0, 6.722724322155504)	(4.0, 4.411469630719115)	(5.0, 3.2012815507653163)	(6.0, 2.5523000226125374)	(7.0, 2.036226996832397)	(8.0, 1.6763823866147438)	(9.0, 1.4831787302740829)	('>10', 15.632299317501374)	('>50', 4.416901371717306)	('>100', 6.72360979398561)	('>500', 1.4669166019442943)	('>1k', 0.9584017865710158)	('>5k', 0.0832957750376843)	('>10k+', 0.0)
GI_48hpi_3_R1	(1.0, 35.80543110445984)	(2.0, 12.687512076452528)	(3.0, 6.858239753389557)	(4.0, 4.58965906323187)	(5.0, 3.268103890219058)	(6.0, 2.599031238884308)	(7.0, 2.1452782966445363)	(8.0, 1.7469469120074137)	(9.0, 1.4266023155699954)	('>10', 15.786379765983854)	('>50', 4.391912626106989)	('>100', 6.65820009221617)	('>500', 1.3042816989055235)	('>1k', 0.7324211659284051)	('>5k', 0.0)	('>10k+', 0.0)
GI_48hpi_3_R2	(1.0, 36.02984954543822)	(2.0, 12.451040794978391)	(3.0, 7.080576248713707)	(4.0, 4.466405801161077)	(5.0, 3.2117763776127712)	(6.0, 2.593741257419099)	(7.0, 2.0334120155871505)	(8.0, 1.725039571073922)	(9.0, 1.4533756231477795)	('>10', 15.696895857201648)	('>50', 4.549688723583593)	('>100', 6.587992371692892)	('>500', 1.378495408950885)	('>1k', 0.7417104034388865)	('>5k', 0.0)	('>10k+', 0.0)
GI_6hpi_1_R1	(1.0, 35.141977650819996)	(2.0, 13.06478404326114)	(3.0, 7.125748843416951)	(4.0, 4.899725502331092)	(5.0, 3.6695381676768704)	(6.0, 2.8170269535703345)	(7.0, 2.305638676312212)	(8.0, 1.8611970601759502)	(9.0, 1.639110634483009)	('>10', 16.8837172413326)	('>50', 4.045392393880659)	('>100', 4.942819819687326)	('>500', 0.8864904275797287)	('>1k', 0.6467458068680768)	('>5k', 0.07008677860409636)	('>10k+', 0.0)
GI_6hpi_1_R2	(1.0, 34.909357548124675)	(2.0, 12.88565167062758)	(3.0, 7.416573937198198)	(4.0, 5.029164344342591)	(5.0, 3.553597350481369)	(6.0, 2.8344690358707747)	(7.0, 2.2881050848133895)	(8.0, 1.8680973457314831)	(9.0, 1.5554287301968455)	('>10', 16.927218356203326)	('>50', 4.092231378227929)	('>100', 4.986757446269847)	('>500', 0.9422244200847166)	('>1k', 0.6364610594176763)	('>5k', 0.07466229240948244)	('>10k+', 0.0)
GI_6hpi_2_R1	(1.0, 37.62083640063601)	(2.0, 13.130073881152308)	(3.0, 7.390332012296829)	(4.0, 4.758701365576559)	(5.0, 3.5803444568649923)	(6.0, 2.7529577912433307)	(7.0, 2.1655869001485413)	(8.0, 1.822825130892384)	(9.0, 1.461016300217728)	('>10', 15.693642298549953)	('>50', 3.70848795009917)	('>100', 4.581182626551716)	('>500', 0.8271240212778117)	('>1k', 0.506888864492618)	('>5k', 0.0)	('>10k+', 0.0)
GI_6hpi_2_R2	(1.0, 37.07163814372603)	(2.0, 13.285418069018764)	(3.0, 7.389580833666683)	(4.0, 4.871916210672492)	(5.0, 3.542895948506877)	(6.0, 2.728274189060642)	(7.0, 2.201530634523905)	(8.0, 1.76084500313907)	(9.0, 1.491611670578743)	('>10', 15.931683769373203)	('>50', 3.569783449941951)	('>100', 4.754280524781093)	('>500', 0.8545490636077876)	('>1k', 0.5098822382551524)	('>5k', 0.03611025114743244)	('>10k+', 0.0)
GI_6hpi_3_R1	(1.0, 34.65012761949024)	(2.0, 13.124228402798341)	(3.0, 7.364734685598419)	(4.0, 4.754600015532033)	(5.0, 3.613278763835797)	(6.0, 2.816671229994052)	(7.0, 2.186261156013868)	(8.0, 1.8686734450227873)	(9.0, 1.4902668319302517)	('>10', 16.769650113289426)	('>50', 4.098617383043967)	('>100', 5.490678435424723)	('>500', 0.9902520132249774)	('>1k', 0.7182305696647138)	('>5k', 0.06372933513628529)	('>10k+', 0.0)
GI_6hpi_3_R2	(1.0, 34.1649059817512)	(2.0, 12.926182607115136)	(3.0, 7.351007821404039)	(4.0, 4.925248966128567)	(5.0, 3.556308896533972)	(6.0, 2.74695697969899)	(7.0, 2.262871316800054)	(8.0, 1.7526522619760347)	(9.0, 1.5900226536308022)	('>10', 16.983240376765124)	('>50', 4.153165702519112)	('>100', 5.717149879654658)	('>500', 1.0539302000634028)	('>1k', 0.7473847616576754)	('>5k', 0.06897159430140694)	('>10k+', 0.0)
HC_24hpi_1_R1	(1.0, 36.62752647234602)	(2.0, 12.894107704348428)	(3.0, 6.968107954159917)	(4.0, 4.554151434669832)	(5.0, 3.3902473636820405)	(6.0, 2.551092943651324)	(7.0, 1.9874496144238238)	(8.0, 1.647401758291079)	(9.0, 1.4010230293178108)	('>10', 15.524994396644317)	('>50', 4.013270793950562)	('>100', 5.903216594373962)	('>500', 1.344276266279858)	('>1k', 1.1053939134295123)	('>5k', 0.08773976043144324)	('>10k+', 0.0)
HC_24hpi_1_R2	(1.0, 36.359604408146254)	(2.0, 12.886128838482328)	(3.0, 6.884169264909747)	(4.0, 4.623603501046825)	(5.0, 3.4376844324502263)	(6.0, 2.4873264282103724)	(7.0, 2.0491023010761262)	(8.0, 1.782884449502346)	(9.0, 1.4470782986470845)	('>10', 15.310061124549321)	('>50', 4.103132793609189)	('>100', 5.995009168221718)	('>500', 1.379220108725588)	('>1k', 1.1597830371816478)	('>5k', 0.09521184524119673)	('>10k+', 0.0)
HC_24hpi_2_R1	(1.0, 35.85536748916929)	(2.0, 12.664118716218455)	(3.0, 6.912909894779788)	(4.0, 4.582708140648846)	(5.0, 3.3186272876355645)	(6.0, 2.581456855762743)	(7.0, 2.01969223904809)	(8.0, 1.7183761067521688)	(9.0, 1.4345487183657695)	('>10', 15.517332745885687)	('>50', 4.181120211020763)	('>100', 6.277309141010899)	('>500', 1.4608495958236751)	('>1k', 1.332192399324735)	('>5k', 0.14339045855355464)	('>10k+', 0.0)
HC_24hpi_2_R2	(1.0, 35.728177023502)	(2.0, 12.773432434391404)	(3.0, 6.882101170606224)	(4.0, 4.4702189388337965)	(5.0, 3.315569529034675)	(6.0, 2.4728181220987833)	(7.0, 2.041232970697279)	(8.0, 1.7021613920856153)	(9.0, 1.3519161886044846)	('>10', 15.547630558146485)	('>50', 4.219809971345848)	('>100', 6.404979067771799)	('>500', 1.4805369410137696)	('>1k', 1.4561213214372757)	('>5k', 0.15329437043049732)	('>10k+', 0.0)
HC_24hpi_3_R1	(1.0, 38.563962774371745)	(2.0, 12.78733975954511)	(3.0, 6.757842427425144)	(4.0, 4.436413768619667)	(5.0, 3.1372628120173793)	(6.0, 2.470412087416257)	(7.0, 1.9964966264899957)	(8.0, 1.6572168520743575)	(9.0, 1.3732123961233236)	('>10', 14.800151995609706)	('>50', 3.8796795889737417)	('>100', 5.64180697649896)	('>500', 1.2400396442085742)	('>1k', 1.2078263254818307)	('>5k', 0.05033596514420273)	('>10k+', 0.0)
HC_24hpi_3_R2	(1.0, 38.22848685448898)	(2.0, 12.75138834532167)	(3.0, 6.825477852793663)	(4.0, 4.433387803219901)	(5.0, 3.08435073738521)	(6.0, 2.5229760227788636)	(7.0, 2.0124519168371857)	(8.0, 1.6331352305503977)	(9.0, 1.3934057220404024)	('>10', 14.864806943963718)	('>50', 3.9384388467406377)	('>100', 5.731852980794269)	('>500', 1.2457917624793164)	('>1k', 1.279991364479003)	('>5k', 0.054057616126808976)	('>10k+', 0.0)
HC_48hpi_1_R1	(1.0, 35.995152753076816)	(2.0, 12.524270197493548)	(3.0, 6.925412587308018)	(4.0, 4.494425556748638)	(5.0, 3.3295789747740443)	(6.0, 2.568698935186566)	(7.0, 2.0428087993245994)	(8.0, 1.709579285296069)	(9.0, 1.4678210776792076)	('>10', 15.01470271370553)	('>50', 3.881298566629257)	('>100', 5.970864485649218)	('>500', 1.6019123015873604)	('>1k', 2.0921035473884744)	('>5k', 0.2743968936830742)	('>10k+', 0.10697332446960711)
HC_48hpi_1_R2	(1.0, 35.96641260370878)	(2.0, 12.729464095441584)	(3.0, 6.938943801078606)	(4.0, 4.502031714703116)	(5.0, 3.3859929999292597)	(6.0, 2.583975163577384)	(7.0, 1.974578145894771)	(8.0, 1.6160449285762486)	(9.0, 1.4510540441388724)	('>10', 14.896270607381718)	('>50', 3.7792684967519174)	('>100', 6.0073404086048425)	('>500', 1.6569792407486503)	('>1k', 2.120162492553422)	('>5k', 0.28595756512474824)	('>10k+', 0.1055236917858989)
HC_48hpi_2_R1	(1.0, 36.25682593261994)	(2.0, 12.88301168852232)	(3.0, 6.884273292512365)	(4.0, 4.494357518887338)	(5.0, 3.2523713047974736)	(6.0, 2.566617191472427)	(7.0, 2.0112715785064483)	(8.0, 1.7286976955509075)	(9.0, 1.3892924328982064)	('>10', 15.095440524274412)	('>50', 3.8933944607116753)	('>100', 5.802830074708519)	('>500', 1.5845651138342405)	('>1k', 1.7888628989884654)	('>5k', 0.28579916656512133)	('>10k+', 0.08238912515022896)
HC_48hpi_2_R2	(1.0, 36.371505350786116)	(2.0, 12.602580895023893)	(3.0, 6.9174059316168215)	(4.0, 4.623812678941349)	(5.0, 3.185374276337008)	(6.0, 2.565360693801326)	(7.0, 2.0312443812807524)	(8.0, 1.6787537700206392)	(9.0, 1.3998264323797787)	('>10', 15.02869869052122)	('>50', 3.869429594611236)	('>100', 5.8812751707980695)	('>500', 1.6484291450853092)	('>1k', 1.8124945071105243)	('>5k', 0.30475681296519047)	('>10k+', 0.07905166872077568)
HC_48hpi_3_R1	(1.0, 38.84646225885565)	(2.0, 13.052813493066173)	(3.0, 6.826670069745997)	(4.0, 4.5972235040047575)	(5.0, 3.297977578260916)	(6.0, 2.4651989580587195)	(7.0, 2.0093043562953485)	(8.0, 1.6729948691218692)	(9.0, 1.310010590745622)	('>10', 14.296185340989082)	('>50', 3.5016915157898323)	('>100', 5.112360783184396)	('>500', 1.314896301464462)	('>1k', 1.463863343730907)	('>5k', 0.13801429381685484)	('>10k+', 0.09433274286940768)
HC_48hpi_3_R2	(1.0, 38.78866886173265)	(2.0, 12.864796202437892)	(3.0, 6.945496271560544)	(4.0, 4.453861522904355)	(5.0, 3.260703088888274)	(6.0, 2.515439198047838)	(7.0, 1.954633720765041)	(8.0, 1.6413249319547574)	(9.0, 1.3863049849501383)	('>10', 14.356937170988434)	('>50', 3.584751861894813)	('>100', 5.112767786210234)	('>500', 1.3738902179929084)	('>1k', 1.4787661580311504)	('>5k', 0.19159546129593438)	('>10k+', 0.09006256034497104)
HC_6hpi_1_R1	(1.0, 35.02574752597629)	(2.0, 13.728260495467119)	(3.0, 7.675702725018563)	(4.0, 5.120659643743563)	(5.0, 3.8273264987487834)	(6.0, 2.8071038108630204)	(7.0, 2.3142575743622436)	(8.0, 1.9374688719597615)	(9.0, 1.5636636653747118)	('>10', 16.55996357331035)	('>50', 3.4838284146255734)	('>100', 4.234901721224945)	('>500', 0.9369883683735453)	('>1k', 0.7333579537747028)	('>5k', 0.050769157176987365)	('>10k+', 0.0)
HC_6hpi_1_R2	(1.0, 36.07314914691549)	(2.0, 13.564778220856091)	(3.0, 7.5726088877034705)	(4.0, 5.071638435457201)	(5.0, 3.6371558202643666)	(6.0, 2.909777239207758)	(7.0, 2.190423740286081)	(8.0, 1.9162247492184628)	(9.0, 1.6118162516415742)	('>10', 16.10237926732559)	('>50', 3.4909426833620376)	('>100', 4.164575101813786)	('>500', 0.9164922128765324)	('>1k', 0.7297469869132268)	('>5k', 0.04829125615839102)	('>10k+', 0.0)
HC_6hpi_2_R1	(1.0, 35.63165238424085)	(2.0, 13.616754162158863)	(3.0, 7.605459964918755)	(4.0, 4.979751372613136)	(5.0, 3.77643727318216)	(6.0, 2.8697322444035938)	(7.0, 2.2658898220205415)	(8.0, 1.9750956383731533)	(9.0, 1.6471298915054877)	('>10', 16.536408634694485)	('>50', 3.4407880918913567)	('>100', 4.0572909954502805)	('>500', 0.8711996912143601)	('>1k', 0.6799705653910548)	('>5k', 0.04643926794189855)	('>10k+', 0.0)
HC_6hpi_2_R2	(1.0, 36.151282936880015)	(2.0, 13.40457550010114)	(3.0, 7.597497173193887)	(4.0, 5.091141230455731)	(5.0, 3.660294123524379)	(6.0, 2.891003711452366)	(7.0, 2.302253269012626)	(8.0, 1.9319367400190277)	(9.0, 1.6366389671737318)	('>10', 16.333250095345555)	('>50', 3.3916888286617883)	('>100', 4.084103774466909)	('>500', 0.824771984279177)	('>1k', 0.6566888775177809)	('>5k', 0.04287278791585747)	('>10k+', 0.0)
HC_6hpi_3_R1	(1.0, 35.68335873138158)	(2.0, 12.96687691857297)	(3.0, 7.493208486918222)	(4.0, 5.020401256486993)	(5.0, 3.6965084351669417)	(6.0, 2.8506849730729833)	(7.0, 2.3100588669450497)	(8.0, 1.8875462095922142)	(9.0, 1.62219238771901)	('>10', 16.49295661154242)	('>50', 3.588419075770778)	('>100', 4.460316962352735)	('>500', 0.9557109846907864)	('>1k', 0.8836355963953817)	('>5k', 0.0)	('>10k+', 0.08812450339190818)
HC_6hpi_3_R2	(1.0, 36.13436069803168)	(2.0, 13.225164834890506)	(3.0, 7.380719226980453)	(4.0, 4.984359958157742)	(5.0, 3.681146482841397)	(6.0, 2.8731750336502397)	(7.0, 2.2780081604339815)	(8.0, 1.8595359328395709)	(9.0, 1.647846178402157)	('>10', 16.205752522575757)	('>50', 3.496013951642505)	('>100', 4.372810967026828)	('>500', 0.9126144485496214)	('>1k', 0.8651227760882066)	('>5k', 0.0)	('>10k+', 0.08336882788927444)
