Sample	total_reads	avg_input_read_length	uniquely_mapped	uniquely_mapped_percent	avg_mapped_read_length	num_splices	num_annotated_splices	num_GTAG_splices	num_GCAG_splices	num_ATAC_splices	num_noncanonical_splices	mismatch_rate	deletion_rate	deletion_length	insertion_rate	insertion_length	multimapped	multimapped_percent	multimapped_toomany	multimapped_toomany_percent	unmapped_mismatches_percent	unmapped_tooshort_percent	unmapped_other_percent	unmapped_mismatches	unmapped_tooshort	unmapped_other	mapped_percent	mapped
GI_24hpi_3	11677354.0	249.0	9050845.0	77.51	245.17	6566297.0	6511592.0	6415876.0	89872.0	5792.0	54757.0	1.21	0.05	2.87	0.04	2.34	1495199.0	12.8	180400.0	1.54	0.0	6.91	1.23	0	807222	143688	90.31	10546044.0
GI_48hpi_1	14526510.0	249.0	11692016.0	80.49	246.04	8325805.0	8273558.0	8141040.0	104272.0	6157.0	74336.0	1.18	0.05	2.81	0.04	2.38	1667333.0	11.48	115641.0	0.8	0.0	6.64	0.59	0	965711	85809	91.97	13359349.0
GI_48hpi_2	13671905.0	249.0	11124014.0	81.36	246.03	8024445.0	7974991.0	7868417.0	98047.0	5836.0	52145.0	1.18	0.05	2.84	0.04	2.34	1410717.0	10.32	53396.0	0.39	0.0	7.55	0.37	0	1033147	50631	91.68	12534731.0
GI_48hpi_3	14408547.0	249.0	11843717.0	82.2	246.05	8711366.0	8659812.0	8531882.0	108849.0	6058.0	64577.0	1.16	0.04	2.83	0.04	2.41	1432726.0	9.94	80129.0	0.56	0.0	6.95	0.35	0	1001538	50437	92.14	13276443.0
GI_6hpi_1	16078427.0	249.0	13633840.0	84.8	245.78	10497304.0	10436335.0	10289790.0	123728.0	7288.0	76498.0	1.17	0.04	2.87	0.04	2.42	1373170.0	8.54	21893.0	0.14	0.0	6.27	0.25	0	1009282	40242	93.34	15007010.0
GI_6hpi_2	14565801.0	249.0	12265510.0	84.21	245.44	9582772.0	9520564.0	9397242.0	117772.0	11420.0	56338.0	1.18	0.04	2.82	0.04	2.35	1233047.0	8.47	18119.0	0.12	0.0	6.89	0.31	0	1003954	45171	92.67999999999999	13498557.0
GI_6hpi_3	16602342.0	249.0	13931986.0	83.92	245.62	10800863.0	10736187.0	10589772.0	128302.0	7818.0	74971.0	1.18	0.04	2.85	0.04	2.34	1450841.0	8.74	23912.0	0.14	0.0	6.88	0.32	0	1142465	53138	92.66	15382827.0
HC_24hpi_1	14360950.0	249.0	12167114.0	84.72	245.64	9242998.0	9180539.0	9067990.0	114967.0	6368.0	53673.0	1.03	0.04	2.95	0.04	2.16	1278882.0	8.91	29413.0	0.2	0.0	5.86	0.3	0	842414	43127	93.63	13445996.0
HC_24hpi_2	13975901.0	249.0	11791320.0	84.37	245.75	8827151.0	8770337.0	8658432.0	107391.0	8453.0	52875.0	1.04	0.04	2.94	0.04	2.18	1278362.0	9.15	25921.0	0.19	0.0	5.98	0.32	0	835584	44714	93.52000000000001	13069682.0
HC_24hpi_3	12689989.0	249.0	10571376.0	83.3	245.03	7752128.0	7698563.0	7606535.0	93109.0	5689.0	46795.0	1.07	0.04	2.93	0.04	2.18	1151949.0	9.08	24807.0	0.2	0.0	7.08	0.35	0	897490	44367	92.38	11723325.0
HC_48hpi_1	15117774.0	249.0	12768867.0	84.46	245.44	8954300.0	8854566.0	8748541.0	142494.0	6116.0	57149.0	1.06	0.04	2.97	0.04	2.21	1438612.0	9.52	26399.0	0.17	0.0	5.53	0.31	0	836977	46919	93.97999999999999	14207479.0
HC_48hpi_2	14479787.0	249.0	12277113.0	84.79	245.34	8861158.0	8787928.0	8689271.0	116298.0	6409.0	49180.0	1.06	0.04	2.97	0.04	2.21	1358392.0	9.38	20021.0	0.14	0.0	5.42	0.28	0	783771	40490	94.17	13635505.0
HC_48hpi_3	13010254.0	249.0	11038710.0	84.85	245.34	8260816.0	8185781.0	8088591.0	116030.0	5864.0	50331.0	1.05	0.04	2.93	0.04	2.21	1184099.0	9.1	15976.0	0.12	0.0	5.59	0.34	0	727236	44233	93.94999999999999	12222809.0
HC_6hpi_1	14281935.0	249.0	12435021.0	87.07	247.39	9599083.0	9554794.0	9438576.0	104803.0	6235.0	49469.0	0.99	0.04	2.67	0.04	2.2	1173341.0	8.22	26820.0	0.19	0.0	4.33	0.2	0	618199	28554	95.28999999999999	13608362.0
HC_6hpi_2	14277851.0	249.0	12485034.0	87.44	247.53	9793480.0	9747480.0	9623060.0	108037.0	7499.0	54884.0	0.97	0.04	2.74	0.03	2.19	1149617.0	8.05	26333.0	0.18	0.0	4.13	0.19	0	589736	27131	95.49	13634651.0
HC_6hpi_3	14092558.0	249.0	12216049.0	86.68	247.46	9563418.0	9518457.0	9403955.0	107382.0	6291.0	45790.0	0.97	0.04	2.75	0.03	2.2	1214108.0	8.62	36930.0	0.26	0.0	4.25	0.18	0	600057	25414	95.30000000000001	13430157.0
HI_24hpi_1	14139117.0	249.0	10620321.0	75.11	245.72	7901764.0	7844203.0	7742731.0	96816.0	6066.0	56151.0	1.03	0.04	2.82	0.04	2.18	1964202.0	13.89	266993.0	1.89	0.0	6.67	2.44	0	942733	344868	89.0	12584523.0
HI_24hpi_2	15985706.0	249.0	13494098.0	84.41	245.61	9837173.0	9758122.0	9642307.0	131137.0	7344.0	56385.0	1.04	0.04	2.82	0.04	2.17	1432093.0	8.96	25824.0	0.16	0.0	6.19	0.28	0	988956	44735	93.37	14926191.0
HI_24hpi_3	12352371.0	249.0	10456222.0	84.65	245.6	7801958.0	7746477.0	7649432.0	96226.0	7549.0	48751.0	1.04	0.04	2.92	0.04	2.21	1125747.0	9.11	23293.0	0.19	0.0	5.67	0.37	0	701342	45767	93.76	11581969.0
HI_48hpi_1	16031582.0	249.0	13563794.0	84.61	245.54	9561865.0	9485485.0	9370398.0	127876.0	7682.0	55909.0	1.04	0.04	2.93	0.04	2.23	1510410.0	9.42	30196.0	0.19	0.0	5.52	0.27	0	883946	43236	94.03	15074204.0
HI_48hpi_2	12731506.0	249.0	10899869.0	85.61	245.37	8028430.0	7972937.0	7876955.0	98921.0	5928.0	46626.0	1.03	0.04	2.95	0.04	2.24	1078766.0	8.47	15441.0	0.12	0.0	5.47	0.32	0	696674	40756	94.08	11978635.0
HI_48hpi_3	16087157.0	249.0	13426171.0	83.46	246.46	9777156.0	9700237.0	9576468.0	129457.0	7000.0	64231.0	1.02	0.04	2.91	0.04	2.22	1665523.0	10.35	113298.0	0.7	0.0	5.09	0.4	0	817891	64274	93.80999999999999	15091694.0
HI_6hpi_1	17067242.0	249.0	13899401.0	81.44	247.47	11106653.0	11050797.0	10915577.0	123974.0	7483.0	59619.0	0.97	0.04	2.78	0.03	2.17	1741906.0	10.21	117455.0	0.69	0.0	7.38	0.29	0	1259007	49473	91.65	15641307.0
HI_6hpi_2	16351112.0	249.0	14098546.0	86.22	247.48	11138533.0	11085784.0	10947619.0	121847.0	7456.0	61611.0	0.97	0.04	2.78	0.03	2.13	1439752.0	8.81	39551.0	0.24	0.0	4.55	0.18	0	743837	29426	95.03	15538298.0
HI_6hpi_3	13771769.0	249.0	11853310.0	86.07	245.94	9566032.0	9516500.0	9408584.0	106292.0	6311.0	44845.0	0.99	0.04	2.82	0.03	2.25	1088585.0	7.9	27829.0	0.2	0.0	5.62	0.21	0	773155	28890	93.97	12941895.0
STARpass1	15344208.0	249.0	13159063.0	85.76	245.6	9781082.0	8909437.0	9607346.0	126796.0	6377.0	40563.0	1.18	0.05	3.2	0.04	2.36	1171749.0	7.64	4069.0	0.03	0.0	6.53	0.05	0	1001657	7670	93.4	14330812.0
