study	geo_series	biosample	experiment	run	cultivar_genotype	tree_orchard_source	harvest	pooled_material	extraction	library	technical_replicate_relationship	treatment	tissue	time_h	batch	independence_status	eligibility_role	evidence_source
PRJNA1090613	GSE262200	SAMN40570938	SRX24017891	SRR28413512	SFZ_unresolved	unreported	unreported	unreported	one deposited library; independence details unreported	SRX24017891	none reported	mock	leaf	unreported	Illumina NovaSeq 6000	unresolved	exploratory	GEO family SOFT plus ENA run manifest; time/phenotype/source units not reported
PRJNA450886		SAMN10576447	SRX5112224	SRR8297712	Guiwei	Zhanjiang orchard; exact fruit/tree mapping unreported	unreported	unreported	one deposited library; independence details unreported	SRX5112224	none reported	infected	pericarp	24	Illumina HiSeq 2500	biological_replicate_label_source_unit_unresolved	primary_cross_context	ENA BioSample aliases/attributes and Sun et al. 2019 (PMCID PMC6391439)
PRJNA450886		SAMN10576446	SRX5112223	SRR8297713	Guiwei	Zhanjiang orchard; exact fruit/tree mapping unreported	unreported	unreported	one deposited library; independence details unreported	SRX5112223	none reported	infected	pericarp	24	Illumina HiSeq 2500	biological_replicate_label_source_unit_unresolved	primary_cross_context	ENA BioSample aliases/attributes and Sun et al. 2019 (PMCID PMC6391439)
PRJNA450886		SAMN10576448	SRX5112221	SRR8297715	Guiwei	Zhanjiang orchard; exact fruit/tree mapping unreported	unreported	unreported	one deposited library; independence details unreported	SRX5112221	none reported	infected	pericarp	24	Illumina HiSeq 2500	biological_replicate_label_source_unit_unresolved	primary_cross_context	ENA BioSample aliases/attributes and Sun et al. 2019 (PMCID PMC6391439)
PRJNA450886		SAMN10576437	SRX5112236	SRR8297700	Guiwei	Zhanjiang orchard; exact fruit/tree mapping unreported	unreported	unreported	one deposited library; independence details unreported	SRX5112236	none reported	mock	pericarp	24	Illumina HiSeq 2500	biological_replicate_label_source_unit_unresolved	primary_cross_context	ENA BioSample aliases/attributes and Sun et al. 2019 (PMCID PMC6391439)
PRJNA450886		SAMN10576439	SRX5112230	SRR8297706	Guiwei	Zhanjiang orchard; exact fruit/tree mapping unreported	unreported	unreported	one deposited library; independence details unreported	SRX5112230	none reported	mock	pericarp	24	Illumina HiSeq 2500	biological_replicate_label_source_unit_unresolved	primary_cross_context	ENA BioSample aliases/attributes and Sun et al. 2019 (PMCID PMC6391439)
PRJNA450886		SAMN10576438	SRX5112229	SRR8297707	Guiwei	Zhanjiang orchard; exact fruit/tree mapping unreported	unreported	unreported	one deposited library; independence details unreported	SRX5112229	none reported	mock	pericarp	24	Illumina HiSeq 2500	biological_replicate_label_source_unit_unresolved	primary_cross_context	ENA BioSample aliases/attributes and Sun et al. 2019 (PMCID PMC6391439)
PRJNA450886		SAMN10576449	SRX5112222	SRR8297714	Guiwei	Zhanjiang orchard; exact fruit/tree mapping unreported	unreported	unreported	one deposited library; independence details unreported	SRX5112222	none reported	infected	pericarp	48	Illumina HiSeq 2500	biological_replicate_label_source_unit_unresolved	primary_cross_context	ENA BioSample aliases/attributes and Sun et al. 2019 (PMCID PMC6391439)
PRJNA450886		SAMN10576451	SRX5112220	SRR8297716	Guiwei	Zhanjiang orchard; exact fruit/tree mapping unreported	unreported	unreported	one deposited library; independence details unreported	SRX5112220	none reported	infected	pericarp	48	Illumina HiSeq 2500	biological_replicate_label_source_unit_unresolved	primary_cross_context	ENA BioSample aliases/attributes and Sun et al. 2019 (PMCID PMC6391439)
PRJNA450886		SAMN10576450	SRX5112219	SRR8297717	Guiwei	Zhanjiang orchard; exact fruit/tree mapping unreported	unreported	unreported	one deposited library; independence details unreported	SRX5112219	none reported	infected	pericarp	48	Illumina HiSeq 2500	biological_replicate_label_source_unit_unresolved	primary_cross_context	ENA BioSample aliases/attributes and Sun et al. 2019 (PMCID PMC6391439)
PRJNA450886		SAMN10576442	SRX5112237	SRR8297699	Guiwei	Zhanjiang orchard; exact fruit/tree mapping unreported	unreported	unreported	one deposited library; independence details unreported	SRX5112237	none reported	mock	pericarp	48	Illumina HiSeq 2500	biological_replicate_label_source_unit_unresolved	primary_cross_context	ENA BioSample aliases/attributes and Sun et al. 2019 (PMCID PMC6391439)
PRJNA450886		SAMN10576441	SRX5112232	SRR8297704	Guiwei	Zhanjiang orchard; exact fruit/tree mapping unreported	unreported	unreported	one deposited library; independence details unreported	SRX5112232	none reported	mock	pericarp	48	Illumina HiSeq 2500	biological_replicate_label_source_unit_unresolved	primary_cross_context	ENA BioSample aliases/attributes and Sun et al. 2019 (PMCID PMC6391439)
PRJNA450886		SAMN10576440	SRX5112231	SRR8297705	Guiwei	Zhanjiang orchard; exact fruit/tree mapping unreported	unreported	unreported	one deposited library; independence details unreported	SRX5112231	none reported	mock	pericarp	48	Illumina HiSeq 2500	biological_replicate_label_source_unit_unresolved	primary_cross_context	ENA BioSample aliases/attributes and Sun et al. 2019 (PMCID PMC6391439)
PRJNA450886		SAMN10576443	SRX5112238	SRR8297698	Guiwei	Zhanjiang orchard; exact fruit/tree mapping unreported	unreported	unreported	one deposited library; independence details unreported	SRX5112238	none reported	infected	pericarp	6	Illumina HiSeq 2500	biological_replicate_label_source_unit_unresolved	primary_cross_context	ENA BioSample aliases/attributes and Sun et al. 2019 (PMCID PMC6391439)
PRJNA450886		SAMN10576445	SRX5112226	SRR8297710	Guiwei	Zhanjiang orchard; exact fruit/tree mapping unreported	unreported	unreported	one deposited library; independence details unreported	SRX5112226	none reported	infected	pericarp	6	Illumina HiSeq 2500	biological_replicate_label_source_unit_unresolved	primary_cross_context	ENA BioSample aliases/attributes and Sun et al. 2019 (PMCID PMC6391439)
PRJNA450886		SAMN10576444	SRX5112225	SRR8297711	Guiwei	Zhanjiang orchard; exact fruit/tree mapping unreported	unreported	unreported	one deposited library; independence details unreported	SRX5112225	none reported	infected	pericarp	6	Illumina HiSeq 2500	biological_replicate_label_source_unit_unresolved	primary_cross_context	ENA BioSample aliases/attributes and Sun et al. 2019 (PMCID PMC6391439)
PRJNA450886		SAMN10576436	SRX5112235	SRR8297701	Guiwei	Zhanjiang orchard; exact fruit/tree mapping unreported	unreported	unreported	one deposited library; independence details unreported	SRX5112235	none reported	mock	pericarp	6	Illumina HiSeq 2500	biological_replicate_label_source_unit_unresolved	primary_cross_context	ENA BioSample aliases/attributes and Sun et al. 2019 (PMCID PMC6391439)
PRJNA450886		SAMN10576435	SRX5112234	SRR8297702	Guiwei	Zhanjiang orchard; exact fruit/tree mapping unreported	unreported	unreported	one deposited library; independence details unreported	SRX5112234	none reported	mock	pericarp	6	Illumina HiSeq 2500	biological_replicate_label_source_unit_unresolved	primary_cross_context	ENA BioSample aliases/attributes and Sun et al. 2019 (PMCID PMC6391439)
PRJNA450886		SAMN10576434	SRX5112233	SRR8297703	Guiwei	Zhanjiang orchard; exact fruit/tree mapping unreported	unreported	unreported	one deposited library; independence details unreported	SRX5112233	none reported	mock	pericarp	6	Illumina HiSeq 2500	biological_replicate_label_source_unit_unresolved	primary_cross_context	ENA BioSample aliases/attributes and Sun et al. 2019 (PMCID PMC6391439)
PRJNA450886		SAMN10576466	SRX5112217	SRR8297719	Heiye	Zhanjiang orchard; exact fruit/tree mapping unreported	unreported	unreported	one deposited library; independence details unreported	SRX5112217	none reported	infected	pericarp	24	Illumina HiSeq 2500	biological_replicate_label_source_unit_unresolved	primary_cross_context	ENA BioSample aliases/attributes and Sun et al. 2019 (PMCID PMC6391439)
PRJNA450886		SAMN10576465	SRX5112216	SRR8297720	Heiye	Zhanjiang orchard; exact fruit/tree mapping unreported	unreported	unreported	one deposited library; independence details unreported	SRX5112216	none reported	infected	pericarp	24	Illumina HiSeq 2500	biological_replicate_label_source_unit_unresolved	primary_cross_context	ENA BioSample aliases/attributes and Sun et al. 2019 (PMCID PMC6391439)
PRJNA450886		SAMN10576464	SRX5112215	SRR8297721	Heiye	Zhanjiang orchard; exact fruit/tree mapping unreported	unreported	unreported	one deposited library; independence details unreported	SRX5112215	none reported	infected	pericarp	24	Illumina HiSeq 2500	biological_replicate_label_source_unit_unresolved	primary_cross_context	ENA BioSample aliases/attributes and Sun et al. 2019 (PMCID PMC6391439)
PRJNA450886		SAMN10576455	SRX5112205	SRR8297731	Heiye	Zhanjiang orchard; exact fruit/tree mapping unreported	unreported	unreported	one deposited library; independence details unreported	SRX5112205	none reported	mock	pericarp	24	Illumina HiSeq 2500	biological_replicate_label_source_unit_unresolved	primary_cross_context	ENA BioSample aliases/attributes and Sun et al. 2019 (PMCID PMC6391439)
PRJNA450886		SAMN10576456	SRX5112204	SRR8297732	Heiye	Zhanjiang orchard; exact fruit/tree mapping unreported	unreported	unreported	one deposited library; independence details unreported	SRX5112204	none reported	mock	pericarp	24	Illumina HiSeq 2500	biological_replicate_label_source_unit_unresolved	primary_cross_context	ENA BioSample aliases/attributes and Sun et al. 2019 (PMCID PMC6391439)
PRJNA450886		SAMN10576457	SRX5112203	SRR8297733	Heiye	Zhanjiang orchard; exact fruit/tree mapping unreported	unreported	unreported	one deposited library; independence details unreported	SRX5112203	none reported	mock	pericarp	24	Illumina HiSeq 2500	biological_replicate_label_source_unit_unresolved	primary_cross_context	ENA BioSample aliases/attributes and Sun et al. 2019 (PMCID PMC6391439)
PRJNA450886		SAMN10576467	SRX5112218	SRR8297718	Heiye	Zhanjiang orchard; exact fruit/tree mapping unreported	unreported	unreported	one deposited library; independence details unreported	SRX5112218	none reported	infected	pericarp	48	Illumina HiSeq 2500	biological_replicate_label_source_unit_unresolved	primary_cross_context	ENA BioSample aliases/attributes and Sun et al. 2019 (PMCID PMC6391439)
PRJNA450886		SAMN10576469	SRX5112214	SRR8297722	Heiye	Zhanjiang orchard; exact fruit/tree mapping unreported	unreported	unreported	one deposited library; independence details unreported	SRX5112214	none reported	infected	pericarp	48	Illumina HiSeq 2500	biological_replicate_label_source_unit_unresolved	primary_cross_context	ENA BioSample aliases/attributes and Sun et al. 2019 (PMCID PMC6391439)
PRJNA450886		SAMN10576468	SRX5112213	SRR8297723	Heiye	Zhanjiang orchard; exact fruit/tree mapping unreported	unreported	unreported	one deposited library; independence details unreported	SRX5112213	none reported	infected	pericarp	48	Illumina HiSeq 2500	biological_replicate_label_source_unit_unresolved	primary_cross_context	ENA BioSample aliases/attributes and Sun et al. 2019 (PMCID PMC6391439)
PRJNA450886		SAMN10576458	SRX5112210	SRR8297726	Heiye	Zhanjiang orchard; exact fruit/tree mapping unreported	unreported	unreported	one deposited library; independence details unreported	SRX5112210	none reported	mock	pericarp	48	Illumina HiSeq 2500	biological_replicate_label_source_unit_unresolved	primary_cross_context	ENA BioSample aliases/attributes and Sun et al. 2019 (PMCID PMC6391439)
PRJNA450886		SAMN10576459	SRX5112209	SRR8297727	Heiye	Zhanjiang orchard; exact fruit/tree mapping unreported	unreported	unreported	one deposited library; independence details unreported	SRX5112209	none reported	mock	pericarp	48	Illumina HiSeq 2500	biological_replicate_label_source_unit_unresolved	primary_cross_context	ENA BioSample aliases/attributes and Sun et al. 2019 (PMCID PMC6391439)
PRJNA450886		SAMN10576460	SRX5112208	SRR8297728	Heiye	Zhanjiang orchard; exact fruit/tree mapping unreported	unreported	unreported	one deposited library; independence details unreported	SRX5112208	none reported	mock	pericarp	48	Illumina HiSeq 2500	biological_replicate_label_source_unit_unresolved	primary_cross_context	ENA BioSample aliases/attributes and Sun et al. 2019 (PMCID PMC6391439)
PRJNA450886		SAMN10576462	SRX5112212	SRR8297724	Heiye	Zhanjiang orchard; exact fruit/tree mapping unreported	unreported	unreported	one deposited library; independence details unreported	SRX5112212	none reported	infected	pericarp	6	Illumina HiSeq 2500	biological_replicate_label_source_unit_unresolved	primary_cross_context	ENA BioSample aliases/attributes and Sun et al. 2019 (PMCID PMC6391439)
PRJNA450886		SAMN10576463	SRX5112211	SRR8297725	Heiye	Zhanjiang orchard; exact fruit/tree mapping unreported	unreported	unreported	one deposited library; independence details unreported	SRX5112211	none reported	infected	pericarp	6	Illumina HiSeq 2500	biological_replicate_label_source_unit_unresolved	primary_cross_context	ENA BioSample aliases/attributes and Sun et al. 2019 (PMCID PMC6391439)
PRJNA450886		SAMN10576461	SRX5112207	SRR8297729	Heiye	Zhanjiang orchard; exact fruit/tree mapping unreported	unreported	unreported	one deposited library; independence details unreported	SRX5112207	none reported	infected	pericarp	6	Illumina HiSeq 2500	biological_replicate_label_source_unit_unresolved	primary_cross_context	ENA BioSample aliases/attributes and Sun et al. 2019 (PMCID PMC6391439)
PRJNA450886		SAMN10576453	SRX5112228	SRR8297708	Heiye	Zhanjiang orchard; exact fruit/tree mapping unreported	unreported	unreported	one deposited library; independence details unreported	SRX5112228	none reported	mock	pericarp	6	Illumina HiSeq 2500	biological_replicate_label_source_unit_unresolved	primary_cross_context	ENA BioSample aliases/attributes and Sun et al. 2019 (PMCID PMC6391439)
PRJNA450886		SAMN10576452	SRX5112227	SRR8297709	Heiye	Zhanjiang orchard; exact fruit/tree mapping unreported	unreported	unreported	one deposited library; independence details unreported	SRX5112227	none reported	mock	pericarp	6	Illumina HiSeq 2500	biological_replicate_label_source_unit_unresolved	primary_cross_context	ENA BioSample aliases/attributes and Sun et al. 2019 (PMCID PMC6391439)
PRJNA450886		SAMN10576454	SRX5112206	SRR8297730	Heiye	Zhanjiang orchard; exact fruit/tree mapping unreported	unreported	unreported	one deposited library; independence details unreported	SRX5112206	none reported	mock	pericarp	6	Illumina HiSeq 2500	biological_replicate_label_source_unit_unresolved	primary_cross_context	ENA BioSample aliases/attributes and Sun et al. 2019 (PMCID PMC6391439)
PRJNA830488	GSE201243	SAMN27725334	SRX14954402	SRR18856607	Guiwei	unreported	unreported	unreported	one deposited library; independence details unreported	SRX14954402	none reported	infected	leaf	24	Illumina NovaSeq 6000	unresolved_conditional	discovery	GEO family SOFT plus ENA run manifest; source trees/pooling not reported
PRJNA830488	GSE201243	SAMN27725335	SRX14954401	SRR18856608	Guiwei	unreported	unreported	unreported	one deposited library; independence details unreported	SRX14954401	none reported	infected	leaf	24	Illumina NovaSeq 6000	unresolved_conditional	discovery	GEO family SOFT plus ENA run manifest; source trees/pooling not reported
PRJNA830488	GSE201243	SAMN27725336	SRX14954400	SRR18856609	Guiwei	unreported	unreported	unreported	one deposited library; independence details unreported	SRX14954400	none reported	infected	leaf	24	Illumina NovaSeq 6000	unresolved_conditional	discovery	GEO family SOFT plus ENA run manifest; source trees/pooling not reported
PRJNA830488	GSE201243	SAMN27725337	SRX14954411	SRR18856598	Guiwei	unreported	unreported	unreported	one deposited library; independence details unreported	SRX14954411	none reported	mock	leaf	24	Illumina NovaSeq 6000	unresolved_conditional	discovery	GEO family SOFT plus ENA run manifest; source trees/pooling not reported
PRJNA830488	GSE201243	SAMN27725338	SRX14954410	SRR18856599	Guiwei	unreported	unreported	unreported	one deposited library; independence details unreported	SRX14954410	none reported	mock	leaf	24	Illumina NovaSeq 6000	unresolved_conditional	discovery	GEO family SOFT plus ENA run manifest; source trees/pooling not reported
PRJNA830488	GSE201243	SAMN27725339	SRX14954409	SRR18856600	Guiwei	unreported	unreported	unreported	one deposited library; independence details unreported	SRX14954409	none reported	mock	leaf	24	Illumina NovaSeq 6000	unresolved_conditional	discovery	GEO family SOFT plus ENA run manifest; source trees/pooling not reported
PRJNA830488	GSE201243	SAMN27725328	SRX14954408	SRR18856601	Yurong1	unreported	unreported	unreported	one deposited library; independence details unreported	SRX14954408	none reported	infected	leaf	24	Illumina NovaSeq 6000	unresolved_conditional	discovery	GEO family SOFT plus ENA run manifest; source trees/pooling not reported
PRJNA830488	GSE201243	SAMN27725329	SRX14954407	SRR18856602	Yurong1	unreported	unreported	unreported	one deposited library; independence details unreported	SRX14954407	none reported	infected	leaf	24	Illumina NovaSeq 6000	unresolved_conditional	discovery	GEO family SOFT plus ENA run manifest; source trees/pooling not reported
PRJNA830488	GSE201243	SAMN27725330	SRX14954406	SRR18856603	Yurong1	unreported	unreported	unreported	one deposited library; independence details unreported	SRX14954406	none reported	infected	leaf	24	Illumina NovaSeq 6000	unresolved_conditional	discovery	GEO family SOFT plus ENA run manifest; source trees/pooling not reported
PRJNA830488	GSE201243	SAMN27725331	SRX14954405	SRR18856604	Yurong1	unreported	unreported	unreported	one deposited library; independence details unreported	SRX14954405	none reported	mock	leaf	24	Illumina NovaSeq 6000	unresolved_conditional	discovery	GEO family SOFT plus ENA run manifest; source trees/pooling not reported
PRJNA830488	GSE201243	SAMN27725332	SRX14954404	SRR18856605	Yurong1	unreported	unreported	unreported	one deposited library; independence details unreported	SRX14954404	none reported	mock	leaf	24	Illumina NovaSeq 6000	unresolved_conditional	discovery	GEO family SOFT plus ENA run manifest; source trees/pooling not reported
PRJNA830488	GSE201243	SAMN27725333	SRX14954403	SRR18856606	Yurong1	unreported	unreported	unreported	one deposited library; independence details unreported	SRX14954403	none reported	mock	leaf	24	Illumina NovaSeq 6000	unresolved_conditional	discovery	GEO family SOFT plus ENA run manifest; source trees/pooling not reported
PRJNA922965	GSE222650	SAMN32678567	SRX19004384	SRR23050911	Feizixiao	unreported	unreported	unreported	one deposited library; independence details unreported	SRX19004384	none reported	infected	fruit	24	Illumina NovaSeq 6000	three_biological_replicates_reported_pairing_not_explicit	orthogonal_same_cohort	GEO family SOFT and Yin et al. 2023 doi:10.3390/agronomy13071904
PRJNA922965	GSE222650	SAMN32678568	SRX19004383	SRR23050912	Feizixiao	unreported	unreported	unreported	one deposited library; independence details unreported	SRX19004383	none reported	infected	fruit	24	Illumina NovaSeq 6000	three_biological_replicates_reported_pairing_not_explicit	orthogonal_same_cohort	GEO family SOFT and Yin et al. 2023 doi:10.3390/agronomy13071904
PRJNA922965	GSE222650	SAMN32678569	SRX19004382	SRR23050913	Feizixiao	unreported	unreported	unreported	one deposited library; independence details unreported	SRX19004382	none reported	infected	fruit	24	Illumina NovaSeq 6000	three_biological_replicates_reported_pairing_not_explicit	orthogonal_same_cohort	GEO family SOFT and Yin et al. 2023 doi:10.3390/agronomy13071904
PRJNA922965	GSE222650	SAMN32678564	SRX19004387	SRR23050908	Feizixiao	unreported	unreported	unreported	one deposited library; independence details unreported	SRX19004387	none reported	mock	fruit	24	Illumina NovaSeq 6000	three_biological_replicates_reported_pairing_not_explicit	orthogonal_same_cohort	GEO family SOFT and Yin et al. 2023 doi:10.3390/agronomy13071904
PRJNA922965	GSE222650	SAMN32678565	SRX19004386	SRR23050909	Feizixiao	unreported	unreported	unreported	one deposited library; independence details unreported	SRX19004386	none reported	mock	fruit	24	Illumina NovaSeq 6000	three_biological_replicates_reported_pairing_not_explicit	orthogonal_same_cohort	GEO family SOFT and Yin et al. 2023 doi:10.3390/agronomy13071904
PRJNA922965	GSE222650	SAMN32678566	SRX19004385	SRR23050910	Feizixiao	unreported	unreported	unreported	one deposited library; independence details unreported	SRX19004385	none reported	mock	fruit	24	Illumina NovaSeq 6000	three_biological_replicates_reported_pairing_not_explicit	orthogonal_same_cohort	GEO family SOFT and Yin et al. 2023 doi:10.3390/agronomy13071904
PRJNA922965	GSE222650	SAMN32678573	SRX19004378	SRR23050917	Feizixiao	unreported	unreported	unreported	one deposited library; independence details unreported	SRX19004378	none reported	infected	leaf	24	Illumina NovaSeq 6000	three_biological_replicates_reported_pairing_not_explicit	orthogonal_same_cohort	GEO family SOFT and Yin et al. 2023 doi:10.3390/agronomy13071904
PRJNA922965	GSE222650	SAMN32678574	SRX19004377	SRR23050918	Feizixiao	unreported	unreported	unreported	one deposited library; independence details unreported	SRX19004377	none reported	infected	leaf	24	Illumina NovaSeq 6000	three_biological_replicates_reported_pairing_not_explicit	orthogonal_same_cohort	GEO family SOFT and Yin et al. 2023 doi:10.3390/agronomy13071904
PRJNA922965	GSE222650	SAMN32678575	SRX19004376	SRR23050919	Feizixiao	unreported	unreported	unreported	one deposited library; independence details unreported	SRX19004376	none reported	infected	leaf	24	Illumina NovaSeq 6000	three_biological_replicates_reported_pairing_not_explicit	orthogonal_same_cohort	GEO family SOFT and Yin et al. 2023 doi:10.3390/agronomy13071904
PRJNA922965	GSE222650	SAMN32678570	SRX19004381	SRR23050914	Feizixiao	unreported	unreported	unreported	one deposited library; independence details unreported	SRX19004381	none reported	mock	leaf	24	Illumina NovaSeq 6000	three_biological_replicates_reported_pairing_not_explicit	orthogonal_same_cohort	GEO family SOFT and Yin et al. 2023 doi:10.3390/agronomy13071904
PRJNA922965	GSE222650	SAMN32678571	SRX19004380	SRR23050915	Feizixiao	unreported	unreported	unreported	one deposited library; independence details unreported	SRX19004380	none reported	mock	leaf	24	Illumina NovaSeq 6000	three_biological_replicates_reported_pairing_not_explicit	orthogonal_same_cohort	GEO family SOFT and Yin et al. 2023 doi:10.3390/agronomy13071904
PRJNA922965	GSE222650	SAMN32678572	SRX19004379	SRR23050916	Feizixiao	unreported	unreported	unreported	one deposited library; independence details unreported	SRX19004379	none reported	mock	leaf	24	Illumina NovaSeq 6000	three_biological_replicates_reported_pairing_not_explicit	orthogonal_same_cohort	GEO family SOFT and Yin et al. 2023 doi:10.3390/agronomy13071904
PRJNA922966	GSE222651	SAMN32678585	SRX19004415	SRR23050942	Feizixiao	unreported	unreported	unreported	one deposited library; independence details unreported	SRX19004415	none reported	infected	fruit	24	Illumina NovaSeq 6000	three_biological_replicates_reported	generic_infection_transfer	GEO family SOFT and Yin et al. 2023 doi:10.3390/agronomy13071904
PRJNA922966	GSE222651	SAMN32678586	SRX19004414	SRR23050943	Feizixiao	unreported	unreported	unreported	one deposited library; independence details unreported	SRX19004414	none reported	infected	fruit	24	Illumina NovaSeq 6000	three_biological_replicates_reported	generic_infection_transfer	GEO family SOFT and Yin et al. 2023 doi:10.3390/agronomy13071904
PRJNA922966	GSE222651	SAMN32678587	SRX19004413	SRR23050944	Feizixiao	unreported	unreported	unreported	one deposited library; independence details unreported	SRX19004413	none reported	infected	fruit	24	Illumina NovaSeq 6000	three_biological_replicates_reported	generic_infection_transfer	GEO family SOFT and Yin et al. 2023 doi:10.3390/agronomy13071904
PRJNA922966	GSE222651	SAMN32678582	SRX19004418	SRR23050939	Feizixiao	unreported	unreported	unreported	one deposited library; independence details unreported	SRX19004418	none reported	mock	fruit	24	Illumina NovaSeq 6000	three_biological_replicates_reported	generic_infection_transfer	GEO family SOFT and Yin et al. 2023 doi:10.3390/agronomy13071904
PRJNA922966	GSE222651	SAMN32678583	SRX19004417	SRR23050940	Feizixiao	unreported	unreported	unreported	one deposited library; independence details unreported	SRX19004417	none reported	mock	fruit	24	Illumina NovaSeq 6000	three_biological_replicates_reported	generic_infection_transfer	GEO family SOFT and Yin et al. 2023 doi:10.3390/agronomy13071904
PRJNA922966	GSE222651	SAMN32678584	SRX19004416	SRR23050941	Feizixiao	unreported	unreported	unreported	one deposited library; independence details unreported	SRX19004416	none reported	mock	fruit	24	Illumina NovaSeq 6000	three_biological_replicates_reported	generic_infection_transfer	GEO family SOFT and Yin et al. 2023 doi:10.3390/agronomy13071904
PRJNA922966	GSE222651	SAMN32678591	SRX19004409	SRR23050948	Feizixiao	unreported	unreported	unreported	one deposited library; independence details unreported	SRX19004409	none reported	infected	leaf	24	Illumina NovaSeq 6000	three_biological_replicates_reported	generic_infection_transfer	GEO family SOFT and Yin et al. 2023 doi:10.3390/agronomy13071904
PRJNA922966	GSE222651	SAMN32678592	SRX19004408	SRR23050949	Feizixiao	unreported	unreported	unreported	one deposited library; independence details unreported	SRX19004408	none reported	infected	leaf	24	Illumina NovaSeq 6000	three_biological_replicates_reported	generic_infection_transfer	GEO family SOFT and Yin et al. 2023 doi:10.3390/agronomy13071904
PRJNA922966	GSE222651	SAMN32678593	SRX19004407	SRR23050950	Feizixiao	unreported	unreported	unreported	one deposited library; independence details unreported	SRX19004407	none reported	infected	leaf	24	Illumina NovaSeq 6000	three_biological_replicates_reported	generic_infection_transfer	GEO family SOFT and Yin et al. 2023 doi:10.3390/agronomy13071904
PRJNA922966	GSE222651	SAMN32678588	SRX19004412	SRR23050945	Feizixiao	unreported	unreported	unreported	one deposited library; independence details unreported	SRX19004412	none reported	mock	leaf	24	Illumina NovaSeq 6000	three_biological_replicates_reported	generic_infection_transfer	GEO family SOFT and Yin et al. 2023 doi:10.3390/agronomy13071904
