gene_id	baseMean	external_log2fc	external_lfc_se	external_signed_stat	external_p	genomewide_q	contrast	estimand
LITCHI031342	38.7232691732717	0.409641135840408	0.406697878054972	1.0072369637125	0.313820913935317	0.440410739600565	exploratory_interaction	unstandardized unresolved-SFZ-group-minus-Guiwei infection interaction
LITCHI014108	13.4303929852607	0.734841822872926	0.729622389643648	1.00715360891245	0.313860962533517	0.440433541494103	exploratory_interaction	unstandardized unresolved-SFZ-group-minus-Guiwei infection interaction
LITCHI001961	180.662177994202	-0.18778711640632	0.186492694613402	-1.00694087130652	0.313963189559479	0.440510271797822	exploratory_interaction	unstandardized unresolved-SFZ-group-minus-Guiwei infection interaction
LITCHI007160	429.024145388978	-0.147437065727645	0.146426044007052	-1.00690465775709	0.313980593475911	0.440510271797822	exploratory_interaction	unstandardized unresolved-SFZ-group-minus-Guiwei infection interaction
LITCHI000437	18.337012941347	1.31760463098652	1.30858688458705	1.00689120952203	0.313987056742138	0.440510271797822	exploratory_interaction	unstandardized unresolved-SFZ-group-minus-Guiwei infection interaction
LITCHI003873	4.1873006884813	-1.88146468001905	1.86893356841694	-1.00670495292817	0.314076581276898	0.440590753126497	exploratory_interaction	unstandardized unresolved-SFZ-group-minus-Guiwei infection interaction
LITCHI000119	23.7827845726519	-0.516081138719509	0.512660263027375	-1.0066727927613	0.31409204081301	0.440590753126497	exploratory_interaction	unstandardized unresolved-SFZ-group-minus-Guiwei infection interaction
LITCHI012623	6.22870219579626	1.03918663905572	1.03295907784255	1.00602885568921	0.314401689585763	0.440991682391007	exploratory_interaction	unstandardized unresolved-SFZ-group-minus-Guiwei infection interaction
LITCHI019554	43.4551690647284	0.396804490513561	0.394538985396433	1.00574215781199	0.314539617996772	0.441151707672447	exploratory_interaction	unstandardized unresolved-SFZ-group-minus-Guiwei infection interaction
LITCHI001795	180.622268610089	0.300640950132602	0.299015424796097	1.00543625914152	0.314686827641314	0.441324724933878	exploratory_interaction	unstandardized unresolved-SFZ-group-minus-Guiwei infection interaction
LITCHI006752	124.582198664229	-0.220270885994729	0.219098169146821	-1.00535247214742	0.314727156912038	0.441347835606036	exploratory_interaction	unstandardized unresolved-SFZ-group-minus-Guiwei infection interaction
LITCHI022267	124.131874576248	0.219610174098129	0.218469186654329	1.00522264700699	0.314789652476148	0.441402024632199	exploratory_interaction	unstandardized unresolved-SFZ-group-minus-Guiwei infection interaction
LITCHI009028	7.56870040359901	0.882593273638768	0.878066119136794	1.00515582414958	0.314821823016779	0.441413686537771	exploratory_interaction	unstandardized unresolved-SFZ-group-minus-Guiwei infection interaction
LITCHI021926	102.797362426749	-0.234961788044318	0.233905917844611	-1.00451408074424	0.315130887689038	0.441813552290753	exploratory_interaction	unstandardized unresolved-SFZ-group-minus-Guiwei infection interaction
LITCHI031469	42.4825269362495	-0.499474950614548	0.497357988525983	-1.00425641517258	0.315255035923946	0.441947600068735	exploratory_interaction	unstandardized unresolved-SFZ-group-minus-Guiwei infection interaction
LITCHI017901	231.384260033126	0.156381392576036	0.155724777119513	1.00421651241805	0.315274264712639	0.441947600068735	exploratory_interaction	unstandardized unresolved-SFZ-group-minus-Guiwei infection interaction
