gene_id	baseMean	lrt_model_log2fc	lrt_lfc_se	stat	lrt_p	lrt_q
LITCHI014317	2341.26749251755	-0.533886892599862	0.280436881261091	3.61949938213024	0.0571060545992771	0.35473472035167
LITCHI014318	1295.08811885965	-1.25795725197204	0.407466971269656	9.45958395734763	0.0021004870854003	0.0831852777507308
LITCHI014319	401.615783454105	0.490815569864194	0.283922334571951	2.98513896939008	0.0840320737179856	0.414487405379056
LITCHI014320	1118.35922991898	0.179637216728887	0.187074768875053	0.921846621467608	0.336990576475876	0.700044820340566
LITCHI014323	666.331063203217	0.456044747398391	0.182119276638689	6.26630088502091	0.0123055784458277	0.190976148085104
LITCHI014326	48.2629435882918	-0.237990517308374	0.567517614497127	0.175621195746359	0.675163640063909	0.89279544243745
LITCHI014327	787.339682665182	-0.75270949867154	0.232412866737251	10.4644678513608	0.00121692597658921	0.0653677503170641
LITCHI014328	1639.90009346784	-0.190752416724142	0.414449383009835	0.211779285723281	0.645376378329676	0.878313527199087
LITCHI014329	133.903044851202	0.109160154857782	0.535657868265991	0.0415100924564626	0.838556481161712	0.952822041703542
LITCHI014330	658.770578344498	-0.0709904297486948	0.413237410645181	0.0295070841210929	0.863613428436641	0.959542500177258
LITCHI014332	45.3619899907581	-1.25119149267543	0.76060917107794	2.69250098764715	0.100821453514652	0.442627145491645
LITCHI014333	3209.2965421341	-0.751902849227666	0.284862128834049	6.94877348724239	0.00838767200564166	0.162985520649158
LITCHI014335	1583.63188529038	0.0252006118134334	0.202414012096504	0.015501746170429	0.900914643247312	0.97054211844565
LITCHI014336	915.096640123576	0.0215420411356972	0.234705924424834	0.00842307460044367	0.926874972091534	0.978133280816232
LITCHI014338	187.761707868365	0.327577437330294	0.307596335511614	1.13446855501337	0.286824191239991	0.662767187376346
LITCHI014339	478.516456405335	0.580630353586694	0.265108375357412	4.78958210532824	0.0286323724917746	0.267800136172466
LITCHI014341	1095.21635035135	-0.140087940663702	0.192966483754568	0.527026759779034	0.46785956061705	0.787148921476633
LITCHI014342	9.38450618092573	0.271826697728252	1.17072125215001	0.0537971761518463	0.816582920638385	0.945700648982723
LITCHI014343	9.01373864009688	-0.268063995880268	1.11608339342154	0.0577963844809801	0.810013367513865	0.944626960016019
LITCHI014344	73.7091921024419	-0.201474480919302	0.416726269884313	0.233682226452814	0.628806853200272	0.869879863818618
LITCHI014345	3089.0379856783	-0.53985996688932	0.314342869824993	2.9453807448254	0.0861234014020568	0.418458155987755
LITCHI014346	1388.63213518104	-0.0779796709219881	0.184594537252433	0.17843514767722	0.672721513099867	0.891246432306617
LITCHI014347	462.402631426403	-0.031423814635917	0.192335930963761	0.0266979085124177	0.870207481595227	0.961321695240268
LITCHI014348	587.924798066914	0.19684425009054	0.3217264224025	0.374284551639704	0.540678033047622	0.828761618851915
LITCHI014349	70.5914613690706	-0.0925850919527139	0.423017247617004	0.0479700660150115	0.826633924750725	0.948900017189594
LITCHI014352	368.257828031823	-0.21874492589231	0.217233116479765	1.01383938093315	0.313984795910803	0.683326355563656
LITCHI014355	28.6147947405681	0.774703577769494	0.543348148480038	2.03859827268232	0.153350901593278	0.519783899886271
LITCHI014356	160.334984191298	-0.533947067853851	0.463433040343485	1.32544933356964	0.249616402393727	0.628270049054532
LITCHI014359	17.5231543157601	-1.66432453568791	1.40258498705543	1.39871843431094	0.236938264370899	0.616141722848248
LITCHI014360	15.7068955586609	-1.36006899147746	1.83159836545264	0.713771933733682	0.398194458052857	0.743588747182921
LITCHI014361	127.285775253953	-0.0954347792731201	0.31605941420026	0.0911076398016775	0.762773715532826	0.925923472462889
LITCHI014362	949.866290073175	-0.168417050672903	0.150639509010911	1.24966253734289	0.263616940605421	0.644025670525819
LITCHI014363	800.571664662633	-0.117494280199859	0.280587002469017	0.1753554940328	0.675395418755688	0.892892689128392
LITCHI014364	7432.25089866142	-0.618701925194437	0.271415699368693	5.18660947925937	0.0227615809806469	0.243656454819358
LITCHI014365	695.547093946288	0.701060412122572	0.308875261230349	5.14057920761746	0.0233728489745092	0.246458833655832
LITCHI014369	407.253382532713	0.988545419122575	0.33559389399442	8.64321017726547	0.00328282480156371	0.105267245510205
LITCHI014370	1705.50626079495	0.270076244294754	0.349145932397387	0.598109826066235	0.43930012318318	0.771255969467328
LITCHI014372	823.636686131215	0.085182380700672	0.147662517777559	0.332762624945218	0.564036864768375	0.840553238166725
LITCHI014373	17.7178359520416	0.320710857238889	0.832200983873944	0.148350770864141	0.700116429011913	0.901715174177401
LITCHI014374	599.342900115993	-0.194074532853735	0.2084042629761	0.867123174741806	0.351752968540217	0.71055853659511
LITCHI014375	5.72617687064602	-2.20947429657645	1.52687368539253	2.15160986054855	0.142420487555284	0.506249036553916
LITCHI014376	4558.67948767212	-0.29722138704411	0.265258065587251	1.25503735856321	0.262592545507853	0.643411296295389
LITCHI014378	8.29521956922307	-0.421645184285956	1.39996750203622	0.0905597091233972	0.763466803700472	0.926172063008027
LITCHI014379	6.72004264240565	1.66725635127711	1.54883402818857	1.15849169643674	0.281778569063343	0.658714147083036
LITCHI014382	468.287354975519	0.886113500777881	0.312912752791562	7.99673781604272	0.00468617015648836	0.123021144169966
