gene_id	baseMean	interaction_log2fc	interaction_lfc_se	stat	interaction_p	interaction_q	signed_wald_stat	shrunken_interaction_log2fc	statistical_discovery	mappability_status	unique_gene_model_status	primary_gene_status
LITCHI016917	40.4093927044748	-1.59509565553956	0.442896990492299	-3.60150484149045	0.000316380529638734	0.0309146703458552	-3.60150484149045	-1.3049535085866	TRUE	PENDING_UNIFORM_GENE_QC	PENDING_UNIFORM_GENE_QC	NOT_FROZEN_UNTIL_MAPPING_QC
LITCHI023464	35.0340798504485	2.36454357605204	0.658049817582718	3.59325922274086	0.000326567413639335	0.0316462326146919	3.59325922274086	1.91858731339046	TRUE	PENDING_UNIFORM_GENE_QC	PENDING_UNIFORM_GENE_QC	NOT_FROZEN_UNTIL_MAPPING_QC
LITCHI021860	705.595174021752	-0.652689384570268	0.181692799643345	-3.59226885078258	0.000327811390023173	0.0316462326146919	-3.59226885078258	-0.551157294595915	TRUE	PENDING_UNIFORM_GENE_QC	PENDING_UNIFORM_GENE_QC	NOT_FROZEN_UNTIL_MAPPING_QC
LITCHI022789	777.976011321955	1.27403475292407	0.354733732420447	3.59152411086189	0.000328749755112767	0.0316462326146919	3.59152411086189	1.04150887437886	TRUE	PENDING_UNIFORM_GENE_QC	PENDING_UNIFORM_GENE_QC	NOT_FROZEN_UNTIL_MAPPING_QC
LITCHI010765	23.9874767801915	-3.42056372242776	0.952781669159028	-3.59008137241654	0.000330574747469641	0.0316651525347151	-3.59008137241654	-2.78963585894648	TRUE	PENDING_UNIFORM_GENE_QC	PENDING_UNIFORM_GENE_QC	NOT_FROZEN_UNTIL_MAPPING_QC
LITCHI030869	59.1460308232286	-2.96746007383302	0.828056767244218	-3.58364328536165	0.000338834752447406	0.0322882142056094	-3.58364328536165	-0.175056964375384	TRUE	PENDING_UNIFORM_GENE_QC	PENDING_UNIFORM_GENE_QC	NOT_FROZEN_UNTIL_MAPPING_QC
LITCHI030763	355.448714413274	0.76963037086022	0.214834149704629	3.5824396257223	0.000340400304044738	0.0322882142056094	3.5824396257223	0.642551953238306	TRUE	PENDING_UNIFORM_GENE_QC	PENDING_UNIFORM_GENE_QC	NOT_FROZEN_UNTIL_MAPPING_QC
LITCHI001700	426.451000134962	3.7029482582072	1.0359040812182	3.57460533783458	0.000350756578092924	0.0331090371894025	3.57460533783458	0.103799437566278	TRUE	PENDING_UNIFORM_GENE_QC	PENDING_UNIFORM_GENE_QC	NOT_FROZEN_UNTIL_MAPPING_QC
LITCHI001279	6676.36280374994	0.876927977651797	0.245581350190493	3.57082480803848	0.000355858863679009	0.0334283845615378	3.57082480803848	0.725823238730843	TRUE	PENDING_UNIFORM_GENE_QC	PENDING_UNIFORM_GENE_QC	NOT_FROZEN_UNTIL_MAPPING_QC
LITCHI019913	874.444941718786	0.713260301753304	0.199840635852622	3.56914547789629	0.000358147516450227	0.0334816271989166	3.56914547789629	0.599965304811307	TRUE	PENDING_UNIFORM_GENE_QC	PENDING_UNIFORM_GENE_QC	NOT_FROZEN_UNTIL_MAPPING_QC
LITCHI011966	32.4660327170013	-2.09746201509663	0.588444218530987	-3.56441944545365	0.000364662419401153	0.0339108577941059	-3.56441944545365	-1.69889377283231	TRUE	PENDING_UNIFORM_GENE_QC	PENDING_UNIFORM_GENE_QC	NOT_FROZEN_UNTIL_MAPPING_QC
LITCHI003665	409.567950407638	0.813591309320461	0.228408988888036	3.56199339299766	0.000368049648575432	0.0339181299362525	3.56199339299766	0.675491271363448	TRUE	PENDING_UNIFORM_GENE_QC	PENDING_UNIFORM_GENE_QC	NOT_FROZEN_UNTIL_MAPPING_QC
LITCHI006481	322.060424064223	1.08203171495676	0.304068627279166	3.5585115262922	0.000372962426720412	0.0339229289462483	3.5585115262922	0.887601315242877	TRUE	PENDING_UNIFORM_GENE_QC	PENDING_UNIFORM_GENE_QC	NOT_FROZEN_UNTIL_MAPPING_QC
