Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
GW_P3_R1	(1.0, 22.37428619578471)	(2.0, 15.55813797209287)	(3.0, 10.425269455752733)	(4.0, 6.880779032538707)	(5.0, 4.902768828303353)	(6.0, 3.5358100749358643)	(7.0, 2.7053441537001586)	(8.0, 2.203553749714245)	(9.0, 1.7860841983739832)	('>10', 16.090034793484183)	('>50', 3.7402019759686005)	('>100', 5.803903376446002)	('>500', 1.64825139473345)	('>1k', 1.7201202911585314)	('>5k', 0.4623065889442256)	('>10k+', 0.16314791806837275)
GW_P3_R2	(1.0, 24.249713922769814)	(2.0, 15.344974478716694)	(3.0, 10.083155640691825)	(4.0, 6.825271847986484)	(5.0, 4.762131149070794)	(6.0, 3.4746961091416275)	(7.0, 2.653100492471814)	(8.0, 2.186898570227585)	(9.0, 1.8329688364924257)	('>10', 15.553390048409538)	('>50', 3.5938408915373934)	('>100', 5.623068176675664)	('>500', 1.5774590611932846)	('>1k', 1.6341149587890327)	('>5k', 0.4406926379344029)	('>10k+', 0.16452317789175586)
YR_M1_R1	(1.0, 23.63623153485362)	(2.0, 16.26186985517639)	(3.0, 10.913516027734234)	(4.0, 7.411605842449541)	(5.0, 5.007166927821714)	(6.0, 3.546466172422887)	(7.0, 2.8080191000794184)	(8.0, 2.2234884079561805)	(9.0, 1.7809373794443195)	('>10', 15.856198743729443)	('>50', 3.2300725799790166)	('>100', 4.4317951711079715)	('>500', 1.1162838608095964)	('>1k', 1.2776459344151851)	('>5k', 0.3213033275206651)	('>10k+', 0.17739913449982667)
YR_M1_R2	(1.0, 25.3456911609933)	(2.0, 15.95360315323206)	(3.0, 10.823746866805843)	(4.0, 7.010981389283483)	(5.0, 4.985387868290514)	(6.0, 3.6821544418566736)	(7.0, 2.819657459288999)	(8.0, 2.156781959672231)	(9.0, 1.8184493342776533)	('>10', 15.309184770678117)	('>50', 3.0746743434835935)	('>100', 4.239776525147092)	('>500', 0.9985056603084754)	('>1k', 1.3009128760076778)	('>5k', 0.30325104323805774)	('>10k+', 0.17724114743603858)
YR_M2_R1	(1.0, 24.031454310337967)	(2.0, 16.46774176402383)	(3.0, 10.928529206622537)	(4.0, 7.294623347265413)	(5.0, 5.043168094614655)	(6.0, 3.6467999956613464)	(7.0, 2.7442624406144693)	(8.0, 2.2362142086367505)	(9.0, 1.7154486534719053)	('>10', 15.963236277913332)	('>50', 3.190640063313458)	('>100', 4.31873619627141)	('>500', 0.9915442754493627)	('>1k', 1.0535679173571126)	('>5k', 0.2310841175760068)	('>10k+', 0.14294913087059638)
YR_M2_R2	(1.0, 25.834239789006396)	(2.0, 16.191428811937335)	(3.0, 10.622009873536054)	(4.0, 6.999572380498574)	(5.0, 4.86135368144635)	(6.0, 3.5809347969822216)	(7.0, 2.669408484338592)	(8.0, 2.1060123036188156)	(9.0, 1.8127025782780823)	('>10', 15.691968077262402)	('>50', 3.1595845124210378)	('>100', 4.170042567867391)	('>500', 0.9289083007511889)	('>1k', 1.017555598264313)	('>5k', 0.20864727685908227)	('>10k+', 0.14563096693208413)
YR_M3_R1	(1.0, 23.665332789212954)	(2.0, 16.409542759405095)	(3.0, 10.85348170506888)	(4.0, 7.373940751861389)	(5.0, 5.085934523599519)	(6.0, 3.6774607179835868)	(7.0, 2.767446237015687)	(8.0, 2.2643387357595874)	(9.0, 1.8439752791489992)	('>10', 16.18012309008909)	('>50', 3.229502406440856)	('>100', 4.26528878409643)	('>500', 0.9522108164834524)	('>1k', 1.0904824234150834)	('>5k', 0.25203081869032584)	('>10k+', 0.08890816172883506)
YR_M3_R2	(1.0, 25.11468352803654)	(2.0, 16.150062660681275)	(3.0, 10.725639032812984)	(4.0, 7.186657301097747)	(5.0, 5.032124405135085)	(6.0, 3.6399696472914536)	(7.0, 2.7569392283874348)	(8.0, 2.17964403929827)	(9.0, 1.7814253394701725)	('>10', 15.783591622957927)	('>50', 3.206426861981641)	('>100', 4.132674615813552)	('>500', 0.9284588567277041)	('>1k', 1.0327560296510225)	('>5k', 0.26125822273428984)	('>10k+', 0.08768860792299603)
YR_P1_R1	(1.0, 23.757008543363202)	(2.0, 16.67432711704467)	(3.0, 11.231721119943284)	(4.0, 7.521267756139623)	(5.0, 5.107761338989306)	(6.0, 3.6775380704489784)	(7.0, 2.8110945496112323)	(8.0, 2.227923283598299)	(9.0, 1.8641184117805336)	('>10', 15.490527099384565)	('>50', 3.0338850099252133)	('>100', 4.365996676018403)	('>500', 1.1237414672920636)	('>1k', 1.0159944276517263)	('>5k', 0.03185567303076139)	('>10k+', 0.06523945577820141)
YR_P1_R2	(1.0, 24.81594719500951)	(2.0, 16.356602011312596)	(3.0, 11.195080299238313)	(4.0, 7.443294614558125)	(5.0, 5.127297653736351)	(6.0, 3.6437104326131293)	(7.0, 2.764031153109843)	(8.0, 2.2413675588484687)	(9.0, 1.872096939328926)	('>10', 15.063364234529203)	('>50', 3.0404181806650596)	('>100', 4.305787089876837)	('>500', 1.0388194684700165)	('>1k', 0.9957076874217051)	('>5k', 0.03148582214508944)	('>10k+', 0.06498965913667852)
YR_P2_R1	(1.0, 22.87708462435917)	(2.0, 16.055250514315944)	(3.0, 10.869258014636396)	(4.0, 7.3581065666033885)	(5.0, 5.057302322629948)	(6.0, 3.628450046356541)	(7.0, 2.831006279459852)	(8.0, 2.1604477306984093)	(9.0, 1.734100682244781)	('>10', 15.933224251547257)	('>50', 3.1773211227916804)	('>100', 4.875046038390302)	('>500', 1.3316997692850474)	('>1k', 1.606881339747808)	('>5k', 0.28043923191012454)	('>10k+', 0.22438146502328188)
YR_P2_R2	(1.0, 24.199373190900225)	(2.0, 15.879424879939547)	(3.0, 10.71362913808946)	(4.0, 6.967201531422338)	(5.0, 4.9870899574692515)	(6.0, 3.6147858756304836)	(7.0, 2.7128044491300862)	(8.0, 2.176161894216863)	(9.0, 1.7764296757670888)	('>10', 15.844087850058704)	('>50', 3.1100483186566943)	('>100', 4.653968022258638)	('>500', 1.3199438649374817)	('>1k', 1.563480082548669)	('>5k', 0.25637859353540254)	('>10k+', 0.22519267543907023)
YR_P3_R1	(1.0, 23.79695222465293)	(2.0, 15.997849935853203)	(3.0, 10.663055787075699)	(4.0, 7.130433738878278)	(5.0, 4.996666486635206)	(6.0, 3.6019932430660533)	(7.0, 2.7905783715005557)	(8.0, 2.1290122196406096)	(9.0, 1.7670460124348437)	('>10', 16.041053291016613)	('>50', 3.4437803715458633)	('>100', 4.823594280880854)	('>500', 1.1219478336398188)	('>1k', 1.284511766835777)	('>5k', 0.24155593169306802)	('>10k+', 0.1699685046505674)
YR_P3_R2	(1.0, 24.707099588232808)	(2.0, 15.877489563710462)	(3.0, 10.761615722660018)	(4.0, 7.1324156695816905)	(5.0, 4.8187264447453915)	(6.0, 3.695353777670719)	(7.0, 2.626300062149025)	(8.0, 2.1221650480849847)	(9.0, 1.7171725751122464)	('>10', 15.760175140621588)	('>50', 3.357790627940234)	('>100', 4.690138394585787)	('>500', 1.0925235668966558)	('>1k', 1.1943342823159275)	('>5k', 0.28001028393099714)	('>10k+', 0.16668925176145455)
