window_bp	replicate	matrix_id	motif_name	ame_p	ame_q	ame_odds_ratio	candidate_hits	candidate_total	background_hits	background_total	ame_replicate_pass
1000	1	MA0110.4	ATHB-5	1.26e-2	0.995	1.797809219534459	175	206	156	206	False
1000	1	MA0577.4	SPL3	1.80e-2	0.995	1.548658172946598	98	206	76	206	False
1000	1	MA2343.1	MYB3R3	1.34e-2	0.995	1.5918881118881119	135	206	112	206	False
1000	1	MA0564.2	ABI3	1.40e-2	0.996	2.396652393927598	23	206	10	206	False
1000	1	MA2755.1	hsftf24	3.05e-2	0.996	11.272952853598015	5	206	0	206	False
1000	1	MA0570.3	ABF1	2.03e-2	0.996	1.5507586075829083	86	206	65	206	False
1000	1	MA1734.1	AT1G19040	8.60e-2	0.996	2.404580152671756	10	206	4	206	False
1000	1	MA2028.2	MYB49	1.49e-2	0.997	1.6856291143957272	61	206	41	206	False
1000	1	MA2479.1	TCX5	1.48e-2	0.998	2.5669452767702254	198	206	186	206	False
1000	1	MA0987.2	PHYPADRAFT_140773	1.49e-2	0.998	2.8485894053176377	200	206	189	206	False
1000	1	MA2381.1	e_gw1.170.52.1	1.49e-2	0.998	2.8485894053176377	200	206	189	206	False
1000	1	MA2380.1	DOF4.7	1.51e-2	0.998	13.389027431421447	6	206	0	206	False
1000	1	MA1030.2	P0510F09.23	1.51e-2	0.998	13.389027431421447	6	206	0	206	False
1000	1	MA2378.1	CRF3	1.51e-2	0.998	13.389027431421447	6	206	0	206	False
1000	1	MA2080.1	PK20225.1	1.51e-2	0.998	13.389027431421447	6	206	0	206	False
1000	1	MA2610.1	ereb97	5.00e-1	0.998	1.228287841191067	5	206	4	206	False
1000	1	MA1832.2	Zm00001d002364	5.00e-1	0.998	1.228287841191067	5	206	4	206	False
1000	1	MA1818.1	Zm00001d052229	5.00e-1	0.998	1.228287841191067	5	206	4	206	False
1000	1	MA1430.2	TB1	6.75e-2	0.999	1.4456233421750664	57	206	43	206	False
1000	1	MA1736.2	AT5G04390	1.65e-2	0.999	1.9088289771557934	37	206	21	206	False
1000	1	MA1042.1	MYB59	1.66e-2	0.999	2.1196754563894524	28	206	14	206	False
1000	1	MA1408.2	FaEOBII	1.66e-2	0.999	2.1196754563894524	28	206	14	206	False
1000	1	MA1197.2	CAMTA1	5.67e-2	0.999	1.7289315726290517	28	206	17	206	False
1000	1	MA1361.2	bHLH18	6.16e-2	0.999	9.177777777777777	4	206	0	206	False
1000	1	MA1055.3	SPL1	2.01e-2	0.999	1.5546942291128338	85	206	64	206	False
1000	1	MA1776.3	MYB67	1.77e-2	0.999	1.9673650595840797	33	206	18	206	False
1000	1	MA1160.2	IDD6	3.32e-2	0.999	2.2919332189109065	18	206	8	206	False
1000	1	MA1749.1	E2FC	2.49e-1	0.999	5.048899755501222	2	206	0	206	False
1000	1	MA2482.1	PK27693.1	1.74e-2	0.999	1.5941162401339393	77	206	56	206	False
1000	1	MA2639.1	FUL::SOC1	1.78e-2	0.999	1.7325632833620055	50	206	32	206	False
1000	1	MA1066.1	TCP23	2.94e-2	0.999	1.6592028660994178	47	206	31	206	False
1000	1	MA1743.2	BZIP2	1.41e-1	0.999	1.4525517524082805	28	206	20	206	False
1000	1	MA2090.1	PK26523.1	1.79e-2	0.999	4.370992366412214	204	206	196	206	False
1000	1	MA1424.2	ERF019	6.09e-2	0.999	4.44139650872818	6	206	1	206	False
1000	1	MA1829.2	Zm00001d035604	1.85e-2	1.0	5.866498740554156	8	206	1	206	False
1000	1	MA1044.2	NAC92	1.91e-2	1.0	1.8414099714194982	39	206	23	206	False
1000	1	MA1251.2	RAP2-9	7.86e-2	1.0	2.152057245080501	13	206	6	206	False
1000	1	MA1755.2	GATA4	1.95e-2	1.0	1.563174089068826	83	206	62	206	False
1000	1	MA1791.1	NAC087	1.46e-1	1.0	1.9576682859125607	10	206	5	206	False
1000	1	MA1739.2	BHLH122	3.10e-2	1.0	3.9346835443037973	9	206	2	206	False
1000	1	MA1428.2	TCP8	2.04e-2	1.0	1.8119139547710976	40	206	24	206	False
1000	1	MA2399.1	LjSGA_053525.1	4.32e-2	1.0	2.057066258138644	20	206	10	206	False
1000	1	MA1266.2	RAP2-11	6.70e-2	1.0	1.632895559724828	31	206	20	206	False
1000	1	MA0576.2	RAX3	1.69e-1	1.0	2.1858216970998927	7	206	3	206	False
1000	1	MA2659.1	GLYMA-08G281200	3.28e-1	1.0	1.3360844270058179	12	206	9	206	False
1000	1	MA0568.2	MYC3	2.16e-2	1.0	1.5338491295938104	136	206	115	206	False
1000	1	MA2611.1	ereb209	8.14e-1	1.0	0.7107928746070555	2	206	3	206	False
1000	1	MA1077.2	WRKY18	2.07e-2	1.0	2.2822299651567945	22	206	10	206	False
1000	1	MA1345.2	BZIP48	1.72e-1	1.0	1.4116769656935861	26	206	19	206	False
1000	1	MA1071.2	DOF5.3	2.07e-2	1.0	2.2822299651567945	22	206	10	206	False
1000	1	MA1062.3	TCP15	6.16e-2	1.0	9.177777777777777	4	206	0	206	False
1000	1	MA1182.2	RVE8	2.81e-2	1.0	1.6765742301210358	46	206	30	206	False
1000	1	MA1065.3	TCP20	6.16e-2	1.0	9.177777777777777	4	206	0	206	False
1000	1	MA1061.2	SPT	2.24e-2	1.0	2.4287058823529413	19	206	8	206	False
1000	1	MA2664.1	GLYMA-03G162700	3.00e-1	1.0	1.4837390457643622	9	206	6	206	False
1000	1	MA2650.1	GLYMA-05G027400	6.64e-2	1.0	1.500488213139908	46	206	33	206	False
1000	1	MA2719.1	lat61	1.24e-1	1.0	7.103194103194103	3	206	0	206	False
1000	1	MA2376.1	CAMTA5	3.97e-2	1.0	1.5989872196768748	47	206	32	206	False
1000	1	MA2392.1	GRMZM2G135447	2.22e-2	1.0	3.13953488372093	13	206	4	206	False
1000	1	MA1337.2	BZIP44	1.76e-1	1.0	1.3937767511379848	27	206	20	206	False
1000	1	MA1018.2	GATA9	2.85e-2	1.0	1.615344262295082	169	206	152	206	False
1000	1	MA2073.1	PK16340.1	2.24e-2	1.0	2.4287058823529413	198	206	187	206	False
1000	1	MA2724.1	SlTCP18	5.25e-2	1.0	3.502770780856423	8	206	2	206	False
1000	1	MA1015.2	GATA12	2.33e-2	1.0	1.5893238434163701	66	206	47	206	False
1000	1	MA2018.2	NAC69	2.41e-2	1.0	1.8141592920353982	37	206	22	206	False
1000	1	MA2105.1	GLYMA-13G317000	2.98e-2	1.0	1.5543611679375116	65	206	47	206	False
1000	1	MA2621.1	glk25	2.45e-2	1.0	1.5736790285526747	68	206	49	206	False
1000	1	MA1778.2	MYB80	2.55e-2	1.0	1.6559485530546625	51	206	34	206	False
1000	1	MA1410.2	StBRC1	2.89e-2	1.0	1.7313195548489666	40	206	25	206	False
1000	1	MA2014.2	BAM8	5.25e-2	1.0	3.502770780856423	8	206	2	206	False
1000	1	MA0097.1	bZIP911	5.00e-1	1.0	1.1390428211586903	8	206	7	206	False
1000	1	MA1158.2	MGP	5.00e-2	1.0	1.626287310176296	38	206	25	206	False
1000	1	MA2623.1	hb66	2.54e-2	1.0	1.523967726625534	84	206	64	206	False
1000	1	MA2736.1	la3	3.05e-2	1.0	11.272952853598015	5	206	0	206	False
1000	1	MA1324.1	GATA20	4.49e-2	1.0	1.4295472231028619	128	206	110	206	False
1000	1	MA2351.1	OsEIL3	2.64e-2	1.0	1.5132496513249651	87	206	67	206	False
1000	1	MA2005.2	NAC016	1.24e-1	1.0	7.103194103194103	3	206	0	206	False
1000	1	MA1191.2	RVE7L	3.67e-2	1.0	1.6303608587524743	45	206	30	206	False
1000	1	MA1788.1	NAC054	2.25e-1	1.0	2.232754342431762	5	206	2	206	False
1000	1	MA1243.2	DREB2E	1.08e-1	1.0	3.739454094292804	5	206	1	206	False
1000	1	MA1360.3	bHLH74	4.57e-2	1.0	1.865203761755486	25	206	14	206	False
1000	1	MA1339.1	BZIP43	3.46e-1	1.0	1.259425587467363	15	206	12	206	False
1000	1	MA1787.2	NAC047	3.21e-2	1.0	1.686377452334899	42	206	27	206	False
1000	1	MA0961.2	bHLH112	1.30e-1	1.0	2.1645569620253164	9	206	4	206	False
1000	1	MA2350.1	OsFBH1	1.30e-1	1.0	2.1645569620253164	9	206	4	206	False
1000	1	MA2057.1	PK01630.1	3.05e-2	1.0	11.272952853598015	5	206	0	206	False
1000	1	MA1385.2	AT2G40260	3.00e-2	1.0	1.47799105209987	122	206	102	206	False
1000	1	MA1687.1	ARF14	2.55e-1	1.0	1.3048825392149643	23	206	18	206	False
1000	1	MA1289.2	TCP3	1.10e-1	1.0	1.344892221180881	61	206	49	206	False
1000	1	MA1050.1	OsI_08196	4.57e-2	1.0	1.865203761755486	25	206	14	206	False
1000	1	MA2758.1	ereb122	3.07e-2	1.0	1.5055432372505544	80	206	61	206	False
1000	1	MA2653.1	GLYMA-03G042700	3.05e-2	1.0	11.272952853598015	5	206	0	206	False
1000	1	MA1267.2	DOF5.8	3.05e-2	1.0	11.272952853598015	206	206	201	206	False
1000	1	MA0571.2	ANT	3.50e-1	1.0	1.2414698162729658	16	206	13	206	False
1000	1	MA2397.1	ILR3	3.05e-2	1.0	1.4740503249076804	110	206	90	206	False
1000	1	MA0563.2	SEP3	3.05e-2	1.0	11.272952853598015	5	206	0	206	False
1000	1	MA1786.2	NAC019	3.05e-2	1.0	11.272952853598015	5	206	0	206	False
1000	1	MA2404.1	OsTRBF3	3.05e-2	1.0	11.272952853598015	5	206	0	206	False
1000	1	MA1737.2	AT5G05090	3.10e-2	1.0	3.9346835443037973	9	206	2	206	False
1000	1	MA1011.2	PHYPADRAFT_72483	3.10e-2	1.0	3.9346835443037973	9	206	2	206	False
1000	1	MA0956.2	BEE2	3.10e-2	1.0	3.9346835443037973	9	206	2	206	False
1000	1	MA2731.1	sep3	2.25e-1	1.0	1.3092436974789916	28	206	22	206	False
1000	1	MA0574.1	MYB15	3.01e-1	1.0	1.269071411162564	20	206	16	206	False
1000	1	MA2452.1	SPL8A	3.59e-2	1.0	1.7908309455587392	187	206	174	206	False
1000	1	MA1389.2	PHL1	5.56e-2	1.0	1.3992172211350293	126	206	109	206	False
1000	1	MA0998.2	ERF096	3.28e-2	1.0	1.4867724867724867	140	206	121	206	False
1000	1	MA2413.1	ZmbZIP96	6.91e-2	1.0	1.3657142857142857	103	206	87	206	False
1000	1	MA2737.1	SlERF36	4.88e-2	1.0	1.438081603435934	143	206	126	206	False
1000	1	MA1370.2	IDD5	6.09e-2	1.0	4.44139650872818	6	206	1	206	False
1000	1	MA1403.1	BPC5	5.00e-1	1.0	1.1108879067898754	10	206	9	206	False
1000	1	MA2461.1	WOX13	3.21e-2	1.0	1.686377452334899	42	206	27	206	False
1000	1	MA2406.1	PK03576.1	2.72e-1	1.0	1.3759791122715406	15	206	11	206	False
1000	1	MA1660.2	NAC013	1.86e-1	1.0	3.0444444444444443	4	206	1	206	False
1000	1	MA1358.2	bHLH130	6.09e-2	1.0	4.44139650872818	6	206	1	206	False
1000	1	MA2743.1	SlWRKY23	3.38e-2	1.0	5.150375939849624	7	206	1	206	False
1000	1	MA0557.2	FHY3	5.13e-2	1.0	1.4228169775615032	85	206	68	206	False
1000	1	MA0969.2	CAMTA2	3.43e-2	1.0	1.5999728273176033	171	206	155	206	False
1000	1	MA1677.2	NAC078	3.32e-2	1.0	2.2919332189109065	18	206	8	206	False
1000	1	MA1185.2	LHY	4.22e-2	1.0	1.524777183600713	58	206	42	206	False
1000	1	MA1328.1	ZHD9	3.41e-2	1.0	2.073170731707317	195	206	184	206	False
1000	1	MA2733.1	Sl-ERF_F_4	3.05e-1	1.0	1.2550635348479013	21	206	17	206	False
1000	1	MA1682.2	TCX3	3.38e-2	1.0	1.4775521355067844	88	206	69	206	False
1000	1	MA2421.1	SBP8	3.54e-2	1.0	2.4966860815424785	15	206	6	206	False
1000	1	MA1821.2	Zm00001d020595	7.51e-1	1.0	1.0	1	206	1	206	False
1000	1	MA1220.2	TINY	1.08e-1	1.0	3.739454094292804	5	206	1	206	False
1000	1	MA1049.2	ERF094	1.03e-1	1.0	1.5610178423548897	27	206	18	206	False
1000	1	MA1007.1	PHYPADRAFT_173530	1.37e-1	1.0	1.7590527119938886	14	206	8	206	False
1000	1	MA1290.1	TCP17	1.10e-1	1.0	2.4897445124145374	8	206	3	206	False
1000	1	MA2414.1	EREB127	6.09e-2	1.0	4.44139650872818	6	206	1	206	False
1000	1	MA2478.1	PK13314.1	3.68e-2	1.0	1.5273687759919075	63	206	46	206	False
1000	1	MA1032.2	DREB1G	1.43e-1	1.0	1.3207686049664897	51	206	41	206	False
1000	1	MA2348.1	IDD6	6.98e-2	1.0	2.0226956924502084	16	206	8	206	False
1000	1	MA2048.2	NAC045	3.56e-2	1.0	2.892030848329049	202	206	194	206	False
1000	1	MA1241.2	ERF043	2.06e-1	1.0	1.296455424274973	35	206	28	206	False
1000	1	MA0958.1	BHLH13	6.16e-2	1.0	9.177777777777777	4	206	0	206	False
1000	1	MA1296.2	WRKY46	6.16e-2	1.0	9.177777777777777	4	206	0	206	False
1000	1	MA1210.3	HAT22	3.61e-2	1.0	1.892802587833588	191	206	179	206	False
1000	1	MA2651.1	GLYMA-20G154400	6.16e-2	1.0	9.177777777777777	4	206	0	206	False
1000	1	MA2088.1	PK24580.1	2.49e-1	1.0	5.048899755501222	2	206	0	206	False
1000	1	MA1021.2	PHYPADRAFT_48267	6.04e-2	1.0	1.4872021182700794	52	206	38	206	False
1000	1	MA1742.2	BIZP18	6.76e-2	1.0	2.354522084599205	12	206	5	206	False
1000	1	MA0960.1	BHLH104	3.12e-1	1.0	2.3562653562653564	3	206	1	206	False
1000	1	MA1417.2	O2	1.20e-1	1.0	1.3141818181818181	69	206	57	206	False
1000	1	MA0550.3	BZR1	2.36e-1	1.0	1.277526395173454	31	206	25	206	False
1000	1	MA1169.1	MYB105	7.19e-2	1.0	1.4681017612524463	49	206	36	206	False
1000	1	MA1326.2	ZHD5	3.78e-2	1.0	1.564104747711305	168	206	152	206	False
1000	1	MA1751.2	EIL3	3.78e-2	1.0	1.564104747711305	54	206	38	206	False
1000	1	MA2750.1	TraesCS7B02G142200	5.43e-2	1.0	1.4404108905953925	151	206	135	206	False
1000	1	MA1356.1	TRP2	8.58e-1	1.0	0.6301094482912665	3	206	5	206	False
1000	1	MA2730.1	Solyc01g079480	6.20e-2	1.0	1.434524017772802	65	206	50	206	False
1000	1	MA2067.1	PK09702.1	3.12e-1	1.0	2.3562653562653564	3	206	1	206	False
1000	1	MA1034.1	Os05g0497200	2.49e-1	1.0	5.048899755501222	2	206	0	206	False
1000	1	MA2505.1	bZIP59	6.16e-2	1.0	9.177777777777777	4	206	0	206	False
1000	1	MA2375.1	BMY2	2.12e-1	1.0	1.2802843464384157	37	206	30	206	False
1000	1	MA2065.1	PK08602.1	5.00e-1	1.0	1.0925449871465296	12	206	11	206	False
1000	1	MA0590.1	LFY	5.00e-1	1.0	1.0925449871465296	12	206	11	206	False
1000	1	MA1019.2	Glyma19g26560.1	4.38e-2	1.0	1.4367984525658686	92	206	74	206	False
1000	1	MA2637.1	FUL::AG::SEP3	4.11e-2	1.0	1.5847732944112247	48	206	33	206	False
1000	1	MA2033.2	NAC038	2.49e-1	1.0	5.048899755501222	2	206	0	206	False
1000	1	MA1287.2	TCP21	1.19e-1	1.0	1.471794871794872	31	206	22	206	False
1000	1	MA2761.1	myb100	4.19e-2	1.0	1.924200913242009	24	206	13	206	False
1000	1	MA1322.3	SPL9	4.53e-2	1.0	1.5002832219327065	161	206	145	206	False
1000	1	MA2645.1	GLYMA-16G042900	3.12e-1	1.0	2.3562653562653564	3	206	1	206	False
1000	1	MA1054.2	ARALYDRAFT_897773	5.65e-2	1.0	1.4272859216255442	74	206	58	206	False
1000	1	MA2049.2	NAC053	4.20e-2	1.0	2.3039370078740156	16	206	7	206	False
1000	1	MA1008.2	PHYPADRAFT_182268	2.46e-1	1.0	1.2526315789473683	34	206	28	206	False
1000	1	MA2386.1	estExt_gwp_gw1.C_550163	2.46e-1	1.0	1.2526315789473683	34	206	28	206	False
1000	1	MA1023.1	PHYPADRAFT_28324	2.46e-1	1.0	1.2526315789473683	34	206	28	206	False
1000	1	MA0561.1	PIF4	1.69e-1	1.0	2.1858216970998927	7	206	3	206	False
1000	1	MA2712.1	eil1	1.73e-1	1.0	1.2818989975411386	51	206	42	206	False
1000	1	MA2480.1	GLYMA-04G093300	4.85e-2	1.0	2.1566040664286823	17	206	8	206	False
1000	1	MA1364.2	BHLH72	1.16e-1	1.0	1.4189223374652162	39	206	29	206	False
1000	1	MA1280.2	DOF5.4	4.36e-2	1.0	3.1068702290076335	10	206	3	206	False
1000	1	MA0944.2	ARF8	4.36e-2	1.0	3.1068702290076335	203	206	196	206	False
1000	1	MA2379.1	DOF3.1	4.36e-2	1.0	3.1068702290076335	203	206	196	206	False
1000	1	MA2619.1	ereb18	1.86e-1	1.0	3.0444444444444443	4	206	1	206	False
1000	1	MA2058.1	PK03929.1	4.45e-2	1.0	2.556025369978858	201	206	193	206	False
1000	1	MA2672.1	GLYMA-01G233000	5.55e-2	1.0	1.473052751856789	59	206	44	206	False
1000	1	MA2076.1	PK18401.1	5.66e-2	1.0	1.64	34	206	22	206	False
1000	1	MA1086.2	WRKY43	4.53e-2	1.0	1.5470642646346298	51	206	36	206	False
1000	1	MA1332.2	BEH2	5.00e-1	1.0	1.228287841191067	5	206	4	206	False
1000	1	MA1031.2	OJ1581_H09.2	5.32e-2	1.0	2.3234765234765233	14	206	6	206	False
1000	1	MA1756.2	GRF9	5.49e-2	1.0	2.040346223649309	18	206	9	206	False
1000	1	MA2382.1	e_gw1.209.40.1	4.82e-2	1.0	1.9703504043126685	21	206	11	206	False
1000	1	MA1043.2	NAC083	1.45e-1	1.0	1.277759141227776	71	206	60	206	False
1000	1	MA2735.1	SlbHLH014	1.14e-1	1.0	1.2980479025335734	90	206	77	206	False
1000	1	MA1282.2	TCP13	2.23e-1	1.0	1.6482677627715796	10	206	6	206	False
1000	1	MA1204.1	AGL13	1.46e-1	1.0	1.2752742769063379	72	206	61	206	False
1000	1	MA2615.1	ereb109	7.51e-1	1.0	1.0	1	206	1	206	False
1000	1	MA2434.1	SPL16A	8.04e-2	1.0	1.349908437808142	129	206	114	206	False
1000	1	MA1819.2	Zm00001d005892	9.99e-2	1.0	1.3117386042759178	106	206	92	206	False
1000	1	MA2091.1	PK27109.1	6.04e-2	1.0	1.4872021182700794	52	206	38	206	False
1000	1	MA2709.1	SolycHsfA2	1.47e-1	1.0	1.2728988764044944	73	206	62	206	False
1000	1	MA2711.1	SolycHsfB2b	1.15e-1	1.0	1.2945248584015103	93	206	80	206	False
1000	1	MA2647.1	GLYMA-12G226000	4.88e-2	1.0	1.438081603435934	143	206	126	206	False
1000	1	MA2721.1	Sl-ERF_C_6	3.43e-1	1.0	1.8177777777777777	4	206	2	206	False
1000	1	MA2006.2	NAC020	3.75e-1	1.0	1.458852867830424	6	206	4	206	False
1000	1	MA1286.2	TCP24	1.30e-1	1.0	2.1645569620253164	9	206	4	206	False
1000	1	MA2475.1	HOX6	4.94e-2	1.0	1.8138682870163525	191	206	180	206	False
1000	1	MA1388.2	PHL2	5.10e-2	1.0	1.6943881473198685	186	206	174	206	False
1000	1	MA1257.2	ERF9	2.87e-1	1.0	1.5688115411037324	8	206	5	206	False
1000	1	MA2415.1	EREB138	8.57e-2	1.0	1.3615156712926868	74	206	60	206	False
1000	1	MA2472.1	AT3G12910	3.43e-1	1.0	1.8177777777777777	4	206	2	206	False
1000	1	MA2460.1	MGH6.1	3.43e-1	1.0	1.8177777777777777	4	206	2	206	False
1000	1	MA2390.1	GLYMA19G26560	5.77e-2	1.0	1.458929165281011	61	206	46	206	False
1000	1	MA2433.1	SPL15D	7.83e-2	1.0	1.7479674796747968	22	206	13	206	False
1000	1	MA2718.1	Sl-ERF_A_3	5.00e-1	1.0	1.1390428211586903	8	206	7	206	False
1000	1	MA2662.1	GLYMA-13G153200	6.16e-2	1.0	9.177777777777777	4	206	0	206	False
1000	1	MA2035.2	NAC075	2.25e-1	1.0	2.232754342431762	5	206	2	206	False
1000	1	MA1320.2	SPL15	2.06e-1	1.0	1.24481649850316	51	206	43	206	False
1000	1	MA1022.2	PHYPADRAFT_38837	5.25e-2	1.0	3.502770780856423	204	206	198	206	False
1000	1	MA0981.2	DOF1.8	5.25e-2	1.0	3.502770780856423	204	206	198	206	False
1000	1	MA2394.1	PpDof6	5.25e-2	1.0	3.502770780856423	204	206	198	206	False
1000	1	MA2070.1	PK15337.1	5.25e-2	1.0	3.502770780856423	8	206	2	206	False
1000	1	MA1229.2	ERF034	1.86e-1	1.0	3.0444444444444443	4	206	1	206	False
1000	1	MA1706.2	AT1G14600	5.31e-2	1.0	1.7688022284122562	190	206	179	206	False
1000	1	MA2670.1	GLYMA-15G168800	6.69e-2	1.0	1.375031847133758	128	206	112	206	False
1000	1	MA1803.2	VIP1	1.24e-1	1.0	7.103194103194103	3	206	0	206	False
1000	1	MA0939.1	NAC079	8.65e-2	1.0	1.358341834368914	75	206	61	206	False
1000	1	MA1088.2	WRKY48	5.43e-2	1.0	1.5877149877149876	179	206	166	206	False
1000	1	MA0972.1	CCA1	5.71e-2	1.0	1.3912282164596015	106	206	89	206	False
1000	1	MA1761.2	HSFB3	6.96e-2	1.0	1.3631877621514927	110	206	94	206	False
1000	1	MA1089.2	WRKY57	5.51e-2	1.0	1.4020450715489419	128	206	111	206	False
1000	1	MA1013.1	GATA10	1.08e-1	1.0	1.8006630750103605	16	206	9	206	False
1000	1	MA1764.2	MYB116	1.24e-1	1.0	7.103194103194103	3	206	0	206	False
1000	1	MA2342.1	URI	6.23e-2	1.0	1.7822390174775626	24	206	14	206	False
1000	1	MA1036.1	MYB111	5.67e-2	1.0	1.7289315726290517	28	206	17	206	False
1000	1	MA0930.3	ABF3	5.73e-2	1.0	1.3904468669385037	108	206	91	206	False
1000	1	MA1199.1	AGL16	9.73e-2	1.0	1.32	126	206	112	206	False
1000	1	MA2430.1	SPL14B	2.49e-1	1.0	5.048899755501222	2	206	0	206	False
1000	1	MA1053.1	ERF109	1.27e-1	1.0	1.4382755984238076	33	206	24	206	False
1000	1	MA1666.3	HSFB2B	8.20e-2	1.0	1.3437110834371109	97	206	82	206	False
1000	1	MA1040.1	MYB46	6.09e-2	1.0	4.44139650872818	6	206	1	206	False
1000	1	MA1792.1	NAC098	2.25e-1	1.0	2.232754342431762	5	206	2	206	False
1000	1	MA2727.1	SolycHsfA7	6.16e-2	1.0	9.177777777777777	4	206	0	206	False
1000	1	MA0954.3	ATHB-7	6.48e-2	1.0	1.460932840271979	55	206	41	206	False
1000	1	MA1336.2	TGA3	2.65e-1	1.0	1.20685347878586	42	206	36	206	False
1000	1	MA1161.1	TSO1	6.17e-2	1.0	2.1530026109660576	199	206	191	206	False
