Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17
RNA-Seq_FZX_Fr_M3_R1	(22.0, 17.0)	(23.0, 333.0)	(24.0, 4854.0)	(25.0, 21327.0)	(26.0, 47277.0)	(27.0, 88037.0)	(28.0, 142583.0)	(29.0, 214009.0)	(30.0, 299685.0)	(31.0, 418755.0)	(32.0, 600199.0)	(33.0, 955804.0)	(34.0, 1829013.0)	(35.0, 6911133.0)	(36.0, 26908496.0)	(37.0, 429606.0)		
RNA-Seq_FZX_Fr_M3_R2	(20.0, 2.0)	(21.0, 15.0)	(22.0, 128.0)	(23.0, 5678.0)	(24.0, 60845.0)	(25.0, 126252.0)	(26.0, 152661.0)	(27.0, 184471.0)	(28.0, 229324.0)	(29.0, 293961.0)	(30.0, 383901.0)	(31.0, 525274.0)	(32.0, 768543.0)	(33.0, 1242005.0)	(34.0, 2418235.0)	(35.0, 7190924.0)	(36.0, 24239887.0)	(37.0, 1049022.0)
RNA-Seq_FZX_Le_C1_R1	(21.0, 1.0)	(22.0, 5.0)	(23.0, 157.0)	(24.0, 3059.0)	(25.0, 15647.0)	(26.0, 31335.0)	(27.0, 52851.0)	(28.0, 81485.0)	(29.0, 118612.0)	(30.0, 164056.0)	(31.0, 222424.0)	(32.0, 305540.0)	(33.0, 446340.0)	(34.0, 750074.0)	(35.0, 1790744.0)	(36.0, 24847242.0)	(37.0, 6498573.0)	
RNA-Seq_FZX_Le_C1_R2	(21.0, 3.0)	(22.0, 68.0)	(23.0, 2737.0)	(24.0, 34322.0)	(25.0, 77599.0)	(26.0, 90515.0)	(27.0, 106758.0)	(28.0, 132712.0)	(29.0, 172479.0)	(30.0, 231986.0)	(31.0, 329256.0)	(32.0, 504553.0)	(33.0, 852137.0)	(34.0, 1707328.0)	(35.0, 4858930.0)	(36.0, 23919104.0)	(37.0, 2307658.0)	
RNA-Seq_FZX_Le_C2_R1	(22.0, 12.0)	(23.0, 218.0)	(24.0, 3744.0)	(25.0, 18216.0)	(26.0, 36348.0)	(27.0, 60921.0)	(28.0, 95727.0)	(29.0, 142563.0)	(30.0, 202112.0)	(31.0, 274867.0)	(32.0, 380936.0)	(33.0, 559133.0)	(34.0, 944897.0)	(35.0, 2264408.0)	(36.0, 30702309.0)	(37.0, 7865551.0)		
RNA-Seq_FZX_Le_C2_R2	(21.0, 10.0)	(22.0, 83.0)	(23.0, 3430.0)	(24.0, 39385.0)	(25.0, 88118.0)	(26.0, 103979.0)	(27.0, 123381.0)	(28.0, 152529.0)	(29.0, 199749.0)	(30.0, 268687.0)	(31.0, 382744.0)	(32.0, 584665.0)	(33.0, 987179.0)	(34.0, 1955931.0)	(35.0, 5544096.0)	(36.0, 29932481.0)	(37.0, 3185515.0)	
RNA-Seq_FZX_Le_C3_R1	(21.0, 1.0)	(22.0, 9.0)	(23.0, 245.0)	(24.0, 3372.0)	(25.0, 15798.0)	(26.0, 37669.0)	(27.0, 73535.0)	(28.0, 124801.0)	(29.0, 189532.0)	(30.0, 270069.0)	(31.0, 378078.0)	(32.0, 552728.0)	(33.0, 899567.0)	(34.0, 1752209.0)	(35.0, 7023644.0)	(36.0, 26874010.0)	(37.0, 360205.0)	
RNA-Seq_FZX_Le_C3_R2	(20.0, 1.0)	(21.0, 14.0)	(22.0, 111.0)	(23.0, 4793.0)	(24.0, 46544.0)	(25.0, 87906.0)	(26.0, 101984.0)	(27.0, 124189.0)	(28.0, 155196.0)	(29.0, 203695.0)	(30.0, 274432.0)	(31.0, 390368.0)	(32.0, 590706.0)	(33.0, 984818.0)	(34.0, 1945942.0)	(35.0, 6001376.0)	(36.0, 26303744.0)	(37.0, 1339653.0)
RNA-Seq_FZX_Le_M1_R1	(22.0, 6.0)	(23.0, 134.0)	(24.0, 3285.0)	(25.0, 16970.0)	(26.0, 33528.0)	(27.0, 56035.0)	(28.0, 89616.0)	(29.0, 134464.0)	(30.0, 192209.0)	(31.0, 266083.0)	(32.0, 372889.0)	(33.0, 553837.0)	(34.0, 953003.0)	(35.0, 2338739.0)	(36.0, 30311150.0)	(37.0, 7131058.0)		
RNA-Seq_FZX_Le_M1_R2	(21.0, 14.0)	(22.0, 81.0)	(23.0, 2755.0)	(24.0, 35075.0)	(25.0, 80679.0)	(26.0, 94860.0)	(27.0, 114340.0)	(28.0, 143012.0)	(29.0, 185491.0)	(30.0, 252776.0)	(31.0, 362797.0)	(32.0, 558101.0)	(33.0, 951361.0)	(34.0, 1923897.0)	(35.0, 5610779.0)	(36.0, 29190305.0)	(37.0, 2946683.0)	
RNA-Seq_FZX_Le_M2_R1	(22.0, 8.0)	(23.0, 132.0)	(24.0, 3300.0)	(25.0, 17089.0)	(26.0, 34564.0)	(27.0, 58607.0)	(28.0, 92169.0)	(29.0, 134092.0)	(30.0, 188029.0)	(31.0, 253548.0)	(32.0, 348747.0)	(33.0, 506232.0)	(34.0, 849944.0)	(35.0, 2019105.0)	(36.0, 27524603.0)	(37.0, 7593412.0)		
RNA-Seq_FZX_Le_M2_R2	(20.0, 1.0)	(21.0, 11.0)	(22.0, 89.0)	(23.0, 3358.0)	(24.0, 41140.0)	(25.0, 92244.0)	(26.0, 107766.0)	(27.0, 127728.0)	(28.0, 158811.0)	(29.0, 207180.0)	(30.0, 278493.0)	(31.0, 396510.0)	(32.0, 611103.0)	(33.0, 1047323.0)	(34.0, 2130707.0)	(35.0, 6077351.0)	(36.0, 26214198.0)	(37.0, 2129568.0)
RNA-Seq_FZX_Le_M3_R1	(21.0, 1.0)	(22.0, 4.0)	(23.0, 157.0)	(24.0, 3391.0)	(25.0, 18212.0)	(26.0, 37154.0)	(27.0, 63628.0)	(28.0, 101839.0)	(29.0, 150178.0)	(30.0, 209981.0)	(31.0, 285323.0)	(32.0, 392632.0)	(33.0, 571896.0)	(34.0, 968558.0)	(35.0, 2335613.0)	(36.0, 31971003.0)	(37.0, 8226501.0)	
RNA-Seq_FZX_Le_M3_R2	(20.0, 2.0)	(21.0, 11.0)	(22.0, 107.0)	(23.0, 3864.0)	(24.0, 50071.0)	(25.0, 110585.0)	(26.0, 127841.0)	(27.0, 150602.0)	(28.0, 186508.0)	(29.0, 238576.0)	(30.0, 318049.0)	(31.0, 450600.0)	(32.0, 690239.0)	(33.0, 1175728.0)	(34.0, 2395741.0)	(35.0, 6927097.0)	(36.0, 30066938.0)	(37.0, 2443512.0)
