Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24
RNA-Seq_FZX_Fr_M3_R2	(30, 11.0)	(35, 13.0)	(40, 5.0)	(45, 5.0)	(50, 7.0)	(55, 2.0)	(60, 5.0)	(65, 11.0)	(70, 3.0)	(75, 2.0)	(80, 4.0)	(85, 5.0)	(90, 5.0)	(95, 2.0)	(100, 101104.0)	(105, 105525.0)	(110, 107684.0)	(115, 123379.0)	(120, 152706.0)	(125, 183262.0)	(130, 217305.0)	(135, 175516.0)	(140, 494562.0)	(145, 480342.0)	(150, 36729663.0)
RNA-Seq_FZX_Le_C1_R1	(30, 35.0)	(35, 49.0)	(40, 0.0)	(45, 3.0)	(50, 1.0)	(55, 6.0)	(60, 10.0)	(65, 12.0)	(70, 0.0)	(75, 1.0)	(80, 14.0)	(85, 1.0)	(90, 2.0)	(95, 6.0)	(100, 32174.0)	(105, 35802.0)	(110, 38505.0)	(115, 42401.0)	(120, 51339.0)	(125, 66754.0)	(130, 88351.0)	(135, 79360.0)	(140, 329289.0)	(145, 337020.0)	(150, 34227010.0)
RNA-Seq_FZX_Le_C1_R2	(30, 35.0)	(35, 49.0)	(40, 0.0)	(45, 3.0)	(50, 1.0)	(55, 6.0)	(60, 10.0)	(65, 12.0)	(70, 0.0)	(75, 1.0)	(80, 14.0)	(85, 1.0)	(90, 2.0)	(95, 6.0)	(100, 32174.0)	(105, 35802.0)	(110, 38505.0)	(115, 42401.0)	(120, 51339.0)	(125, 66754.0)	(130, 88351.0)	(135, 79360.0)	(140, 329289.0)	(145, 337020.0)	(150, 34227010.0)
RNA-Seq_FZX_Le_C2_R1	(30, 23.0)	(35, 46.0)	(40, 15.0)	(45, 1.0)	(50, 3.0)	(55, 14.0)	(60, 14.0)	(65, 8.0)	(70, 3.0)	(75, 3.0)	(80, 2.0)	(85, 0.0)	(90, 5.0)	(95, 1.0)	(100, 44792.0)	(105, 50406.0)	(110, 55076.0)	(115, 60329.0)	(120, 73554.0)	(125, 95026.0)	(130, 119926.0)	(135, 109670.0)	(140, 422778.0)	(145, 429019.0)	(150, 42091248.0)
RNA-Seq_FZX_Le_C2_R2	(30, 23.0)	(35, 46.0)	(40, 15.0)	(45, 1.0)	(50, 3.0)	(55, 14.0)	(60, 14.0)	(65, 8.0)	(70, 3.0)	(75, 3.0)	(80, 2.0)	(85, 0.0)	(90, 5.0)	(95, 1.0)	(100, 44792.0)	(105, 50406.0)	(110, 55076.0)	(115, 60329.0)	(120, 73554.0)	(125, 95026.0)	(130, 119926.0)	(135, 109670.0)	(140, 422778.0)	(145, 429019.0)	(150, 42091248.0)
RNA-Seq_FZX_Le_C3_R1	(30, 33.0)	(35, 34.0)	(40, 4.0)	(45, 4.0)	(50, 5.0)	(55, 2.0)	(60, 7.0)	(65, 3.0)	(70, 3.0)	(75, 4.0)	(80, 5.0)	(85, 2.0)	(90, 5.0)	(95, 1.0)	(100, 73101.0)	(105, 77744.0)	(110, 79823.0)	(115, 93871.0)	(120, 112386.0)	(125, 139135.0)	(130, 164152.0)	(135, 136192.0)	(140, 406079.0)	(145, 411637.0)	(150, 36861240.0)
RNA-Seq_FZX_Le_C3_R2	(30, 33.0)	(35, 34.0)	(40, 4.0)	(45, 4.0)	(50, 5.0)	(55, 2.0)	(60, 7.0)	(65, 3.0)	(70, 3.0)	(75, 4.0)	(80, 5.0)	(85, 2.0)	(90, 5.0)	(95, 1.0)	(100, 73101.0)	(105, 77744.0)	(110, 79823.0)	(115, 93871.0)	(120, 112386.0)	(125, 139135.0)	(130, 164152.0)	(135, 136192.0)	(140, 406079.0)	(145, 411637.0)	(150, 36861240.0)
RNA-Seq_FZX_Le_M1_R1	(30, 22.0)	(35, 28.0)	(40, 11.0)	(45, 5.0)	(50, 4.0)	(55, 6.0)	(60, 17.0)	(65, 11.0)	(70, 5.0)	(75, 1.0)	(80, 3.0)	(85, 3.0)	(90, 2.0)	(95, 3.0)	(100, 43964.0)	(105, 49492.0)	(110, 52235.0)	(115, 61387.0)	(120, 77909.0)	(125, 100368.0)	(130, 125839.0)	(135, 114286.0)	(140, 423120.0)	(145, 432104.0)	(150, 40972181.0)
RNA-Seq_FZX_Le_M1_R2	(30, 22.0)	(35, 28.0)	(40, 11.0)	(45, 5.0)	(50, 4.0)	(55, 6.0)	(60, 17.0)	(65, 11.0)	(70, 5.0)	(75, 1.0)	(80, 3.0)	(85, 3.0)	(90, 2.0)	(95, 3.0)	(100, 43964.0)	(105, 49492.0)	(110, 52235.0)	(115, 61387.0)	(120, 77909.0)	(125, 100368.0)	(130, 125839.0)	(135, 114286.0)	(140, 423120.0)	(145, 432104.0)	(150, 40972181.0)
RNA-Seq_FZX_Le_M2_R1	(30, 30.0)	(35, 56.0)	(40, 7.0)	(45, 1.0)	(50, 8.0)	(55, 10.0)	(60, 8.0)	(65, 7.0)	(70, 3.0)	(75, 0.0)	(80, 8.0)	(85, 3.0)	(90, 1.0)	(95, 2.0)	(100, 36671.0)	(105, 40566.0)	(110, 44078.0)	(115, 49691.0)	(120, 61638.0)	(125, 77517.0)	(130, 98920.0)	(135, 93285.0)	(140, 376357.0)	(145, 386213.0)	(150, 38358501.0)
RNA-Seq_FZX_Le_M2_R2	(30, 30.0)	(35, 56.0)	(40, 7.0)	(45, 1.0)	(50, 8.0)	(55, 10.0)	(60, 8.0)	(65, 7.0)	(70, 3.0)	(75, 0.0)	(80, 8.0)	(85, 3.0)	(90, 1.0)	(95, 2.0)	(100, 36671.0)	(105, 40566.0)	(110, 44078.0)	(115, 49691.0)	(120, 61638.0)	(125, 77517.0)	(130, 98920.0)	(135, 93285.0)	(140, 376357.0)	(145, 386213.0)	(150, 38358501.0)
RNA-Seq_FZX_Le_M3_R1	(30, 34.0)	(35, 24.0)	(40, 11.0)	(45, 5.0)	(50, 3.0)	(55, 4.0)	(60, 5.0)	(65, 8.0)	(70, 2.0)	(75, 5.0)	(80, 4.0)	(85, 3.0)	(90, 1.0)	(95, 0.0)	(100, 43820.0)	(105, 49399.0)	(110, 53108.0)	(115, 59146.0)	(120, 72692.0)	(125, 91654.0)	(130, 113432.0)	(135, 107839.0)	(140, 435889.0)	(145, 441476.0)	(150, 43867507.0)
RNA-Seq_FZX_Le_M3_R2	(30, 34.0)	(35, 24.0)	(40, 11.0)	(45, 5.0)	(50, 3.0)	(55, 4.0)	(60, 5.0)	(65, 8.0)	(70, 2.0)	(75, 5.0)	(80, 4.0)	(85, 3.0)	(90, 1.0)	(95, 0.0)	(100, 43820.0)	(105, 49399.0)	(110, 53108.0)	(115, 59146.0)	(120, 72692.0)	(125, 91654.0)	(130, 113432.0)	(135, 107839.0)	(140, 435889.0)	(145, 441476.0)	(150, 43867507.0)
