run_accession	study_accession	sample_accession	sample_alias	experiment_accession	sample_title	experiment_title	library_layout	instrument_model	read_count	base_count	age	cultivar	tissue_type	collection_date	description	fastq_ftp	fastq_md5
SRR8297723	PRJNA450886	SAMN10576468	HI_48hpi_2	SRX5112213	Plant sample from Litchi	Illumina HiSeq 2500 sequencing: RNA_seq of Litchi chinensis Sonn: pericarp	PAIRED	Illumina HiSeq 2500	12962483	3240620750		Heiye	pericarp		Illumina HiSeq 2500 sequencing: RNA_seq of Litchi chinensis Sonn: pericarp	ftp.sra.ebi.ac.uk/vol1/fastq/SRR829/003/SRR8297723/SRR8297723_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR829/003/SRR8297723/SRR8297723_2.fastq.gz	0a753cee30061304be651ff64c5259d1;bf4ed5ad59c1183a0c353efcbe11dff5
SRR8297725	PRJNA450886	SAMN10576463	HI_6hpi_3	SRX5112211	Plant sample from Litchi	Illumina HiSeq 2500 sequencing: RNA_seq of Litchi chinensis Sonn: pericarp	PAIRED	Illumina HiSeq 2500	14011765	3502941250		Heiye	pericarp		Illumina HiSeq 2500 sequencing: RNA_seq of Litchi chinensis Sonn: pericarp	ftp.sra.ebi.ac.uk/vol1/fastq/SRR829/005/SRR8297725/SRR8297725_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR829/005/SRR8297725/SRR8297725_2.fastq.gz	c3677b0ee1c0fb102201014fce9e4b38;838d814bbf7566b415d1aa4e60bc2373
SRR8297726	PRJNA450886	SAMN10576458	HC_48hpi_1	SRX5112210	Plant sample from Litchi	Illumina HiSeq 2500 sequencing: RNA_seq of Litchi chinensis Sonn: pericarp	PAIRED	Illumina HiSeq 2500	15392143	3848035750		Heiye	pericarp		Illumina HiSeq 2500 sequencing: RNA_seq of Litchi chinensis Sonn: pericarp	ftp.sra.ebi.ac.uk/vol1/fastq/SRR829/006/SRR8297726/SRR8297726_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR829/006/SRR8297726/SRR8297726_2.fastq.gz	aa875161f15d110718226d83b2526339;36afea5d41b15fb4359f3c2d8886b788
SRR8297728	PRJNA450886	SAMN10576460	HC_48hpi_3	SRX5112208	Plant sample from Litchi	Illumina HiSeq 2500 sequencing: RNA_seq of Litchi chinensis Sonn: pericarp	PAIRED	Illumina HiSeq 2500	13277950	3319487500		Heiye	pericarp		Illumina HiSeq 2500 sequencing: RNA_seq of Litchi chinensis Sonn: pericarp	ftp.sra.ebi.ac.uk/vol1/fastq/SRR829/008/SRR8297728/SRR8297728_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR829/008/SRR8297728/SRR8297728_2.fastq.gz	c669c1d0bca2aaf04f45e04dec7f436d;9fc1a6500a6edae07e2dbf45dc88d7a7
SRR8297729	PRJNA450886	SAMN10576461	HI_6hpi_1	SRX5112207	Plant sample from Litchi	Illumina HiSeq 2500 sequencing: RNA_seq of Litchi chinensis Sonn: pericarp	PAIRED	Illumina HiSeq 2500	17349898	4337474500		Heiye	pericarp		Illumina HiSeq 2500 sequencing: RNA_seq of Litchi chinensis Sonn: pericarp	ftp.sra.ebi.ac.uk/vol1/fastq/SRR829/009/SRR8297729/SRR8297729_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR829/009/SRR8297729/SRR8297729_2.fastq.gz	0d1cb4039bda46d0844f44201d38044e;eaf272efc2a87ecf126c910c5e518f87
SRR8297732	PRJNA450886	SAMN10576456	HC_24hpi_2	SRX5112204	Plant sample from Litchi	Illumina HiSeq 2500 sequencing: RNA_seq of Litchi chinensis Sonn: pericarp	PAIRED	Illumina HiSeq 2500	14221174	3555293500		Heiye	pericarp		Illumina HiSeq 2500 sequencing: RNA_seq of Litchi chinensis Sonn: pericarp	ftp.sra.ebi.ac.uk/vol1/fastq/SRR829/002/SRR8297732/SRR8297732_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR829/002/SRR8297732/SRR8297732_2.fastq.gz	46db2a33b997e5e30da53526cc377249;659e831863f7f01848d742c04d5a72cc
SRR8297698	PRJNA450886	SAMN10576443	GI_6hpi_1	SRX5112238	Plant sample from Litchi	Illumina HiSeq 2500 sequencing: RNA_seq of Litchi chinensis Sonn: pericarp	PAIRED	Illumina HiSeq 2500	16377734	4094433500		Guiwei	pericarp		Illumina HiSeq 2500 sequencing: RNA_seq of Litchi chinensis Sonn: pericarp	ftp.sra.ebi.ac.uk/vol1/fastq/SRR829/008/SRR8297698/SRR8297698_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR829/008/SRR8297698/SRR8297698_2.fastq.gz	0751555cf19573563972711da37816a8;b65ee9f7515171889394b31a652a6efa
SRR8297699	PRJNA450886	SAMN10576442	GC_48hpi_3	SRX5112237	Plant sample from Litchi	Illumina HiSeq 2500 sequencing: RNA_seq of Litchi chinensis Sonn: pericarp	PAIRED	Illumina HiSeq 2500	13951404	3487851000		Guiwei	pericarp		Illumina HiSeq 2500 sequencing: RNA_seq of Litchi chinensis Sonn: pericarp	ftp.sra.ebi.ac.uk/vol1/fastq/SRR829/009/SRR8297699/SRR8297699_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR829/009/SRR8297699/SRR8297699_2.fastq.gz	f726420f8dfd60200d88bda00589b85f;efd4effa65f7cfe5b48d8c72d18e36ff
SRR8297702	PRJNA450886	SAMN10576435	GC_6hpi_2	SRX5112234	Plant sample from Litchi	Illumina HiSeq 2500 sequencing: RNA_seq of Litchi chinensis Sonn: pericarp	PAIRED	Illumina HiSeq 2500	13735915	3433978750		Guiwei	pericarp		Illumina HiSeq 2500 sequencing: RNA_seq of Litchi chinensis Sonn: pericarp	ftp.sra.ebi.ac.uk/vol1/fastq/SRR829/002/SRR8297702/SRR8297702_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR829/002/SRR8297702/SRR8297702_2.fastq.gz	7b80bf6de0204a12eabfb3ff2cf10ac9;6121fb638b50dc5bc3725ddb4d86e5cd
SRR8297703	PRJNA450886	SAMN10576434	GC_6hpi_1	SRX5112233	Plant sample from Litchi	Illumina HiSeq 2500 sequencing: RNA_seq of Litchi chinensis Sonn: pericarp	PAIRED	Illumina HiSeq 2500	13908643	3477160750		Guiwei	pericarp		Illumina HiSeq 2500 sequencing: RNA_seq of Litchi chinensis Sonn: pericarp	ftp.sra.ebi.ac.uk/vol1/fastq/SRR829/003/SRR8297703/SRR8297703_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR829/003/SRR8297703/SRR8297703_2.fastq.gz	00a33dc67f4365a58a9b2e120cebb6bc;974d886a9022fdc9c3c8bc35c6c8d467
SRR8297706	PRJNA450886	SAMN10576439	GC_24hpi_3	SRX5112230	Plant sample from Litchi	Illumina HiSeq 2500 sequencing: RNA_seq of Litchi chinensis Sonn: pericarp	PAIRED	Illumina HiSeq 2500	13527405	3381851250		Guiwei	pericarp		Illumina HiSeq 2500 sequencing: RNA_seq of Litchi chinensis Sonn: pericarp	ftp.sra.ebi.ac.uk/vol1/fastq/SRR829/006/SRR8297706/SRR8297706_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR829/006/SRR8297706/SRR8297706_2.fastq.gz	7fdcf9ebf2320beeb1d6928433247c83;1289c1731e9f6fbe4be2fdc897de0135
SRR8297710	PRJNA450886	SAMN10576445	GI_6hpi_3	SRX5112226	Plant sample from Litchi	Illumina HiSeq 2500 sequencing: RNA_seq of Litchi chinensis Sonn: pericarp	PAIRED	Illumina HiSeq 2500	16894543	4223635750		Guiwei	pericarp		Illumina HiSeq 2500 sequencing: RNA_seq of Litchi chinensis Sonn: pericarp	ftp.sra.ebi.ac.uk/vol1/fastq/SRR829/000/SRR8297710/SRR8297710_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR829/000/SRR8297710/SRR8297710_2.fastq.gz	9a4975498455f6c1ddfe6a1e9d4e24be;bcfdbf452983cc187439e7c109035446
SRR8297713	PRJNA450886	SAMN10576446	GI_24hpi_1	SRX5112223	Plant sample from Litchi	Illumina HiSeq 2500 sequencing: RNA_seq of Litchi chinensis Sonn: pericarp	PAIRED	Illumina HiSeq 2500	15396203	3849050750		Guiwei	pericarp		Illumina HiSeq 2500 sequencing: RNA_seq of Litchi chinensis Sonn: pericarp	ftp.sra.ebi.ac.uk/vol1/fastq/SRR829/003/SRR8297713/SRR8297713_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR829/003/SRR8297713/SRR8297713_2.fastq.gz	82d92114810065aeec79e8a87207d7ed;6e075af0b42779fbaae7acf4a50d1e5a
SRR8297719	PRJNA450886	SAMN10576466	HI_24hpi_3	SRX5112217	Plant sample from Litchi	Illumina HiSeq 2500 sequencing: RNA_seq of Litchi chinensis Sonn: pericarp	PAIRED	Illumina HiSeq 2500	12630445	3157611250		Heiye	pericarp		Illumina HiSeq 2500 sequencing: RNA_seq of Litchi chinensis Sonn: pericarp	ftp.sra.ebi.ac.uk/vol1/fastq/SRR829/009/SRR8297719/SRR8297719_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR829/009/SRR8297719/SRR8297719_2.fastq.gz	c15f4fb2dcf8f63b5a668854b545d1d9;64be9a9c99b3b8fdfbf8e5866b08a77c
SRR8297720	PRJNA450886	SAMN10576465	HI_24hpi_2	SRX5112216	Plant sample from Litchi	Illumina HiSeq 2500 sequencing: RNA_seq of Litchi chinensis Sonn: pericarp	PAIRED	Illumina HiSeq 2500	16315950	4078987500		Heiye	pericarp		Illumina HiSeq 2500 sequencing: RNA_seq of Litchi chinensis Sonn: pericarp	ftp.sra.ebi.ac.uk/vol1/fastq/SRR829/000/SRR8297720/SRR8297720_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR829/000/SRR8297720/SRR8297720_2.fastq.gz	9e2f0b4fc7d6f778984354b98243538d;c36484ef795425173e0aa72a1affc244
SRR8297724	PRJNA450886	SAMN10576462	HI_6hpi_2	SRX5112212	Plant sample from Litchi	Illumina HiSeq 2500 sequencing: RNA_seq of Litchi chinensis Sonn: pericarp	PAIRED	Illumina HiSeq 2500	16613271	4153317750		Heiye	pericarp		Illumina HiSeq 2500 sequencing: RNA_seq of Litchi chinensis Sonn: pericarp	ftp.sra.ebi.ac.uk/vol1/fastq/SRR829/004/SRR8297724/SRR8297724_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR829/004/SRR8297724/SRR8297724_2.fastq.gz	36746b0c3e1e597295b34c867e1db967;9f90ecf9e2d0fd63da10664a6448efe4
SRR8297727	PRJNA450886	SAMN10576459	HC_48hpi_2	SRX5112209	Plant sample from Litchi	Illumina HiSeq 2500 sequencing: RNA_seq of Litchi chinensis Sonn: pericarp	PAIRED	Illumina HiSeq 2500	14780683	3695170750		Heiye	pericarp		Illumina HiSeq 2500 sequencing: RNA_seq of Litchi chinensis Sonn: pericarp	ftp.sra.ebi.ac.uk/vol1/fastq/SRR829/007/SRR8297727/SRR8297727_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR829/007/SRR8297727/SRR8297727_2.fastq.gz	4a906e1097b92c4c99b8205b7b5cf31d;3a104d3657f94b3503afc9f39bdd89bc
SRR8297731	PRJNA450886	SAMN10576455	HC_24hpi_1	SRX5112205	Plant sample from Litchi	Illumina HiSeq 2500 sequencing: RNA_seq of Litchi chinensis Sonn: pericarp	PAIRED	Illumina HiSeq 2500	14614544	3653636000		Heiye	pericarp		Illumina HiSeq 2500 sequencing: RNA_seq of Litchi chinensis Sonn: pericarp	ftp.sra.ebi.ac.uk/vol1/fastq/SRR829/001/SRR8297731/SRR8297731_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR829/001/SRR8297731/SRR8297731_2.fastq.gz	c8238e5198343de875d968ca03815e8e;73e2ad377e2cd42e6320efb2660d96e5
SRR8297708	PRJNA450886	SAMN10576453	HC_6hpi_2	SRX5112228	Plant sample from Litchi	Illumina HiSeq 2500 sequencing: RNA_seq of Litchi chinensis Sonn: pericarp	PAIRED	Illumina HiSeq 2500	14526858	3631714500		Heiye	pericarp		Illumina HiSeq 2500 sequencing: RNA_seq of Litchi chinensis Sonn: pericarp	ftp.sra.ebi.ac.uk/vol1/fastq/SRR829/008/SRR8297708/SRR8297708_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR829/008/SRR8297708/SRR8297708_2.fastq.gz	e5ecb6226c971742d73215cb5cdb0cbe;e1cf635b33ece65edc2d2fefcdf3c700
SRR8297712	PRJNA450886	SAMN10576447	GI_24hpi_2	SRX5112224	Plant sample from Litchi	Illumina HiSeq 2500 sequencing: RNA_seq of Litchi chinensis Sonn: pericarp	PAIRED	Illumina HiSeq 2500	13094482	3273620500		Guiwei	pericarp		Illumina HiSeq 2500 sequencing: RNA_seq of Litchi chinensis Sonn: pericarp	ftp.sra.ebi.ac.uk/vol1/fastq/SRR829/002/SRR8297712/SRR8297712_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR829/002/SRR8297712/SRR8297712_2.fastq.gz	2af0ff214bf38e29b90f22bdb3482bde;b63df0aa8e01d8b2981c729e0b091e3f
SRR8297714	PRJNA450886	SAMN10576449	GI_48hpi_1	SRX5112222	Plant sample from Litchi	Illumina HiSeq 2500 sequencing: RNA_seq of Litchi chinensis Sonn: pericarp	PAIRED	Illumina HiSeq 2500	14835382	3708845500		Guiwei	pericarp		Illumina HiSeq 2500 sequencing: RNA_seq of Litchi chinensis Sonn: pericarp	ftp.sra.ebi.ac.uk/vol1/fastq/SRR829/004/SRR8297714/SRR8297714_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR829/004/SRR8297714/SRR8297714_2.fastq.gz	cb4cd12e1b7b3fc353e3fd86eb744195;4305bb5eb94e8c2354b7471a5e78881a
SRR8297715	PRJNA450886	SAMN10576448	GI_24hpi_3	SRX5112221	Plant sample from Litchi	Illumina HiSeq 2500 sequencing: RNA_seq of Litchi chinensis Sonn: pericarp	PAIRED	Illumina HiSeq 2500	11927593	2981898250		Guiwei	pericarp		Illumina HiSeq 2500 sequencing: RNA_seq of Litchi chinensis Sonn: pericarp	ftp.sra.ebi.ac.uk/vol1/fastq/SRR829/005/SRR8297715/SRR8297715_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR829/005/SRR8297715/SRR8297715_2.fastq.gz	cda72a8042642608eff74abacc37f034;d2f9ee4f1612cd48c26f4ddf3d57bfb3
SRR8297718	PRJNA450886	SAMN10576467	HI_48hpi_1	SRX5112218	Plant sample from Litchi	Illumina HiSeq 2500 sequencing: RNA_seq of Litchi chinensis Sonn: pericarp	PAIRED	Illumina HiSeq 2500	16327810	4081952500		Heiye	pericarp		Illumina HiSeq 2500 sequencing: RNA_seq of Litchi chinensis Sonn: pericarp	ftp.sra.ebi.ac.uk/vol1/fastq/SRR829/008/SRR8297718/SRR8297718_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR829/008/SRR8297718/SRR8297718_2.fastq.gz	107b3b9e856bf49874f4f1a5318365f1;e0d66afd8e3698a4aa184119a4effd39
SRR8297721	PRJNA450886	SAMN10576464	HI_24hpi_1	SRX5112215	Plant sample from Litchi	Illumina HiSeq 2500 sequencing: RNA_seq of Litchi chinensis Sonn: pericarp	PAIRED	Illumina HiSeq 2500	14456491	3614122750		Heiye	pericarp		Illumina HiSeq 2500 sequencing: RNA_seq of Litchi chinensis Sonn: pericarp	ftp.sra.ebi.ac.uk/vol1/fastq/SRR829/001/SRR8297721/SRR8297721_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR829/001/SRR8297721/SRR8297721_2.fastq.gz	6e813eba9ca6cdbb7fb2472d504362b2;0739f3679ec8edc3df2b6392b1a46503
SRR8297730	PRJNA450886	SAMN10576454	HC_6hpi_3	SRX5112206	Plant sample from Litchi	Illumina HiSeq 2500 sequencing: RNA_seq of Litchi chinensis Sonn: pericarp	PAIRED	Illumina HiSeq 2500	14337810	3584452500		Heiye	pericarp		Illumina HiSeq 2500 sequencing: RNA_seq of Litchi chinensis Sonn: pericarp	ftp.sra.ebi.ac.uk/vol1/fastq/SRR829/000/SRR8297730/SRR8297730_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR829/000/SRR8297730/SRR8297730_2.fastq.gz	73482ee66cc53b9f09489cab306a137f;95e2a10098be86bfb846c2c52fc36325
SRR8297733	PRJNA450886	SAMN10576457	HC_24hpi_3	SRX5112203	Plant sample from Litchi	Illumina HiSeq 2500 sequencing: RNA_seq of Litchi chinensis Sonn: pericarp	PAIRED	Illumina HiSeq 2500	12927185	3231796250		Heiye	pericarp		Illumina HiSeq 2500 sequencing: RNA_seq of Litchi chinensis Sonn: pericarp	ftp.sra.ebi.ac.uk/vol1/fastq/SRR829/003/SRR8297733/SRR8297733_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR829/003/SRR8297733/SRR8297733_2.fastq.gz	91341d0bad911fd200e0135c8de875b1;f9d618904cb5205aceea40d7a4986d51
