entity_type	entity_id	discovery_status	discovery_effect	discovery_q	internal_robustness_status	external_status	external_study	external_contrast	mapping_status	annotation_status	reported_function	small_rna_status	motif_status	motif_ids	published_evidence_status	published_dois	orthogonal_classes	orthogonal_class_count	contradiction_status	final_tier	claim_limit
gene	LITCHI005026	RETIRED_GENE_MODEL_AMBIGUITY	1.08731520659073	0.0157885705562226	NOT_APPLICABLE	not_testable	PRJNA450886	primary_24h	FAIL	NOT_APPLICABLE		NOT_TESTABLE_REFERENCE_ABSENT	NO_GENE_ATTRIBUTABLE_TRANSPORTED_MOTIF		NO_INDEPENDENT_EXACT_SUPPORT			0	MAPPING_OR_ANNOTATION_FAILURE	Retired	do not advance; retain as contradictory or failed candidate
gene	LITCHI005338	RETIRED_GENE_MODEL_AMBIGUITY	1.02410755308664	0.000896405576740673	NOT_APPLICABLE	not_testable	PRJNA450886	primary_24h	FAIL	NOT_APPLICABLE		NOT_TESTABLE_REFERENCE_ABSENT	NO_GENE_ATTRIBUTABLE_TRANSPORTED_MOTIF		NO_INDEPENDENT_EXACT_SUPPORT			0	MAPPING_OR_ANNOTATION_FAILURE	Retired	do not advance; retain as contradictory or failed candidate
gene	LITCHI005404	RETIRED_GENE_MODEL_AMBIGUITY	0.990278117218192	0.000326194063101617	NOT_APPLICABLE	not_testable	PRJNA450886	primary_24h	FAIL	NOT_APPLICABLE		NOT_TESTABLE_REFERENCE_ABSENT	NO_GENE_ATTRIBUTABLE_TRANSPORTED_MOTIF		NO_INDEPENDENT_EXACT_SUPPORT			0	MAPPING_OR_ANNOTATION_FAILURE	Retired	do not advance; retain as contradictory or failed candidate
gene	LITCHI005631	RETIRED_MAPPING_FAILURE	-2.24354480597901	0.0167190033980606	NOT_APPLICABLE	not_testable	PRJNA450886	primary_24h	FAIL	NOT_APPLICABLE		NOT_TESTABLE_REFERENCE_ABSENT	NO_GENE_ATTRIBUTABLE_TRANSPORTED_MOTIF		NO_INDEPENDENT_EXACT_SUPPORT			0	MAPPING_OR_ANNOTATION_FAILURE	Retired	do not advance; retain as contradictory or failed candidate
gene	LITCHI008313	DISCOVERED	0.901739665346397	0.0448910819251059	FAIL	contradictory	PRJNA450886	primary_24h	PASS	FAMILY_LEVEL_FUNCTION	Beta-glucosidase 44	NOT_TESTABLE_REFERENCE_ABSENT	NO_GENE_ATTRIBUTABLE_TRANSPORTED_MOTIF		NO_INDEPENDENT_EXACT_SUPPORT			0	CONTRADICTORY_EXTERNAL_DIRECTION	Retired	do not advance; retain as contradictory or failed candidate
gene	LITCHI009437	DISCOVERED	1.03949061099977	2.56887041844824e-07	FAIL	unsupported	PRJNA450886	primary_24h	PASS	FAMILY_LEVEL_FUNCTION	Uncharacterized protein PAM68-like	NOT_TESTABLE_REFERENCE_ABSENT	NO_GENE_ATTRIBUTABLE_TRANSPORTED_MOTIF		NO_INDEPENDENT_EXACT_SUPPORT			0	MAPPING_OR_ANNOTATION_FAILURE	Retired	do not advance; retain as contradictory or failed candidate
gene	LITCHI009978	RETIRED_MAPPING_FAILURE	1.05586107630504	0.00097343799454721	NOT_APPLICABLE	not_testable	PRJNA450886	primary_24h	FAIL	NOT_APPLICABLE		NOT_TESTABLE_REFERENCE_ABSENT	NO_GENE_ATTRIBUTABLE_TRANSPORTED_MOTIF		NO_INDEPENDENT_EXACT_SUPPORT			0	MAPPING_OR_ANNOTATION_FAILURE	Retired	do not advance; retain as contradictory or failed candidate
gene	LITCHI009986	RETIRED_MAPPING_FAILURE	0.984607140137177	3.83863796878395e-07	NOT_APPLICABLE	not_testable	PRJNA450886	primary_24h	FAIL	NOT_APPLICABLE		NOT_TESTABLE_REFERENCE_ABSENT	NO_GENE_ATTRIBUTABLE_TRANSPORTED_MOTIF		NO_INDEPENDENT_EXACT_SUPPORT			0	MAPPING_OR_ANNOTATION_FAILURE	Retired	do not advance; retain as contradictory or failed candidate
gene	LITCHI010009	RETIRED_MAPPING_FAILURE	-0.898573601329388	0.0399031315742185	NOT_APPLICABLE	not_testable	PRJNA450886	primary_24h	FAIL	NOT_APPLICABLE		NOT_TESTABLE_REFERENCE_ABSENT	NO_GENE_ATTRIBUTABLE_TRANSPORTED_MOTIF		NO_INDEPENDENT_EXACT_SUPPORT			0	MAPPING_OR_ANNOTATION_FAILURE	Retired	do not advance; retain as contradictory or failed candidate
gene	LITCHI010490	RETIRED_MAPPING_FAILURE	-2.93276399186426	0.0418331787983868	NOT_APPLICABLE	not_testable	PRJNA450886	primary_24h	FAIL	NOT_APPLICABLE		NOT_TESTABLE_REFERENCE_ABSENT	NO_GENE_ATTRIBUTABLE_TRANSPORTED_MOTIF		NO_INDEPENDENT_EXACT_SUPPORT			0	MAPPING_OR_ANNOTATION_FAILURE	Retired	do not advance; retain as contradictory or failed candidate
gene	LITCHI010704	DISCOVERED	-1.43552465463083	0.0245865363809489	FAIL	not_testable	PRJNA450886	primary_24h	PASS	FAMILY_LEVEL_FUNCTION	family of Oryza ortholog A0A0P0XYL5	NOT_TESTABLE_REFERENCE_ABSENT	NO_GENE_ATTRIBUTABLE_TRANSPORTED_MOTIF		NO_INDEPENDENT_EXACT_SUPPORT			0	MAPPING_OR_ANNOTATION_FAILURE	Retired	do not advance; retain as contradictory or failed candidate
gene	LITCHI010779	RETIRED_MAPPING_FAILURE	-1.57461977524295	0.0286788034896597	NOT_APPLICABLE	not_testable	PRJNA450886	primary_24h	FAIL	NOT_APPLICABLE		NOT_TESTABLE_REFERENCE_ABSENT	NO_GENE_ATTRIBUTABLE_TRANSPORTED_MOTIF		NO_INDEPENDENT_EXACT_SUPPORT			0	MAPPING_OR_ANNOTATION_FAILURE	Retired	do not advance; retain as contradictory or failed candidate
gene	LITCHI010874	RETIRED_MAPPING_FAILURE	6.64306431147983	0.0245865363809489	NOT_APPLICABLE	not_testable	PRJNA450886	primary_24h	FAIL	NOT_APPLICABLE		NOT_TESTABLE_REFERENCE_ABSENT	NO_GENE_ATTRIBUTABLE_TRANSPORTED_MOTIF		NO_INDEPENDENT_EXACT_SUPPORT			0	MAPPING_OR_ANNOTATION_FAILURE	Retired	do not advance; retain as contradictory or failed candidate
gene	LITCHI011561	RETIRED_MAPPING_FAILURE	1.21608198257199	0.00721222407883435	NOT_APPLICABLE	not_testable	PRJNA450886	primary_24h	FAIL	NOT_APPLICABLE		NOT_TESTABLE_REFERENCE_ABSENT	NO_GENE_ATTRIBUTABLE_TRANSPORTED_MOTIF		NO_INDEPENDENT_EXACT_SUPPORT			0	MAPPING_OR_ANNOTATION_FAILURE	Retired	do not advance; retain as contradictory or failed candidate
gene	LITCHI011966	RETIRED_MAPPING_FAILURE	-2.09746201509663	0.0339108577941059	NOT_APPLICABLE	not_testable	PRJNA450886	primary_24h	FAIL	NOT_APPLICABLE		NOT_TESTABLE_REFERENCE_ABSENT	NO_GENE_ATTRIBUTABLE_TRANSPORTED_MOTIF		NO_INDEPENDENT_EXACT_SUPPORT			0	MAPPING_OR_ANNOTATION_FAILURE	Retired	do not advance; retain as contradictory or failed candidate
gene	LITCHI012300	RETIRED_MAPPING_FAILURE	-1.08032336836067	0.0259712123677265	NOT_APPLICABLE	not_testable	PRJNA450886	primary_24h	FAIL	NOT_APPLICABLE		NOT_TESTABLE_REFERENCE_ABSENT	NO_GENE_ATTRIBUTABLE_TRANSPORTED_MOTIF		NO_INDEPENDENT_EXACT_SUPPORT			0	MAPPING_OR_ANNOTATION_FAILURE	Retired	do not advance; retain as contradictory or failed candidate
gene	LITCHI012927	RETIRED_MAPPING_FAILURE	-1.43638416612996	0.014965332220011	NOT_APPLICABLE	not_testable	PRJNA450886	primary_24h	FAIL	NOT_APPLICABLE		NOT_TESTABLE_REFERENCE_ABSENT	NO_GENE_ATTRIBUTABLE_TRANSPORTED_MOTIF		NO_INDEPENDENT_EXACT_SUPPORT			0	MAPPING_OR_ANNOTATION_FAILURE	Retired	do not advance; retain as contradictory or failed candidate
gene	LITCHI012980	RETIRED_MAPPING_FAILURE	2.35750071039401	0.0286622782654542	NOT_APPLICABLE	not_testable	PRJNA450886	primary_24h	FAIL	NOT_APPLICABLE		NOT_TESTABLE_REFERENCE_ABSENT	NO_GENE_ATTRIBUTABLE_TRANSPORTED_MOTIF		NO_INDEPENDENT_EXACT_SUPPORT			0	MAPPING_OR_ANNOTATION_FAILURE	Retired	do not advance; retain as contradictory or failed candidate
gene	LITCHI013400	RETIRED_MAPPING_FAILURE	2.04278296757773	0.0230859808084957	NOT_APPLICABLE	not_testable	PRJNA450886	primary_24h	FAIL	NOT_APPLICABLE		NOT_TESTABLE_REFERENCE_ABSENT	NO_GENE_ATTRIBUTABLE_TRANSPORTED_MOTIF		NO_INDEPENDENT_EXACT_SUPPORT			0	MAPPING_OR_ANNOTATION_FAILURE	Retired	do not advance; retain as contradictory or failed candidate
gene	LITCHI013576	RETIRED_MAPPING_FAILURE	1.55233778262169	0.00431779742374961	NOT_APPLICABLE	not_testable	PRJNA450886	primary_24h	FAIL	NOT_APPLICABLE		NOT_TESTABLE_REFERENCE_ABSENT	NO_GENE_ATTRIBUTABLE_TRANSPORTED_MOTIF		NO_INDEPENDENT_EXACT_SUPPORT			0	MAPPING_OR_ANNOTATION_FAILURE	Retired	do not advance; retain as contradictory or failed candidate
gene	LITCHI013662	RETIRED_MAPPING_FAILURE	1.10989571328811	0.00789023856493245	NOT_APPLICABLE	not_testable	PRJNA450886	primary_24h	FAIL	NOT_APPLICABLE		NOT_TESTABLE_REFERENCE_ABSENT	NO_GENE_ATTRIBUTABLE_TRANSPORTED_MOTIF		NO_INDEPENDENT_EXACT_SUPPORT			0	MAPPING_OR_ANNOTATION_FAILURE	Retired	do not advance; retain as contradictory or failed candidate
gene	LITCHI014006	RETIRED_MAPPING_FAILURE	0.797305880356284	0.0402714398320017	NOT_APPLICABLE	not_testable	PRJNA450886	primary_24h	FAIL	NOT_APPLICABLE		NOT_TESTABLE_REFERENCE_ABSENT	NO_GENE_ATTRIBUTABLE_TRANSPORTED_MOTIF		NO_INDEPENDENT_EXACT_SUPPORT			0	MAPPING_OR_ANNOTATION_FAILURE	Retired	do not advance; retain as contradictory or failed candidate
gene	LITCHI014435	RETIRED_GENE_MODEL_AMBIGUITY	1.17615143104461	0.0348588277657599	NOT_APPLICABLE	not_testable	PRJNA450886	primary_24h	FAIL	NOT_APPLICABLE		NOT_TESTABLE_REFERENCE_ABSENT	NO_GENE_ATTRIBUTABLE_TRANSPORTED_MOTIF		NO_INDEPENDENT_EXACT_SUPPORT			0	MAPPING_OR_ANNOTATION_FAILURE	Retired	do not advance; retain as contradictory or failed candidate
gene	LITCHI014512	RETIRED_MAPPING_FAILURE	-1.32292912664433	0.0259712123677265	NOT_APPLICABLE	not_testable	PRJNA450886	primary_24h	FAIL	NOT_APPLICABLE		NOT_TESTABLE_REFERENCE_ABSENT	NO_GENE_ATTRIBUTABLE_TRANSPORTED_MOTIF		NO_INDEPENDENT_EXACT_SUPPORT			0	MAPPING_OR_ANNOTATION_FAILURE	Retired	do not advance; retain as contradictory or failed candidate
gene	LITCHI014699	RETIRED_GENE_MODEL_AMBIGUITY	1.39844781594363	0.0445011626745455	NOT_APPLICABLE	not_testable	PRJNA450886	primary_24h	FAIL	NOT_APPLICABLE		NOT_TESTABLE_REFERENCE_ABSENT	NO_GENE_ATTRIBUTABLE_TRANSPORTED_MOTIF		NO_INDEPENDENT_EXACT_SUPPORT			0	MAPPING_OR_ANNOTATION_FAILURE	Retired	do not advance; retain as contradictory or failed candidate
gene	LITCHI014858	DISCOVERED	2.19092478072678	0.0180957507647159	FAIL	unsupported	PRJNA450886	primary_24h	PASS	FAMILY_LEVEL_FUNCTION	Homocysteine S-methyltransferase 3	NOT_TESTABLE_REFERENCE_ABSENT	NO_GENE_ATTRIBUTABLE_TRANSPORTED_MOTIF		NO_INDEPENDENT_EXACT_SUPPORT			0	MAPPING_OR_ANNOTATION_FAILURE	Retired	do not advance; retain as contradictory or failed candidate
gene	LITCHI015541	RETIRED_MAPPING_FAILURE	1.51367110119737	0.00127886488498145	NOT_APPLICABLE	not_testable	PRJNA450886	primary_24h	FAIL	NOT_APPLICABLE		NOT_TESTABLE_REFERENCE_ABSENT	NO_GENE_ATTRIBUTABLE_TRANSPORTED_MOTIF		NO_INDEPENDENT_EXACT_SUPPORT			0	MAPPING_OR_ANNOTATION_FAILURE	Retired	do not advance; retain as contradictory or failed candidate
gene	LITCHI015623	RETIRED_MAPPING_FAILURE	0.824669970860925	0.0480631480655992	NOT_APPLICABLE	not_testable	PRJNA450886	primary_24h	FAIL	NOT_APPLICABLE		NOT_TESTABLE_REFERENCE_ABSENT	NO_GENE_ATTRIBUTABLE_TRANSPORTED_MOTIF		NO_INDEPENDENT_EXACT_SUPPORT			0	MAPPING_OR_ANNOTATION_FAILURE	Retired	do not advance; retain as contradictory or failed candidate
gene	LITCHI016030	RETIRED_GENE_MODEL_AMBIGUITY	0.808271017456127	0.0237297852863433	NOT_APPLICABLE	not_testable	PRJNA450886	primary_24h	FAIL	NOT_APPLICABLE		NOT_TESTABLE_REFERENCE_ABSENT	NO_GENE_ATTRIBUTABLE_TRANSPORTED_MOTIF		NO_INDEPENDENT_EXACT_SUPPORT			0	MAPPING_OR_ANNOTATION_FAILURE	Retired	do not advance; retain as contradictory or failed candidate
gene	LITCHI017118	RETIRED_GENE_MODEL_AMBIGUITY	0.806612533823148	0.00498227784610392	NOT_APPLICABLE	not_testable	PRJNA450886	primary_24h	FAIL	NOT_APPLICABLE		NOT_TESTABLE_REFERENCE_ABSENT	NO_GENE_ATTRIBUTABLE_TRANSPORTED_MOTIF		NO_INDEPENDENT_EXACT_SUPPORT			0	MAPPING_OR_ANNOTATION_FAILURE	Retired	do not advance; retain as contradictory or failed candidate
gene	LITCHI017811	RETIRED_GENE_MODEL_AMBIGUITY	1.96461316508476	0.013283710325449	NOT_APPLICABLE	not_testable	PRJNA450886	primary_24h	FAIL	NOT_APPLICABLE		NOT_TESTABLE_REFERENCE_ABSENT	NO_GENE_ATTRIBUTABLE_TRANSPORTED_MOTIF		NO_INDEPENDENT_EXACT_SUPPORT			0	MAPPING_OR_ANNOTATION_FAILURE	Retired	do not advance; retain as contradictory or failed candidate
gene	LITCHI017972	RETIRED_GENE_MODEL_AMBIGUITY	-1.10899054812206	0.000718714834628773	NOT_APPLICABLE	not_testable	PRJNA450886	primary_24h	FAIL	NOT_APPLICABLE		NOT_TESTABLE_REFERENCE_ABSENT	NO_GENE_ATTRIBUTABLE_TRANSPORTED_MOTIF		NO_INDEPENDENT_EXACT_SUPPORT			0	MAPPING_OR_ANNOTATION_FAILURE	Retired	do not advance; retain as contradictory or failed candidate
gene	LITCHI018449	RETIRED_GENE_MODEL_AMBIGUITY	0.760370582112849	0.000486902158076459	NOT_APPLICABLE	not_testable	PRJNA450886	primary_24h	FAIL	NOT_APPLICABLE		NOT_TESTABLE_REFERENCE_ABSENT	NO_GENE_ATTRIBUTABLE_TRANSPORTED_MOTIF		NO_INDEPENDENT_EXACT_SUPPORT			0	MAPPING_OR_ANNOTATION_FAILURE	Retired	do not advance; retain as contradictory or failed candidate
gene	LITCHI019399	RETIRED_MAPPING_FAILURE	-1.32099606328797	0.0237799610235217	NOT_APPLICABLE	not_testable	PRJNA450886	primary_24h	FAIL	NOT_APPLICABLE		NOT_TESTABLE_REFERENCE_ABSENT	NO_GENE_ATTRIBUTABLE_TRANSPORTED_MOTIF		NO_INDEPENDENT_EXACT_SUPPORT			0	MAPPING_OR_ANNOTATION_FAILURE	Retired	do not advance; retain as contradictory or failed candidate
gene	LITCHI019568	RETIRED_MAPPING_FAILURE	-1.78927587150721	0.0259712123677265	NOT_APPLICABLE	not_testable	PRJNA450886	primary_24h	FAIL	NOT_APPLICABLE		NOT_TESTABLE_REFERENCE_ABSENT	NO_GENE_ATTRIBUTABLE_TRANSPORTED_MOTIF		NO_INDEPENDENT_EXACT_SUPPORT			0	MAPPING_OR_ANNOTATION_FAILURE	Retired	do not advance; retain as contradictory or failed candidate
gene	LITCHI020348	RETIRED_GENE_MODEL_AMBIGUITY	-4.49639544761973	0.00782837920783277	NOT_APPLICABLE	not_testable	PRJNA450886	primary_24h	FAIL	NOT_APPLICABLE		NOT_TESTABLE_REFERENCE_ABSENT	NO_GENE_ATTRIBUTABLE_TRANSPORTED_MOTIF		NO_INDEPENDENT_EXACT_SUPPORT			0	MAPPING_OR_ANNOTATION_FAILURE	Retired	do not advance; retain as contradictory or failed candidate
gene	LITCHI020381	RETIRED_GENE_MODEL_AMBIGUITY	-2.0931499345446	0.000718760787771844	NOT_APPLICABLE	not_testable	PRJNA450886	primary_24h	FAIL	NOT_APPLICABLE		NOT_TESTABLE_REFERENCE_ABSENT	NO_GENE_ATTRIBUTABLE_TRANSPORTED_MOTIF		NO_INDEPENDENT_EXACT_SUPPORT			0	MAPPING_OR_ANNOTATION_FAILURE	Retired	do not advance; retain as contradictory or failed candidate
gene	LITCHI021593	RETIRED_GENE_MODEL_AMBIGUITY	-0.832826197976086	0.0470549642911606	NOT_APPLICABLE	not_testable	PRJNA450886	primary_24h	FAIL	NOT_APPLICABLE		NOT_TESTABLE_REFERENCE_ABSENT	NO_GENE_ATTRIBUTABLE_TRANSPORTED_MOTIF		NO_INDEPENDENT_EXACT_SUPPORT			0	MAPPING_OR_ANNOTATION_FAILURE	Retired	do not advance; retain as contradictory or failed candidate
gene	LITCHI021860	DISCOVERED	-0.652689384570268	0.0316462326146919	FAIL	contradictory	PRJNA450886	primary_24h	PASS	FAMILY_LEVEL_FUNCTION	Phosphatidylinositol 4-kinase gamma 2	NOT_TESTABLE_REFERENCE_ABSENT	NO_GENE_ATTRIBUTABLE_TRANSPORTED_MOTIF		NO_INDEPENDENT_EXACT_SUPPORT			0	CONTRADICTORY_EXTERNAL_DIRECTION	Retired	do not advance; retain as contradictory or failed candidate
gene	LITCHI022640	RETIRED_GENE_MODEL_AMBIGUITY	2.64151883363074	0.0134135175408401	NOT_APPLICABLE	not_testable	PRJNA450886	primary_24h	FAIL	NOT_APPLICABLE		NOT_TESTABLE_REFERENCE_ABSENT	NO_GENE_ATTRIBUTABLE_TRANSPORTED_MOTIF		NO_INDEPENDENT_EXACT_SUPPORT			0	MAPPING_OR_ANNOTATION_FAILURE	Retired	do not advance; retain as contradictory or failed candidate
gene	LITCHI023325	RETIRED_GENE_MODEL_AMBIGUITY	-1.42074101136407	0.0106625384470729	NOT_APPLICABLE	not_testable	PRJNA450886	primary_24h	FAIL	NOT_APPLICABLE		NOT_TESTABLE_REFERENCE_ABSENT	NO_GENE_ATTRIBUTABLE_TRANSPORTED_MOTIF		NO_INDEPENDENT_EXACT_SUPPORT			0	MAPPING_OR_ANNOTATION_FAILURE	Retired	do not advance; retain as contradictory or failed candidate
gene	LITCHI023626	DISCOVERED	-1.40847760833401	5.3720254067952e-07	FAIL	partial	PRJNA450886	primary_24h	PASS	UNANNOTATED	unannotated protein	NOT_TESTABLE_REFERENCE_ABSENT	NO_GENE_ATTRIBUTABLE_TRANSPORTED_MOTIF		NO_INDEPENDENT_EXACT_SUPPORT			0	MAPPING_OR_ANNOTATION_FAILURE	Retired	do not advance; retain as contradictory or failed candidate
gene	LITCHI024633	RETIRED_GENE_MODEL_AMBIGUITY	1.17494228824933	0.00537963195435942	NOT_APPLICABLE	not_testable	PRJNA450886	primary_24h	FAIL	NOT_APPLICABLE		NOT_TESTABLE_REFERENCE_ABSENT	NO_GENE_ATTRIBUTABLE_TRANSPORTED_MOTIF		NO_INDEPENDENT_EXACT_SUPPORT			0	MAPPING_OR_ANNOTATION_FAILURE	Retired	do not advance; retain as contradictory or failed candidate
gene	LITCHI025853	RETIRED_GENE_MODEL_AMBIGUITY	-0.734048281052748	0.0129022055145959	NOT_APPLICABLE	not_testable	PRJNA450886	primary_24h	FAIL	NOT_APPLICABLE		NOT_TESTABLE_REFERENCE_ABSENT	NO_GENE_ATTRIBUTABLE_TRANSPORTED_MOTIF		NO_INDEPENDENT_EXACT_SUPPORT			0	MAPPING_OR_ANNOTATION_FAILURE	Retired	do not advance; retain as contradictory or failed candidate
gene	LITCHI026893	RETIRED_GENE_MODEL_AMBIGUITY	1.0270078093291	0.013283710325449	NOT_APPLICABLE	not_testable	PRJNA450886	primary_24h	FAIL	NOT_APPLICABLE		NOT_TESTABLE_REFERENCE_ABSENT	NO_GENE_ATTRIBUTABLE_TRANSPORTED_MOTIF		NO_INDEPENDENT_EXACT_SUPPORT			0	MAPPING_OR_ANNOTATION_FAILURE	Retired	do not advance; retain as contradictory or failed candidate
gene	LITCHI027558	RETIRED_MAPPING_FAILURE	1.17996099275583	0.00617712054837334	NOT_APPLICABLE	not_testable	PRJNA450886	primary_24h	FAIL	NOT_APPLICABLE		NOT_TESTABLE_REFERENCE_ABSENT	NO_GENE_ATTRIBUTABLE_TRANSPORTED_MOTIF		NO_INDEPENDENT_EXACT_SUPPORT			0	MAPPING_OR_ANNOTATION_FAILURE	Retired	do not advance; retain as contradictory or failed candidate
gene	LITCHI028829	RETIRED_MAPPING_FAILURE	-1.97184846904246	0.00789023856493245	NOT_APPLICABLE	not_testable	PRJNA450886	primary_24h	FAIL	NOT_APPLICABLE		NOT_TESTABLE_REFERENCE_ABSENT	NO_GENE_ATTRIBUTABLE_TRANSPORTED_MOTIF		NO_INDEPENDENT_EXACT_SUPPORT			0	MAPPING_OR_ANNOTATION_FAILURE	Retired	do not advance; retain as contradictory or failed candidate
gene	LITCHI029455	RETIRED_GENE_MODEL_AMBIGUITY	-1.78037134571311	7.86851905355691e-11	NOT_APPLICABLE	not_testable	PRJNA450886	primary_24h	FAIL	NOT_APPLICABLE		NOT_TESTABLE_REFERENCE_ABSENT	NO_GENE_ATTRIBUTABLE_TRANSPORTED_MOTIF		NO_INDEPENDENT_EXACT_SUPPORT			0	MAPPING_OR_ANNOTATION_FAILURE	Retired	do not advance; retain as contradictory or failed candidate
gene	LITCHI029534	DISCOVERED	1.47658737766418	0.00237829105595826	FAIL	contradictory	PRJNA450886	primary_24h	PASS	FAMILY_LEVEL_FUNCTION	Thiamine thiazole synthase 2, chloroplastic	NOT_TESTABLE_REFERENCE_ABSENT	NO_GENE_ATTRIBUTABLE_TRANSPORTED_MOTIF		NO_INDEPENDENT_EXACT_SUPPORT			0	CONTRADICTORY_EXTERNAL_DIRECTION	Retired	do not advance; retain as contradictory or failed candidate
gene	LITCHI029642	RETIRED_GENE_MODEL_AMBIGUITY	1.56693704690943	1.81449106332462e-06	NOT_APPLICABLE	not_testable	PRJNA450886	primary_24h	FAIL	NOT_APPLICABLE		NOT_TESTABLE_REFERENCE_ABSENT	NO_GENE_ATTRIBUTABLE_TRANSPORTED_MOTIF		NO_INDEPENDENT_EXACT_SUPPORT			0	MAPPING_OR_ANNOTATION_FAILURE	Retired	do not advance; retain as contradictory or failed candidate
